"B-2322","b-2322","#ded4bb"
"B-2329","b-2329","#dfd2bc"
"C-3317","c-3317","#ded2bf"
"C-3322","c-3322","#dcd4c5"
"D-4110","d-4110","#e0d7c4"
"E-5129","e-5129","#dad5c3"
"E-5119","e-5119","#ded7c0"
"B-2108","b-2108","#e3d8b9"
"B-2320","b-2320","#e6d7b6"
"C-3114","c-3114","#e3d3c2"
"C-3128","c-3128","#dfd0c3"
"D-4118","d-4118","#dbd9c8"
"E-5126","e-5126","#dbdac5"
"E-5122","e-5122","#dad8c2"
"B-2111","b-2111","#e5d6b6"
"B-2113","b-2113","#e7d6b7"
"C-3327","c-3327","#dfcfc2"
"C-3224","c-3224","#e2d4c8"
"D-4117","d-4117","#dddacc"
"D-4129","d-4129","#d8dbc8"
"E-5117","e-5117","#e1dcc0"
"B-2128","b-2128","#e3d5ac"
"B-2321","b-2321","#ebd8bb"
"C-3112","c-3112","#f6e8df"
"C-3325","c-3325","#ebe7e7"
"D-4123","d-4123","#e6eae9"
"D-4120","d-4120","#e5efeb"
"E-5110","e-5110","#f1f1dc"
"B-2114","b-2114","#faeac4"
"B-2118","b-2118","#f5e6d3"
"C-3115","c-3115","#fce3d1"
"D-4130","d-4130","#ebeae9"
"D-4119","d-4119","#e5ece9"
"D-4121","d-4121","#e5efe8"
"E-5116","e-5116","#f0eed9"
"B-2110","b-2110","#f1edcb"
"B-2109","b-2109","#f8ebdc"
"C-3328","c-3328","#fadfcf"
"C-3127","c-3127","#e7eae8"
"D-4125","d-4125","#e2ebe9"
"D-4140","d-4140","#d7eae7"
"E-5112","e-5112","#f8f2db"
"B-2127","b-2127","#f2e9b2"
"C-3126","c-3126","#f5e7da"
"C-3323","c-3323","#fae0d4"
"C-3136","c-3136","#e4e3e7"
"D-4135","d-4135","#d7e7e7"
"E-5141","e-5141","#dbefe5"
"E-5137","e-5137","#e0efdd"
"B-2131","b-2131","#f3ecb3"
"C-3111","c-3111","#f6e9df"
"C-3326","c-3326","#f8dfd6"
"C-3131","c-3131","#efe4e7"
"D-4131","d-4131","#dce9eb"
"E-5138","e-5138","#deefe1"
"E-5130","e-5130","#e4f0dc"
"B-2332","b-2332","#f9e7b1"
"B-2323","b-2323","#fedea9"
"B-2319","b-2319","#fbe5c8"
"C-3119","c-3119","#f0dedf"
"D-4132","d-4132","#e2e7ec"
"D-4141","d-4141","#d5e9e6"
"E-5127","e-5127","#e4eedb"
"B-2117","b-2117","#fde5b0"
"B-2328","b-2328","#fcd7ad"
"B-2324","b-2324","#fbe1c5"
"C-3116","c-3116","#f1e0e3"
"D-4137","d-4137","#dce6ea"
"D-4143","d-4143","#dde0df"
"E-5131","e-5131","#e4edd3"
"B-2330","b-2330","#fde499"
"B-2331","b-2331","#ffd5ae"
"B-2326","b-2326","#fbe4cf"
"C-3320","c-3320","#ece7ec"
"D-4146","d-4146","#dbdede"
"D-4145","d-4145","#d7dfde"
"E-5327","e-5327","#eaefd4"
"B-2130","b-2130","#fedb96"
"B-2345","b-2345","#e6dfcc"
"A-1136","a-1136","#e7e1d7"
"C-3141","c-3141","#e2e0df"
"D-4173","d-4173","#d2dddb"
"D-4163","d-4163","#c8d9db"
"E-5123","e-5123","#e9ecd2"
"B-2135","b-2135","#ffd886"
"B-2349","b-2349","#e7ddc9"
"C-3143","c-3143","#e7dbd2"
"C-3145","c-3145","#e0dedf"
"D-4365","d-4365","#d4d9d6"
"D-4161","d-4161","#c5e5ec"
"E-5152","e-5152","#d7e8c2"
"A-1150","a-1150","#e3e1d6"
"B-2151","b-2151","#e9dfbd"
"B-2348","b-2348","#e7ddca"
"C-3135","c-3135","#e7dddb"
"A-1159","a-1159","#dcd6ce"
"D-4178","d-4178","#a9daea"
"E-5140","e-5140","#dbe6b9"
"B-2343","b-2343","#e5e0cb"
"B-2346","b-2346","#e8dbba"
"B-2344","b-2344","#e6dac9"
"C-3140","c-3140","#e0d7d5"
"A-1163","a-1163","#d0d5d4"
"D-4176","d-4176","#bbcedd"
"E-5157","e-5157","#d5e5ab"
"B-2351","b-2351","#e0ddbd"
"B-2347","b-2347","#e8d8b8"
"B-2342","b-2342","#e8dbcb"
"C-3345","c-3345","#e3dbdb"
"A-1160","a-1160","#d8d5d6"
"D-4175","d-4175","#b7d1e0"
"E-5153","e-5153","#d9e5a1"
"B-2100","b-2100","#ffe186"
"B-2126","b-2126","#ffd598"
"B-2141","b-2141","#ebd8bb"
"C-3125","c-3125","#f4d6e1"
"C-3156","c-3156","#d3c8da"
"D-4183","d-4183","#b6d5de"
"E-5208","e-5208","#a4d4b4"
"B-2138","b-2138","#f8ce4d"
"B-2132","b-2132","#ffca7e"
"B-2150","b-2150","#ebd3b8"
"C-3153","c-3153","#e9bfbe"
"C-3148","c-3148","#d7c3e2"
"D-4197","d-4197","#99c8e8"
"E-5206","e-5206","#98cdb6"
"B-2143","b-2143","#e9d9a6"
"B-2357","b-2357","#edcd8e"
"B-2179","b-2179","#ccc4b2"
"C-3158","c-3158","#e8c0b8"
"D-4157","d-4157","#d4b4cf"
"D-4189","d-4189","#acc4e0"
"E-5202","e-5202","#a7d1aa"
"B-2156","b-2156","#e4ce8a"
"B-2145","b-2145","#f2c88d"
"B-2175","b-2175","#d6c3a9"
"C-3134","c-3134","#f4bdc5"
"D-4184","d-4184","#b4c1e0"
"D-4165","d-4165","#bae0df"
"E-5205","e-5205","#99d488"
"B-2152","b-2152","#ecd17a"
"B-2355","b-2355","#efbe89"
"B-2189","b-2189","#d0b8a0"
"C-3137","c-3137","#f6b9ba"
"D-4177","d-4177","#b3cee5"
"D-4217","d-4217","#78c6cf"
"E-5198","e-5198","#b7cb83"
"B-2160","b-2160","#f0bf5e"
"B-2153","b-2153","#f1b98b"
"B-2186","b-2186","#cfb98e"
"C-3139","c-3139","#f7b9b2"
"D-4196","d-4196","#a1c3da"
"D-4218","d-4218","#76c8cb"
"E-5194","e-5194","#c0ce7f"
"B-2340","b-2340","#ffc553"
"B-2148","b-2148","#ffb77f"
"B-2187","b-2187","#d1b489"
"C-3151","c-3151","#f5a59f"
"D-4205","d-4205","#98b9e0"
"D-4206","d-4206","#83d1df"
"E-5223","e-5223","#9dc575"
"B-2144","b-2144","#ffb800"
"B-2146","b-2146","#ffb267"
"B-2184","b-2184","#d6b48e"
"C-3150","c-3150","#faa596"
"D-4226","d-4226","#6cb1de"
"D-4237","d-4237","#50bad1"
"E-5246","e-5246","#80b145"
"B-2167","b-2167","#eeb229"
"B-2140","b-2140","#ffb13c"
"B-2185","b-2185","#d89d65"
"C-3179","c-3179","#e18581"
"D-4243","d-4243","#60a8ba"
"E-5243","e-5243","#5cb1a2"
"E-5267","e-5267","#00a38b"
"B-2168","b-2168","#f0ae00"
"B-2195","b-2195","#fa951e"
"B-2183","b-2183","#d39e76"
"C-3173","c-3173","#e06973"
"D-4249","d-4249","#6d9dab"
"E-5260","e-5260","#409696"
"E-5275","e-5275","#109171"
"B-2155","b-2155","#ffaa00"
