"K-6079","k-6079","#ffba00"
"M-0159","m-0159","#f8efd6"
"K-6010","k-6010","#fbe9c6"
"K-6115","k-6115","#e9c498"
"K-6019","k-6019","#fde5af"
"K-6114","k-6114","#eccf9f"
"K-6212","k-6212","#d5a573"
"K-6039","k-6039","#ffd983"
"K-6134","k-6134","#f6c173"
"K-6232","k-6232","#d7904c"
"K-6006","k-6006","#f4e7dc"
"K-6015","k-6015","#fbdfcf"
"H-7063","h-7063","#eac0be"
"K-6110","k-6110","#e8d0c5"
"K-6120","k-6120","#e9bdaf"
"H-7074","h-7074","#e5afb7"
"K-6208","k-6208","#d1a69e"
"K-6228","k-6228","#cb817b"
"K-6248","k-6248","#bd5855"
"K-6262","k-6262","#af322f"
"H-7370","h-7370","#005f9b"
"H-7071","h-7071","#bacdde"
"T-8026","t-8026","#c9dbdf"
"T-8012","t-8012","#c0e7e1"
"H-7147","h-7147","#91a8c9"
"T-8032","t-8032","#b2d3de"
"T-8034","t-8034","#aed7d7"
"H-7376","h-7376","#668dc4"
"H-7158","h-7158","#74a2c6"
"T-8089","t-8089","#5fa8bb"
"R-9089","r-9089","#cfdecd"
"R-9093","r-9093","#dce1c6"
"R-9023","r-9023","#e8f0bc"
"R-9184","r-9184","#a3c0a4"
"R-9101","r-9101","#c7dab3"
"R-9105","r-9105","#dddda9"
"R-9205","r-9205","#82b17a"
"R-9196","r-9196","#9eb887"
"R-9125","r-9125","#d2d274"
"R-9305","r-9305","#007937"
