"Korall 135","korall-135","#9b5d58"
"Korall 70","korall-70","#a07772"
"Korall 115","korall-115","#8d5f5b"
"Korall 105","korall-105","#7d5653"
"Korall 65","korall-65","#947875"
"Korall 110","korall-110","#745c5b"
"Korall 95","korall-95","#554343"
"Korall 20","korall-20","#e2d7d3"
"Korall 45","korall-45","#cfbfba"
"Korall 35","korall-35","#b6a4a1"
"Korall 15","korall-15","#dacdc9"
"Korall 10","korall-10","#b5aaa8"
"Korall 5","korall-5","#a0908d"
"Bordeaux 55","bordeaux-55","#cfa19c"
"Bordeaux 45","bordeaux-45","#af7269"
"Bordeaux 73","bordeaux-73","#ad6a63"
"Bordeaux 60","bordeaux-60","#e9c4bc"
"Bordeaux 50","bordeaux-50","#b78178"
"Bordeaux 35","bordeaux-35","#7e514b"
"Bordeaux 15","bordeaux-15","#bda7a1"
"Bordeaux 10","bordeaux-10","#b99891"
"Bordeaux 5","bordeaux-5","#a88b85"
"Cameo 125","cameo-125","#a15545"
"Cameo 135","cameo-135","#c57f6e"
"Cameo 130","cameo-130","#aa685b"
"Cameo 95","cameo-95","#8a5649"
"Cameo 50","cameo-50","#cbb6af"
"Cameo 70","cameo-70","#aa8a81"
"Cameo 65","cameo-65","#906f66"
"Cameo 20","cameo-20","#ddd1ca"
"Cameo 40","cameo-40","#a5928c"
"Cameo 35","cameo-35","#85726e"
"Cameo 15","cameo-15","#cec7c3"
"Cameo 10","cameo-10","#b8ada9"
"Cameo 5","cameo-5","#9a8c88"
"Lachs 100","lachs-100","#ba654b"
"Lachs 75","lachs-75","#d58d6e"
"Lachs 70","lachs-70","#cd8063"
"Lachs 65","lachs-65","#a86751"
"Lachs 10","lachs-10","#d6b4a6"
"Lachs 50","lachs-50","#dba693"
"Lachs 35","lachs-35","#b7826f"
"Lachs 30","lachs-30","#fae7db"
"Lachs 20","lachs-20","#efd2c5"
"Lachs 45","lachs-45","#cca597"
"Aprico 125","aprico-125","#c66c46"
"Aprico 110","aprico-110","#e19d7c"
"Aprico 100","aprico-100","#d18e6f"
"Aprico 135","aprico-135","#c87f5f"
"Aprico 55","aprico-55","#eed1c4"
"Aprico 75","aprico-75","#e3b098"
"Aprico 105","aprico-105","#c3917a"
"Aprico 60","aprico-60","#fbe3d4"
"Aprico 50","aprico-50","#e2c5b7"
"Aprico 70","aprico-70","#bb9887"
"Aprico 20","aprico-20","#e0d5cd"
"Aprico 15","aprico-15","#d5c8bf"
"Aprico 10","aprico-10","#c0a99f"
"Aprico 25","aprico-25","#ede6de"
"Aprico 80","aprico-80","#e9bdaa"
"Aprico 45","aprico-45","#dab4a5"
"Siena 155","siena-155","#c48246"
"Siena 165","siena-165","#eaad7c"
"Siena 135","siena-135","#dfaf85"
"Siena 130","siena-130","#c4976d"
"Siena 55","siena-55","#e6d4c2"
"Siena 90","siena-90","#e5cab3"
"Siena 85","siena-85","#d0b7a1"
"Siena 50","siena-50","#dacdc0"
"Siena 45","siena-45","#c3b0a1"
"Siena 40","siena-40","#a99483"
"Siena 20","siena-20","#c4bab2"
"Siena 15","siena-15","#a89c92"
"Siena 10","siena-10","#928478"
"Onyx 220","onyx-220","#e7993b"
"Onyx 175","onyx-175","#f9cca1"
"Onyx 170","onyx-170","#f0be88"
"Onyx 185","onyx-185","#db9d5b"
"Onyx 90","onyx-90","#f6e9d9"
"Onyx 75","onyx-75","#dfccb7"
"Onyx 183","onyx-183","#f6dabb"
"Onyx 110","onyx-110","#e0c3a6"
"Onyx 105","onyx-105","#d6b491"
"Onyx 125","onyx-125","#bb9673"
"Onyx 70","onyx-70","#d0c0b0"
"Onyx 65","onyx-65","#b29981"
"Onyx 95","onyx-95","#98826b"
"Mais 0","mais-0","#e7a837"
"Mais 14","mais-14","#f9e19d"
"Mais 13","mais-13","#f7d681"
"Mais 12","mais-12","#f2c55e"
"Mais 18","mais-18","#f6f1d9"
"Mais 16","mais-16","#f8ebc3"
"Mais 15","mais-15","#f8e8b4"
"Caramel 94","caramel-94","#ad8a5e"
"Caramel 90","caramel-90","#f9f0e2"
"Caramel 123","caramel-123","#f6d8b0"
"Caramel 110","caramel-110","#f6cf9c"
"Caramel 85","caramel-85","#f2e3ce"
"Caramel 75","caramel-75","#ebd5bb"
"Caramel 65","caramel-65","#d0b491"
"Palazzo 245 ","palazzo-245","#997a4a"
"Palazzo 295","palazzo-295","#ecbf74"
"Palazzo 285","palazzo-285","#cfa34f"
"Palazzo 305","palazzo-305","#b48740"
"Palazzo 260","palazzo-260","#dfba7f"
"Palazzo 255","palazzo-255","#d2aa66"
"Palazzo 250","palazzo-250","#b28b49"
"Palazzo 265","palazzo-265","#f5ce8e"
"Palazzo 290","palazzo-290","#ddac5b"
"Palazzo 225","palazzo-225","#d3b689"
"Palazzo 240","palazzo-240","#f8eeda"
"Palazzo 235","palazzo-235","#fbdeb2"
"Palazzo 230","palazzo-230","#f4d29f"
"Palazzo 180","palazzo-180","#f6e7cf"
"Palazzo 175","palazzo-175","#e8d3b3"
"Palazzo 205","palazzo-205","#e1c49c"
"Palazzo 170","palazzo-170","#cebc9e"
"Palazzo 200","palazzo-200","#c4ad8a"
"Palazzo 190","palazzo-190","#937c57"
"Palazzo 150","palazzo-150","#ddccb3"
"Palazzo 145","palazzo-145","#c6b8a3"
"Palazzo 135","palazzo-135","#8e7f6a"
"Palazzo 85","palazzo-85","#c6bcaf"
"Palazzo 110","palazzo-110","#b7aea0"
"Palazzo 100","palazzo-100","#968b7b"
"Palazzo 50","palazzo-50","#d2ccc0"
"Palazzo 40","palazzo-40","#b0aaa2"
"Palazzo 75","palazzo-75","#827c73"
"Ginster 94","ginster-94","#a58a4a"
"Ginster 115","ginster-115","#f4ddae"
"Ginster 110","ginster-110","#efd291"
"Ginster 100","ginster-100","#e6c480"
"Ginster 120","ginster-120","#f9e7c0"
"Ginster 105","ginster-105","#f5d08b"
"Ginster 95","ginster-95","#d9bf8c"
"Ginster 60","ginster-60","#f0e4cc"
"Ginster 80","ginster-80","#decda8"
"Ginster 70","ginster-70","#c1ab81"
"Ginster 50","ginster-50","#d4c7ae"
"Ginster 45","ginster-45","#b5aa91"
"Ginster 35","ginster-35","#8b7b62"
"Ginster 15","ginster-15","#cbc4b6"
"Ginster 5","ginster-5","#b2a895"
"Ginster 40","ginster-40","#998d75"
"Curry 110","curry-110","#eed591"
"Curry 55","curry-55","#f4e9ce"
"Curry 85","curry-85","#f8e9be"
"Curry 120","curry-120","#f8e5ad"
"Curry 80","curry-80","#eedcae"
"Curry 45","curry-45","#dbca9d"
"Curry 40","curry-40","#c0af80"
"Curry 15","curry-15","#dcd5c2"
"Curry 10","curry-10","#cdc4aa"
"Curry 5","curry-5","#beb295"
"Melisse 32","melisse-32","#7d7860"
"Melisse 90","melisse-90","#f7efd0"
"Melisse 80","melisse-80","#ddcf99"
"Melisse 75","melisse-75","#b9aa77"
"Melisse 30","melisse-30","#f5eed8"
"Melisse 120","melisse-120","#f6edbf"
"Melisse 85","melisse-85","#f7e9b1"
"Melisse 50","melisse-50","#e8e0c6"
"Melisse 40","melisse-40","#d0c9ae"
"Melisse 35","melisse-35","#b7ad8c"
"Marone 0","marone-0","#7a5948"
"Marone 14","marone-14","#d3b8a0"
"Marone 13","marone-13","#c4a388"
"Marone 12","marone-12","#ab856b"
"Marone 18","marone-18","#f1e6da"
"Marone 16","marone-16","#e8d6c6"
"Marone 15","marone-15","#e0cab6"
"Nutria 0","nutria-0","#705b4b"
"Nutria 14","nutria-14","#cbb69f"
"Nutria 13","nutria-13","#b9a087"
"Nutria 12","nutria-12","#9e846c"
"Nutria 18","nutria-18","#ede6da"
"Nutria 16","nutria-16","#e2d6c6"
"Nutria 15","nutria-15","#d8c8b4"
"Terra 0","terra-0","#976649"
"Terra 14","terra-14","#e2b793"
"Terra 13","terra-13","#d3a279"
"Terra 12","terra-12","#bf875c"
"Terra 18","terra-18","#f4e4d4"
"Terra 16","terra-16","#efd5bc"
"Terra 15","terra-15","#e8c6a7"
"Havanna 0","havanna-0","#846145"
"Havanna 14","havanna-14","#d5b895"
"Havanna 13","havanna-13","#c8a681"
"Havanna 12","havanna-12","#ad8762"
"Havanna 18","havanna-18","#f1e6d6"
"Havanna 16","havanna-16","#ead7c1"
"Havanna 15","havanna-15","#e3caad"
"Muskat 0","muskat-0","#736453"
"Muskat 14","muskat-14","#d2c4ad"
"Muskat 13","muskat-13","#c2b196"
"Muskat 12","muskat-12","#a19076"
"Muskat 18","muskat-18","#f2ece0"
"Muskat 16","muskat-16","#e8dfcf"
"Muskat 15","muskat-15","#ded4c0"
"Jade 62","jade-62","#767662"
"Jade 80","jade-80","#cfd1b1"
"Jade 75","jade-75","#bcbda3"
"Jade 100","jade-100","#a0a47e"
"Jade 85","jade-85","#e1e0c5"
"Jade 110","jade-110","#d6daa9"
"Jade 105","jade-105","#b9be8d"
"Jade 90","jade-90","#eeedd6"
"Jade 120","jade-120","#e1e8a3"
"Jade 115","jade-115","#dae1aa"
"Jade 25","jade-25","#e0ddd5"
"Jade 50","jade-50","#cbcac1"
"Jade 5","jade-5","#b0b0a9"
"Moos 62","moos-62","#6c765d"
"Moos 120","moos-120","#e5edcf"
"Moss 115","moss-115","#dfe8c3"
"Moos 110","moos-110","#c2cf9d"
"Moos 90","moos-90","#ebecd8"
"Moos 60","moos-60","#dddfcf"
"Moos 85","moos-85","#d3d9bf"
"Moos 50","moos-50","#bebfb2"
"Moos 40","moos-40","#a7aa9c"
"Moos 35","moos-35","#959a86"
"Moos 55","moos-55","#d0d0c7"
"Moos 45","moos-45","#b9b9b2"
"Moos 20","moos-20","#a6a6a2"
"Oase 44","oase-44","#68765c"
"Oase 85","oase-85","#d1d9c8"
"Oase 115","oase-115","#afc39d"
"Oase 75","oase-75","#909f81"
"Oase 60","oase-60","#eaece0"
"Oase 50","oase-50","#b4c0a7"
"Oase 45","oase-45","#788368"
"Oase 20","oase-20","#c5cbbf"
"Oase 15","oase-15","#a8afa1"
"Oase 5","oase-5","#87907f"
"Mint 33","mint-33","#597263"
"Mint 55","mint-55","#bbcbbe"
"Mint 50","mint-50","#a3b5ab"
"Mint 45","mint-45","#8aa390"
"Mint 15","mint-15","#c2c9c0"
"Mint 10","mint-10","#a2aaa4"
"Mint 5","mint-5","#8c938c"
"Verona 63","verona-63","#526d6e"
"Verona 85","verona-85","#cad8d3"
"Verona 80","verona-80","#a4b2af"
"Verona 75","verona-75","#7e8f8e"
"Verona 50","verona-50","#bdc2bf"
"Verona 45","verona-45","#b0b7b5"
"Verona 40","verona-40","#8c9493"
"Verona 15","verona-15","#ced2cd"
"Verona 10","verona-10","#c7c9c5"
"Verona 5","verona-5","#a9adac"
"Pacific 34","pacific-34","#465560"
"Pacific 110","pacific-110","#8194a1"
"Pacific 45","pacific-45","#78868d"
"Pacific 40","pacific-40","#647079"
"Pacific 80","pacific-80","#becbd0"
"Pacific 75","pacific-75","#a3b2ba"
"Pacific 65","pacific-65","#9aa5ab"
"Pacific 140","pacific-140","#7b97a8"
"Pacific 135","pacific-135","#5f7d8f"
"Pacific 100","pacific-100","#436070"
"Pacific 55","pacific-55","#ced2d2"
"Pacific 145","pacific-145","#99b2bf"
"Pacific 105","pacific-105","#819aa8"
"Pacific 85","pacific-85","#dce5e3"
"Pacific 120","pacific-120","#b8cbd3"
"Pacific 150","pacific-150","#b0cedc"
"Flamenco 85","flamenco-85","#d8c3c5"
"Flamenco 50","flamenco-50","#bcafb2"
"Flamenco 5","flamenco-5","#807878"
"Flamenco 20","flamenco-20","#ddd6d3"
"Flamenco 15","flamenco-15","#d0c6c5"
"Flamenco 10","flamenco-10","#b8adaf"
"Quarz 5","quarz-5","#928b87"
"Quarz 4","quarz-4","#827d79"
"Quarz 2","quarz-2","#756f6c"
"Quarz 18","quarz-18","#d0ccc9"
"Quarz 14","quarz-14","#c0bcb9"
"Quarz 8","quarz-8","#a9a29f"
"Palazzo 35","palazzo-35","#858078"
"Palazzo 4","palazzo-4","#6f6a63"
"Palazzo 2","palazzo-2","#54514e"
"Palazzo 25","palazzo-25","#dad6d0"
"Palazzo ","palazzo","#bebbb4"
"Palazzo 5","palazzo-5","#a19d98"
"Jade 3","jade-3","#84837f"
"Jade 2","jade-2","#706f67"
"Jade 1","jade-1","#4f504c"
"Jade 14","jade-14","#cac8c4"
"Jade 8","jade-8","#bbbab6"
"Jade 4","jade-4","#9f9e9b"
"Petrol 15","petrol-15","#7e8484"
"Petrol 10","petrol-10","#6d7271"
"Petrol 5","petrol-5","#505859"
"Petrol 30","petrol-30","#bdbcba"
"Petrol 25","petrol-25","#a9aaa9"
"Petrol 20","petrol-20","#919597"
"Pacific 14","pacific-14","#9e9fa0"
"Pacific 12","pacific-12","#7c7e80"
"Pacific 8","pacific-8","#686a6a"
"Pacific 28","pacific-28","#d4d4d2"
"Pacific 24","pacific-24","#c0bfbf"
"Pacific 18","pacific-18","#afaead"
"Grau 5","grau-5","#797776"
"Grau 35","grau-35","#6f6d6d"
"Schwarz-Grau ","schwarz-grau","#525252"
"Grau 20","grau-20","#c9c7c4"
"Grau 15","grau-15","#aeaca9"
"Grau 10","grau-10","#928f8e"
"Marill 30","marill-30","#dad3c9"
"Marill 25","marill-25","#c2b8ac"
"Marill 20","marill-20","#a99f92"
"Marill 150","marill-150","#fee0b8"
"Marill 145","marill-145","#ffd89d"
"Marill 140","marill-140","#ffcf89"
"Marill 135","marill-135","#ffc66c"
"Marill 130","marill-130","#ffbf54"
"Marill 125","marill-125","#ffb736"
"Oase 150","oase-150","#acd58f"
"Oase 145","oase-145","#8bc667"
"Oase 140","oase-140","#7db754"
"Oase 135","oase-135","#80a668"
"Oase 130","oase-130","#62994a"
"Oase 125","oase-125","#527e44"
"Lago 120","lago-120","#d3e5ee"
"Lago 115","lago-115","#b1cbdd"
"Lago 105","lago-105","#6b95b5"
"Lazur 25","lazur-25","#d3d4d4"
"Lazur 120","lazur-120","#bccbdb"
"Lazur 145","lazur-145","#9aafc9"
"Aquarell 115","aquarell-115","#e3e5e8"
"Aquarell 85","aquarell-85","#cdd4e3"
"Aquarell 110","aquarell-110","#b6c9e4"
"Amethyst 90","amethyst-90","#e6e1e3"
"Amethyst 85","amethyst-85","#cac5cf"
"Amethyst 80","amethyst-80","#b1abbb"
"Rose 60","rose-60","#f2e2df"
"Rose 90","rose-90","#f7dcdc"
"Rose 85","rose-85","#d3b1b7"
"Kuhl-Wei","kuhl-wei","#e5e5e0"
"Grau-Wei","grau-wei","#efede5"
"Hell-Wei","hell-wei","#f4f3eb"
"Natur-Wei","natur-wei","#e9e6dc"
"Umbra-Wei","umbra-wei","#eae7dc"
"Warm-Wei","warm-wei","#ebe7df"
"Echtgelb","echtgelb","#ffd715"
"Echtrot","echtrot","#d24343"
"Echtblau","echtblau","#34527d"
"Oxidgelb","oxidgelb","#bb8144"
"Mittelbraun","mittelbraun","#8a6a4c"
"Oxidrot","oxidrot","#864a42"
"Oxidgruen","oxidgruen","#5a7250"
"Braun","braun","#684f47"
"Dunkelbraun","dunkelbraun","#5a4d48"
"Wei","wei","#faf7ef"
"Mittelgrau","mittelgrau","#81827d"
"Schwarz","schwarz","#3a3a3b"
