"Alligator Korall 125","korall-125","#804442"
"Alligator Korall 100","korall-100","#735350"
"Alligator Korall 155","korall-155","#ac5753"
"Alligator Korall 135","korall-135","#9d5d58"
"Alligator Korall 105","korall-105","#805855"
"Alligator Korall 115","korall-115","#8e615c"
"Alligator Korall 70","korall-70","#a37974"
"Alligator Korall 95","korall-95","#584544"
"Alligator Korall 110","korall-110","#755c5a"
"Alligator Korall 65","korall-65","#967975"
"Alligator Korall 35","korall-35","#b7a5a2"
"Alligator Korall 45","korall-45","#d0bfbb"
"Alligator Korall 20","korall-20","#e8dcd7"
"Alligator Korall 5","korall-5","#a1908e"
"Alligator Korall 10","korall-10","#b5a9a7"
"Alligator Korall 15","korall-15","#dbcec9"
"Alligator Bordeaux 65","bordeaux-65","#a54640"
"Alligator Bordeaux 75","bordeaux-75","#af6259"
"Alligator Bordeaux 45","bordeaux-45","#b27269"
"Alligator Bordeaux 55","bordeaux-55","#d2a39d"
"Alligator Bordeaux 35","bordeaux-35","#80544d"
"Alligator Bordeaux 50","bordeaux-50","#b98379"
"Alligator Bordeaux 60","bordeaux-60","#e9c4bd"
"Alligator Bordeaux 5","bordeaux-5","#a98b85"
"Alligator Bordeaux 10","bordeaux-10","#bb9a92"
"Alligator Bordeaux 15","bordeaux-15","#bfa8a3"
"Alligator Cameo 125","cameo-125","#a15545"
"Alligator Cameo 95","cameo-95","#8a5649"
"Alligator Cameo 130","cameo-130","#ac685b"
"Alligator Cameo 135","cameo-135","#c7806e"
"Alligator Cameo 65","cameo-65","#927068"
"Alligator Cameo 70","cameo-70","#ab8b82"
"Alligator Cameo 50","cameo-50","#cbb5ae"
"Alligator Cameo 35","cameo-35","#87736f"
"Alligator Cameo 40","cameo-40","#a7938d"
"Alligator Cameo 20","cameo-20","#dfd3cc"
"Alligator Cameo 5","cameo-5","#9b8c88"
"Alligator Cameo 10","cameo-10","#b8ada9"
"Alligator Cameo 15","cameo-15","#d0c9c6"
"Alligator Lachs 100","lachs-100","#bc654b"
"Alligator Lachs 65","lachs-65","#aa6952"
"Alligator Lachs 70","lachs-70","#ce8163"
"Alligator Lachs 80","lachs-80","#e69981"
