"Alligator 1 oxidbraun","1-oxidbraun","#604b47"
"Alligator 1 oxidrot","1-oxidrot","#80443c"
"Alligator 1 oxidschwarz","1-oxidschwarz","#48494a"
"Alligator 1 oxidgelb","1-oxidgelb","#d19642"
"Alligator 1 umbra","1-umbra","#655d42"
"Alligator 2 konstantgelb","2-konstantgelb","#ede57b"
"Alligator 2 konstantgruen","2-konstantgruen","#68865c"
"Alligator 3 konstantblau","3-konstantblau","#6d9fd0"
"Alligator 5000-1","5000-1","#eee47d"
"Alligator 5001-2","5001-2","#f3e98c"
"Alligator 5002-3","5002-3","#f3eca0"
"Alligator 5003-4","5003-4","#f4f0c2"
"Alligator 5004-5","5004-5","#f5f3da"
"Alligator 5005-6","5005-6","#f3f4e2"
"Alligator 5006-1","5006-1","#d7a14c"
"Alligator 5007-2","5007-2","#ddaa59"
"Alligator 5008-3","5008-3","#e8bd79"
"Alligator 5009-4","5009-4","#f5d6a5"
"Alligator 5010-5","5010-5","#f8e6c5"
"Alligator 5011-6","5011-6","#f8ebd1"
"Alligator 5012-1","5012-1","#cd9441"
"Alligator 5013-2","5013-2","#d49c4a"
"Alligator 5014-3","5014-3","#dfad65"
"Alligator 5015-4","5015-4","#efc992"
"Alligator 5016-5","5016-5","#f5dab2"
"Alligator 5017-6","5017-6","#f6e5c9"
"Alligator 5018-1","5018-1","#945840"
"Alligator 5019-2","5019-2","#9d634c"
"Alligator 5020-3","5020-3","#b07962"
"Alligator 5021-4","5021-4","#cea18f"
"Alligator 5022-5","5022-5","#e3c3b4"
"Alligator 5023-6","5023-6","#efd9cd"
"Alligator 5024-1","5024-1","#81453c"
"Alligator 5025-2","5025-2","#894f48"
"Alligator 5026-3","5026-3","#9d6863"
"Alligator 5027-4","5027-4","#c09593"
"Alligator 5028-5","5028-5","#d9b7b6"
"Alligator 5029-6","5029-6","#e6ceca"
"Alligator 5030-1","5030-1","#935c4d"
"Alligator 5031-2","5031-2","#9f675c"
"Alligator 5032-3","5032-3","#b28177"
"Alligator 5033-4","5033-4","#cfaaa3"
"Alligator 5034-5","5034-5","#e4cbc6"
"Alligator 5035-6","5035-6","#efdcd5"
"Alligator 5036-1","5036-1","#7c5448"
"Alligator 5037-2","5037-2","#8a6156"
"Alligator 5038-3","5038-3","#a17d76"
