"ACCS 1001","1001","#bda475"
"ACCS 1002","1002","#cdb588"
"ACCS 1003","1003","#d9c39b"
"ACCS 1004","1004","#e3d0ac"
"ACCS 1011","1011","#ddaa56"
"ACCS 1012","1012","#ebbe78"
"ACCS 1013","1013","#eed19d"
"ACCS 1014","1014","#f1dbb5"
"ACCS 1021","1021","#c5b696"
"ACCS 1022","1022","#d3c6aa"
"ACCS 1023","1023","#ded4ba"
"ACCS 1024","1024","#e6e0ce"
"ACCS 1101","1101","#b6956b"
"ACCS 1102","1102","#c2a279"
"ACCS 1103","1103","#d2b48f"
"ACCS 1104","1104","#dec6a6"
"ACCS 1111","1111","#d29f5b"
"ACCS 1112","1112","#dfb171"
"ACCS 1113","1113","#e9bf86"
"ACCS 1114","1114","#eecc9c"
"ACCS 1121","1121","#c4b090"
"ACCS 1122","1122","#d4c09f"
"ACCS 1123","1123","#e0ceb2"
"ACCS 1124","1124","#eadcc5"
"ACCS 1201","1201","#a98a64"
"ACCS 1202","1202","#bea27d"
"ACCS 1203","1203","#ceb697"
"ACCS 1204","1204","#d7c3a8"
"ACCS 1211","1211","#c19760"
"ACCS 1212","1212","#cfab7b"
"ACCS 1213","1213","#d9b98f"
"ACCS 1214","1214","#e5cdab"
"ACCS 1221","1221","#bdad93"
"ACCS 1222","1222","#cdbfa9"
"ACCS 1223","1223","#ddd2bf"
"ACCS 1224","1224","#e8e0d1"
"ACCS 1301","1301","#a98d6f"
"ACCS 1302","1302","#b99e81"
"ACCS 1303","1303","#cfb296"
"ACCS 1304","1304","#dac2a9"
"ACCS 1311","1311","#c29364"
"ACCS 1312","1312","#d2a67c"
"ACCS 1313","1313","#deb891"
"ACCS 1314","1314","#eacaa9"
"ACCS 1321","1321","#baa994"
"ACCS 1322","1322","#cabcaa"
"ACCS 1323","1323","#d8ccbd"
"ACCS 1324","1324","#e3d9cd"
"ACCS 1401","1401","#a28368"
"ACCS 1402","1402","#b6957a"
"ACCS 1403","1403","#c0a48d"
"ACCS 1404","1404","#d2bca8"
"ACCS 1411","1411","#bf845c"
"ACCS 1412","1412","#cc9770"
"ACCS 1413","1413","#dcae8a"
"ACCS 1414","1414","#ebc7ab"
"ACCS 1421","1421","#bba490"
"ACCS 1422","1422","#c6b29f"
"ACCS 1423","1423","#d3c3b2"
"ACCS 1424","1424","#dfd2c3"
"ACCS 1501","1501","#937464"
"ACCS 1502","1502","#ab8b7a"
"ACCS 1503","1503","#bc9e8f"
"ACCS 1504","1504","#cdb3a6"
"ACCS 1511","1511","#a87b65"
"ACCS 1512","1512","#bd9480"
"ACCS 1513","1513","#cca795"
"ACCS 1514","1514","#dbbeb0"
"ACCS 1521","1521","#ab9b92"
"ACCS 1522","1522","#b8a9a0"
"ACCS 1523","1523","#c6b7ae"
"ACCS 1524","1524","#d9ccc3"
"ACCS 1601","1601","#9b6f5c"
"ACCS 1602","1602","#af8370"
"ACCS 1603","1603","#be9483"
"ACCS 1604","1604","#ceac9e"
"ACCS 1611","1611","#b4775c"
"ACCS 1612","1612","#c78e74"
"ACCS 1613","1613","#d7a78f"
"ACCS 1614","1614","#e5bfab"
