"ANPA 71-1","71-1","#e9faff"
"ANPA 71-2","71-2","#d8f4fe"
"ANPA 71-4","71-4","#b4e8fc"
"ANPA 71-6","71-6","#70d4f3"
"ANPA 71-8","71-8","#17c6ee"
"ANPA 71-0","71-0","#00bbec"
"ANPA 72-1","72-1","#fff1f8"
"ANPA 72-2","72-2","#ffebf5"
"ANPA 72-4","72-4","#ffd7ea"
"ANPA 72-6","72-6","#f9aed3"
"ANPA 72-8","72-8","#f484b7"
"ANPA 72-0","72-0","#ec5399"
"ANPA 73-1","73-1","#ffffeb"
"ANPA 73-2","73-2","#fffede"
"ANPA 73-4","73-4","#fffcbe"
"ANPA 73-6","73-6","#fff98d"
"ANPA 73-8","73-8","#fff669"
"ANPA 73-0","73-0","#fff537"
"ANPA 74-1","74-1","#ffeaf0"
"ANPA 74-2","74-2","#fddee7"
"ANPA 74-4","74-4","#fdc4d5"
"ANPA 74-6","74-6","#fb9cb8"
"ANPA 74-8","74-8","#fa7ca3"
"ANPA 74-0","74-0","#f54882"
"ANPA 75-1","75-1","#ffebed"
"ANPA 75-2","75-2","#ffe5e9"
"ANPA 75-4","75-4","#ffd1d8"
"ANPA 75-6","75-6","#ffa6b3"
"ANPA 75-8","75-8","#ff7b8a"
"ANPA 75-0","75-0","#ff4b5a"
"ANPA 76-1","76-1","#fcf2fd"
"ANPA 76-2","76-2","#f6e6f8"
"ANPA 76-4","76-4","#eaccf3"
"ANPA 76-6","76-6","#d7a2e6"
"ANPA 76-8","76-8","#c981dd"
"ANPA 76-0","76-0","#bd59d4"
"ANPA 77-1","77-1","#f3f2fc"
"ANPA 77-2","77-2","#ebe7fb"
"ANPA 77-4","77-4","#d5d0f4"
"ANPA 77-6","77-6","#b3aaec"
"ANPA 77-8","77-8","#9e8de3"
"ANPA 77-0","77-0","#846add"
"ANPA 70-1","70-1","#ffffff"
"ANPA 70-2","70-2","#ffffff"
"ANPA 70-4","70-4","#ffffff"
"ANPA 70-6","70-6","#ffffff"
"ANPA 70-8","70-8","#ffffff"
"ANPA 70-0","70-0","#ffffff"
"ANPA 701-1","701-1","#eff4ff"
"ANPA 701-2","701-2","#e3ebfe"
"ANPA 701-4","701-4","#c4d3f6"
"ANPA 701-6","701-6","#92afec"
"ANPA 701-8","701-8","#6d93e1"
"ANPA 701-0","701-0","#2c6ed5"
"ANPA 702-1","702-1","#e5f6eb"
"ANPA 702-2","702-2","#d9f1e3"
"ANPA 702-4","702-4","#b3e2c5"
"ANPA 702-6","702-6","#78cc99"
"ANPA 702-8","702-8","#46bc7b"
"ANPA 702-0","702-0","#00ad5f"
"ANPA 703-1","703-1","#fffcf2"
"ANPA 703-2","703-2","#ffece0"
"ANPA 703-4","703-4","#ffd6bf"
"ANPA 703-6","703-6","#ffb58b"
"ANPA 703-8","703-8","#ff9e5c"
"ANPA 703-0","703-0","#ff8300"
"ANPA 704-1","704-1","#ffe9ec"
"ANPA 704-2","704-2","#ffdee1"
"ANPA 704-4","704-4","#ffbfc6"
"ANPA 704-6","704-6","#ff909b"
"ANPA 704-8","704-8","#ff6e7b"
"ANPA 704-0","704-0","#fa4251"
"ANPA 720-1","720-1","#fff0f7"
"ANPA 720-2","720-2","#ffe3ee"
"ANPA 720-4","720-4","#ffc5db"
"ANPA 720-6","720-6","#fd95b9"
"ANPA 720-8","720-8","#f972a1"
"ANPA 720-0","720-0","#f24385"
"ANPA 721-1","721-1","#ffecf3"
"ANPA 721-2","721-2","#ffdfe7"
"ANPA 721-4","721-4","#ffbdcb"
"ANPA 721-6","721-6","#ff8ba2"
"ANPA 721-8","721-8","#ff6784"
"ANPA 721-0","721-0","#ff3e64"
"ANPA 722-1","722-1","#fff1f6"
"ANPA 722-2","722-2","#ffe5ec"
"ANPA 722-4","722-4","#ffcad8"
"ANPA 722-6","722-6","#ff9eb6"
"ANPA 722-8","722-8","#fd7899"
"ANPA 722-0","722-0","#f74877"
"ANPA 723-1","723-1","#fff0ef"
"ANPA 723-2","723-2","#ffe6e4"
"ANPA 723-4","723-4","#ffc6c5"
"ANPA 723-6","723-6","#f89291"
