"10-1","10-1","#fdefd7"
"10-2","10-2","#feecce"
"10-3","10-3","#fce4bf"
"10-4","10-4","#f8d9ab"
"10-5","10-5","#f6d39f"
"10-6","10-6","#f2c98f"
"10-7","10-7","#ebbb78"
"10-8","10-8","#c5883c"
"30-1","30-1","#e5d2d2"
"30-2","30-2","#ddc5c6"
"30-3","30-3","#d0b2b4"
"30-4","30-4","#c09b9f"
"30-5","30-5","#b58d90"
"30-6","30-6","#a87d80"
"30-7","30-7","#946669"
"30-8","30-8","#724342"
"32-1","32-1","#eec2b6"
"32-2","32-2","#e6afa3"
"32-3","32-3","#db9b8d"
"32-4","32-4","#ce8778"
"32-5","32-5","#c67c6d"
"32-6","32-6","#b86b5e"
"32-7","32-7","#a65c50"
"32-8","32-8","#87463c"
"50-1","50-1","#e7ecee"
"50-2","50-2","#dde5ed"
"50-3","50-3","#d0dced"
"50-4","50-4","#becee7"
"50-5","50-5","#b1c4e5"
"50-6","50-6","#a0b5de"
"50-7","50-7","#849ed3"
"50-8","50-8","#2d4fa4"
"60-1","60-1","#e2e8da"
"60-2","60-2","#d7e0d0"
"60-3","60-3","#c9d5c1"
"60-4","60-4","#b6c6b1"
"60-5","60-5","#acbea4"
"60-6","60-6","#9db296"
"60-7","60-7","#8ba384"
"60-8","60-8","#57704e"
"81-1","81-1","#d9d0cc"
"81-2","81-2","#cac0bc"
"81-3","81-3","#baadaa"
"81-4","81-4","#a59793"
"81-5","81-5","#998986"
"81-6","81-6","#897a77"
"81-7","81-7","#776765"
"81-8","81-8","#524340"
"82-1","82-1","#d7d0c9"
"82-2","82-2","#cac1b9"
"82-3","82-3","#b9afa7"
"82-4","82-4","#a79c93"
"82-5","82-5","#9b8e85"
"82-6","82-6","#8c7f76"
"82-7","82-7","#7a6d65"
"82-8","82-8","#544841"
"99-1","99-1","#cfcecb"
"99-2","99-2","#bfbdbc"
"99-3","99-3","#acabaa"
"99-4","99-4","#969595"
"99-5","99-5","#898889"
"99-6","99-6","#787779"
"99-7","99-7","#676668"
"99-8","99-8","#393736"
