"K05 1","k05-1","#fdf3e1"
"K05 2","k05-2","#fbecd4"
"K05 3","k05-3","#fce7c8"
"K05 4","k05-4","#f9ddb3"
"K05 5","k05-5","#fadaab"
"K05 6","k05-6","#f6d099"
"K05 7","k05-7","#f2c785"
"K05 8","k05-8","#e4a94f"
"K35 1","k35-1","#f7e0dd"
"K35 2","k35-2","#f4d8d4"
"K35 3","k35-3","#eec9c5"
"K35 4","k35-4","#e5b7b2"
"K35 5","k35-5","#dda8a3"
"K35 6","k35-6","#d6958d"
"K35 7","k35-7","#cb867e"
"K35 8","k35-8","#aa5140"
"K45 1","k45-1","#f1e6e6"
"K45 2","k45-2","#ebdbdd"
"K45 3","k45-3","#e3cfd2"
"K45 4","k45-4","#d7bdc1"
"K45 5","k45-5","#d0b4b8"
"K45 6","k45-6","#c4a2a6"
"K45 7","k45-7","#b79095"
"K45 8","k45-8","#8f595a"
"K55 1","k55-1","#f0f5f6"
"K55 2","k55-2","#e9f1f6"
"K55 3","k55-3","#e0edf6"
"K55 4","k55-4","#d3e6f6"
"K55 5","k55-5","#c8dff3"
"K55 6","k55-6","#bbd8f3"
"K55 7","k55-7","#afd2f3"
"K55 8","k55-8","#70aee8"
"K65 1","k65-1","#edf0e8"
"K65 2","k65-2","#e9eee5"
"K65 3","k65-3","#e0e7db"
"K65 4","k65-4","#d0dbca"
"K65 5","k65-5","#c9d5c2"
"K65 6","k65-6","#bccbb4"
"K65 7","k65-7","#abbda2"
"K65 8","k65-8","#809a71"
"K85 1","k85-1","#eee4e2"
"K85 2","k85-2","#e5d8d6"
"K85 3","k85-3","#dacac8"
"K85 4","k85-4","#ceb9b6"
"K85 5","k85-5","#c5aca9"
"K85 6","k85-6","#ba9e9b"
"K85 7","k85-7","#a58683"
"K85 8","k85-8","#7d5348"
"K95 1","k95-1","#e5e6e5"
"K95 2","k95-2","#dedede"
"K95 3","k95-3","#d0d0d0"
"K95 4","k95-4","#c1c1c2"
"K95 5","k95-5","#b5b5b7"
"K95 6","k95-6","#a6a6a7"
"K95 7","k95-7","#939395"
"K95 8","k95-8","#5b5857"
"K196","k196","#f5e6ca"
"K238","k238","#f4ddb8"
"K244","k244","#f1dcb4"
"K160","k160","#f0e8d1"
"K246","k246","#e6dab7"
"K291","k291","#ded1a7"
"K290","k290","#cac294"
"K836","k836","#c2dbec"
"K834","k834","#b3cfe0"
"K333","k333","#aec4d7"
"K184","k184","#f2ddc8"
"K226","k226","#efd4b3"
"K232","k232","#f3d3b2"
"K234","k234","#ebbfa6"
"K501","k501","#e3ae79"
"K500","k500","#d49352"
"K1013","k1013","#d19164"
"K679","k679","#e1b5af"
"K278","k278","#d79b82"
"K504","k504","#ce8b70"
"K707","k707","#c59995"
"K1011","k1011","#bc704d"
"K1002","k1002","#b27a52"
"K1000","k1000","#a0685e"
