"Australian Y 11 - Canary","y-11-canary","#eabe00"
"Australian Y 12 - Wattle","y-12-wattle","#e9ac00"
"Australian Y 13 - Vivid Yellow","y-13-vivid-yellow","#fbab00"
"Australian Y 14 - Golden Yellow","y-14-golden-yellow","#f2a300"
"Australian Y 15 - Sunflower","y-15-sunflower","#fea700"
"Australian Y 16 - Inca Gold","y-16-inca-gold","#de8b00"
"Australian Y 21 - Primrose","y-21-primrose","#e3d161"
"Australian Y 22 - Custard","y-22-custard","#f1ce5f"
"Australian Y 23 - Buttercup","y-23-buttercup","#f5ce3f"
"Australian Y 24 - Straw","y-24-straw","#e6ca89"
"Australian Y 25 - Deep Cream","y-25-deep-cream","#f3c771"
"Australian Y 26 - Homebush Gold","y-26-homebush-gold","#fac300"
"Australian Y 31 - Lily Green","y-31-lily-green","#e7e7d3"
"Australian Y 32 - Flummery","y-32-flummery","#eae1a1"
"Australian Y 33 - Pale Primrose","y-33-pale-primrose","#f7f5d3"
"Australian Y 34 - Cream","y-34-cream","#f2e4c3"
"Australian Y 35 - Off White","y-35-off-white","#f5ecd9"
"Australian Y 41 - Olive Yellow","y-41-olive-yellow","#927521"
"Australian Y 42 - Mustard","y-42-mustard","#c7a21e"
"Australian Y 43 - Parchment","y-43-parchment","#d7cca9"
"Australian Y 44 - Sand","y-44-sand","#dfc392"
"Australian Y 45 - Manilla","y-45-manilla","#e8d4ad"
"Australian Y 51 - Bronze Olive","y-51-bronze-olive","#6c603e"
"Australian Y 52 - Chamois","y-52-chamois","#c2ad7b"
"Australian Y 53 - Sandstone","y-53-sandstone","#d7c295"
"Australian Y 54 - Oatmeal","y-54-oatmeal","#cdb187"
"Australian Y 55 - Deep Stone","y-55-deep-stone","#bf9d6f"
"Australian Y 56 - Merino","y-56-merino","#ccbba3"
"Australian Y 61 - Black Olive","y-61-black-olive","#4a4a3e"
"Australian Y 62 - Sugar Cane","y-62-sugar-cane","#c0a75f"
"Australian Y 63 - Khaki","y-63-khaki","#886b42"
"Australian Y 65 - Mushroom","y-65-mushroom","#a89988"
"Australian Y 66 - Mudstone","y-66-mudstone","#5e5549"
"Australian X 11 - Butterscotch","x-11-butterscotch","#d29447"
"Australian X 12 - Pumpkin","x-12-pumpkin","#d67d0d"
"Australian X 13 - Marigold","x-13-marigold","#e57f00"
"Australian X 14 - Mandarin","x-14-mandarin","#dc5214"
"Australian X 15 - Orange","x-15-orange","#dd6f2a"
"Australian X 21 - Pale Ochre","x-21-pale-ochre","#dba868"
"Australian X 22 - Saffron","x-22-saffron","#f3ac55"
"Australian X 23 - Apricot","x-23-apricot","#fbb775"
"Australian X 24 - Rockmelon","x-24-rockmelon","#f28c4f"
"Australian X 31 - Raffia","x-31-raffia","#eecc9d"
"Australian X 32 - Magnolia","x-32-magnolia","#f3e1c5"
"Australian X 33 - Warm White","x-33-warm-white","#f7ebda"
