"Saharagelb","526-G","#f3dc00"
"Buttergelb","527-G","#f6ca00"
"Primelgelb","504-G","#ffbe00"
"Hellgelb","525-G","#fac600"
"Hellorange","516-G","#f99700"
"Orange","509-G","#f86400"
"Klatschmohn","514-G","#ce3209"
"Mittelrot","523-G","#c42918"
"Kirschrot","511-G","#bd2713"
"Geranienrot","503-G","#af0e1e"
"Rot","519-G","#a8131d"
"Dunkelrot","515-G","#8e201d"
"Burgunder","513-G","#6e0e25"
"Magenta","524-G","#ca4085"
"Pink","541-G","#ee8dbf"
"Lavendel","550-G","#7969a9"
"Violet","522-G","#6c3b85"
"Kobaltblau","540-G","#111c3a"
"Dunkelblau","512-G","#253768"
"Tiefblau","528-G","#133482"
"Ultramarinblau","520-G","#104181"
"Strahlendblau","539-G","#0949a5"
"Blau","505-G","#005585"
"Intensivblau","521-G","#006da7"
"Hellblau","510-G","#0079ba"
"Enzianblau","538-G","#0094b9"
"Capriblau","537-G","#4eafd6"
"Tuerkis","534-G","#008e8e"
"Teal","535-G","#009f94"
"Mint","536-G","#72d1b7"
"Waldgruen","533-G","#004e30"
"Irischgruen","532-G","#007a3c"
"Kaktusgruen","506-G","#007d4e"
"Grasgruen","518-G","#12852e"
"Hellgruen","517-G","#65a321"
"Limone","531-G","#79c529"
"Weiss","501-G","#ebeced"
"Lichtgrau","544-G","#c1c1c1"
"Hellgrau","529-G","#9fa5af"
"Grau","508-G","#818a91"
"Taubengrau","545-G","#939590"
"Dunkelgrau","530-G","#565c61"
"Schwarz","502-G","#101115"
"Silber","546-G","#85888a"
"Gold","547-G","#968453"
"Elfenbein","542-G","#e2cdb1"
"Beige","543-G","#d9bf90"
"Lichtbraun","549-G","#aa865b"
"Braun","507-G","#3d241c"
"Nussbraun","548-G","#af5a23"
"Saharagelb","526-M","#f5db0c"
"Buttergelb","527-M","#f1c905"
"Primelgelb","504-M","#fcbe00"
"Hellgelb","525-M","#f7c600"
"Hellorange","516-M","#fa9b00"
"Orange","509-M","#e75b27"
"Klatschmohn","514-M","#d3442d"
"Mittelrot","523-M","#c33e36"
"Kirschrot","511-M","#bf3a2e"
"Geranienrot","503-M","#ad272e"
"Rot","519-M","#a92f33"
"Dunkelrot","515-M","#8c3433"
"Burgunder","513-M","#722a35"
"Magenta","524-M","#c34a84"
"Pink","541-M","#eb92c1"
"Lavendel","550-M","#7d71ab"
"Violet","522-M","#754a8c"
"Kobaltblau","540-M","#2b3046"
"Dunkelblau","512-M","#35436c"
"Tiefblau","528-M","#3c4981"
"Ultramarinblau","520-M","#35558d"
"Strahlendblau","539-M","#2756aa"
"Blau","505-M","#27608d"
"Intensivblau","521-M","#0072ab"
"Hellblau","510-M","#017ebc"
"Enzianblau","538-M","#009abf"
"Capriblau","537-M","#5ab1d9"
"Tuerkis","534-M","#009295"
"Teal","535-M","#00a098"
"Mint","536-M","#76d5bd"
"Waldgruen","533-M","#00593d"
"Irischgruen","532-M","#007e4b"
"Kaktusgruen","506-M","#008759"
"Grasgruen","518-M","#328e40"
"Hellgruen","517-M","#70ad3a"
"Limone","531-M","#83cc3f"
