"Avery 707 Primrose Yellow","707-primrose-yellow","#f2dd00"
"Avery 739 Bright Yellow","739-bright-yellow","#f6c400"
"Avery 706 Sunflower Yellow","706-sunflower-yellow","#feb700"
"Avery 706-01 Sun Yellow","706-01-sun-yellow","#ffb600"
"Avery 704 Signal Yellow","704-signal-yellow","#f2a900"
"Avery 710 Gold Yellow","710-gold-yellow","#fda600"
"Avery 764 Saffron","764-saffron","#fa9d00"
"Avery 760 Orange Yellow","760-orange-yellow","#fcab00"
"Avery 722 Light Orange","722-light-orange","#ea6000"
"Avery 705 Orange","705-orange","#e75f00"
"Avery 738 Bright Orange","738-bright-orange","#e65301"
"Avery 743 Deep Red","743-deep-red","#dc3c06"
"Avery 748 Tomato Red","748-tomato-red","#d73116"
"Avery 737 Bright Red","737-bright-red","#cf2502"
"Avery 769 Orange Red","769-orange-red","#d42f04"
"Avery 726 Medium Red","726-medium-red","#c21f12"
"Avery 765 Blood Red","765-blood-red","#c61112"
"Avery 749 Cardinal Red","749-cardinal-red","#c32615"
"Avery 763 Regal Red","763-regal-red","#c2222e"
"Avery 749-01 Crimson Red","749-01-crimson-red","#b8081a"
"Avery 703 Cherry Red","703-cherry-red","#ab151d"
"Avery 771 Lipstick Red","771-lipstick-red","#b00919"
"Avery 750 Apple Red","750-apple-red","#a20011"
"Avery 770 Red","770-red","#a21b16"
"Avery 767 Dark Red","767-dark-red","#861522"
"Avery 778 Wine Red","778-wine-red","#7f2026"
"Avery 780 Purple Red","780-purple-red","#61111c"
"Avery 702 Burgundy Red","702-burgundy-red","#67182a"
"Avery 779 Bordeaux","779-bordeaux","#610f33"
"Avery 716 Pink","716-pink","#ee91bc"
"Avery 799 Old Pink","799-old-pink","#ec828d"
"Avery 774 Magenta","774-magenta","#d86289"
"Avery 772 Fuchsia","772-fuchsia","#c74d89"
"Avery 773 Telemagenta","773-telemagenta","#ba3772"
"Avery 715 Cyclamen","715-cyclamen","#b92662"
"Avery 768 Dark Pink","768-dark-pink","#b42e6b"
"Avery 776 Lilac","776-lilac","#bf9cc4"
"Avery 775 Lavender","775-lavender","#7e6aab"
"Avery 717 Violet","717-violet","#5b3f8b"
"Avery 777 Purple","777-purple","#5e386a"
"Avery 732 Light Blue","732-light-blue","#53afd7"
"Avery 784 Sky Blue","784-sky-blue","#0098d2"
"Avery 782 Pastel Blue","782-pastel-blue","#0b87ba"
"Avery 709-01 Euro Blue","709-01-euro-blue","#008bbc"
"Avery 709 Ocean Blue","709-ocean-blue","#008ac1"
"Avery 751 Azure Blue","751-azure-blue","#0076b7"
"Avery 741-01 Dodger Blue","741-01-dodger-blue","#0074b5"
"Avery 741 Scuba Blue","741-scuba-blue","#0066ad"
"Avery 708 Cosmos Blue","708-cosmos-blue","#005594"
"Avery 752 Ultramarine Blue","752-ultramarine-blue","#05438d"
"Avery 733 Blue","733-blue","#00557a"
"Avery 795 Delft Blue","795-delft-blue","#00497e"
"Avery 753 Brillant Blue","753-brillant-blue","#284cbf"
"Avery 793 Classic Blue","793-classic-blue","#1d2f83"
"Avery 794 Middle Blue","794-middle-blue","#133b82"
"Avery 785 King Blue","785-king-blue","#1f357e"
"Avery 754 Royal Blue","754-royal-blue","#233a82"
"Avery 792 Midnight Blue","792-midnight-blue","#192d71"
"Avery 747-01 Denim Blue","747-01-denim-blue","#043672"
"Avery 747 Marine Blue","747-marine-blue","#0a356f"
"Avery 789 Ink Blue","789-ink-blue","#223664"
"Avery 791 Deep Blue","791-deep-blue","#1d285c"
"Avery 723 Dark Blue","723-dark-blue","#222c64"
"Avery 783 Scandinavia Blue","783-scandinavia-blue","#0f2d58"
"Avery 724 Cobalt Blue","724-cobalt-blue","#141f40"
"Avery 724-02 Steel Blue","724-02-steel-blue","#152146"
"Avery 724-01 Alfa Blue","724-01-alfa-blue","#16253b"
"Avery 788 Black Blue","788-black-blue","#151e29"
"Avery 796 Blue Green","796-blue-green","#8edbda"
"Avery 729 Mint","729-mint","#74d6bc"
"Avery 742 Teal","742-teal","#00a59a"
"Avery 786 Dark Teal","786-dark-teal","#00a698"
"Avery 731 Turquoise","731-turquoise","#009193"
"Avery 797 Turquoise Blue","797-turquoise-blue","#008c8a"
"Avery 798 Petrol","798-petrol","#00636e"
"Avery 734-01 Turquoise Green","734-01-turquoise-green","#006f4e"
"Avery 711 Forest Green","711-forest-green","#00552e"
"Avery 711-01 Dark Green","711-01-dark-green","#004f30"
"Avery 757 Olive Green","757-olive-green","#125617"
"Avery 766 Foliage Green","766-foliage-green","#1d561e"
"Avery 781 Emerald","781-emerald","#00642c"
"Avery 734 Kelly Green","734-kelly-green","#007440"
"Avery 756 Green","756-green","#008441"
"Avery 712 Cactus Green","712-cactus-green","#009054"
"Avery 755-01 Bright Green","755-01-bright-green","#009437"
"Avery 755 Light Green","755-light-green","#009035"
"Avery 713 Grass Green","713-grass-green","#37a207"
"Avery 714-01 Lime Tree Green","714-01-lime-tree-green","#72c235"
"Avery 714 Lime","714-lime","#80cc3c"
"Avery 700 White","700-white","#f1f2f6"
"Avery 730 White Matt","730-white-matt","#f4f4f6"
"Avery 745 Mist","745-mist","#cbcbcb"
"Avery 745-01 Pale Grey","745-01-pale-grey","#cbccc9"
"Avery 744 Dove Grey","744-dove-grey","#989a94"
"Avery 725 Medium Grey","725-medium-grey","#818a90"
"Avery 744-01 Tele Grey","744-01-tele-grey","#909292"
"Avery 720 Grey","720-grey","#5f6567"
"Avery 720-01 Stone Grey","720-01-stone-grey","#6c6e68"
"Avery 759 Dark Grey","759-dark-grey","#4c4e4e"
"Avery 759-01 Komatsu Grey","759-01-komatsu-grey","#323434"
"Avery 701 Black","701-black","#101114"
"Avery 721 Black Matt","721-black-matt","#2b2b2c"
"Avery 746 Grey Metallic","746-grey-metallic","#464646"
"Avery 735 Silver Metallic","735-silver-metallic","#b9baba"
"Avery 736 Gold Metallic","736-gold-metallic","#b69f5f"
"Avery 758 Ivory","758-ivory","#ebdcba"
"Avery 758-01 Light Ivory","758-01-light-ivory","#e9d5b9"
"Avery 719 Beige","719-beige","#e7cd9b"
"Avery 719-01 Cream","719-01-cream","#f5dfa0"
"Avery 727 Tan","727-tan","#ae8552"
"Avery 727-01 Light Brown","727-01-light-brown","#ac875c"
"Avery 728 Caramel","728-caramel","#7e4c25"
"Avery 728-01 Medium Brown","728-01-medium-brown","#804f28"
"Avery 761 Fawn Brown","761-fawn-brown","#6c4121"
"Avery 718 Chocolate Brown","718-chocolate-brown","#50362a"
"Avery 762 Dark Brown","762-dark-brown","#43291d"
"Avery 718-01 Brown","718-01-brown","#432822"
"Avery 790 Red Brown","790-red-brown","#5f231b"
