"Avery 807 Primrose Yellow","807-primrose-yellow","#f5dc00"
"Avery 839 Bright Yellow","839-bright-yellow","#fbc400"
"Avery 855 Yellow","855-yellow","#ffc100"
"Avery 806 Sunflower Yellow","806-sunflower-yellow","#ffbb00"
"Avery 856 Dark Yellow","856-dark-yellow","#fbab00"
"Avery 862 Signal Yellow","862-signal-yellow","#eea600"
"Avery 860 Corn Yellow","860-corn-yellow","#fba900"
"Avery 866 Light Orange","866-light-orange","#ef6500"
"Avery 805 Orange","805-orange","#e66000"
"Avery 848 Bright Orange","848-bright-orange","#e7560e"
"Avery 865 Warm Red","865-warm-red","#db3c05"
"Avery 837 Bright Red","837-bright-red","#ce2100"
"Avery 826 Medium Red","826-medium-red","#c51d14"
"Avery 850 Tomato Red","850-tomato-red","#c11212"
"Avery 849 Geranium Red","849-geranium-red","#b70318"
"Avery 803 Cherry Red","803-cherry-red","#a80a14"
"Avery 864 Red","864-red","#a11b18"
"Avery 858 Dark Red","858-dark-red","#830f1a"
"Avery 802 Burgundy Red","802-burgundy-red","#691929"
"Avery 867 Deep Purple","867-deep-purple","#630f36"
"Avery 816 Pink","816-pink","#f08ab8"
"Avery 873 Magenta","873-magenta","#d15988"
"Avery 872 Blossom","872-blossom","#be3975"
"Avery 815 Cyclamen","815-cyclamen","#b42c69"
"Avery 871 Lilac","871-lilac","#c195c6"
"Avery 870 Lavender","870-lavender","#816aad"
"Avery 868 Purple","868-purple","#5f346d"
"Avery 817 Violet","817-violet","#5d3b86"
"Avery 824 Cobalt Blue","824-cobalt-blue","#16183e"
"Avery 823 Dark Blue","823-dark-blue","#15255d"
"Avery 853 Royal Blue","853-royal-blue","#192b6e"
"Avery 876 Navy Blue","876-navy-blue","#223763"
"Avery 847 Marine Blue","847-marine-blue","#0e3373"
"Avery 851 Vivid Blue","851-vivid-blue","#07377d"
"Avery 852 Sapphire Blue","852-sapphire-blue","#1e367f"
"Avery 875 Standard Blue","875-standard-blue","#004880"
"Avery 874 Brillant Blue","874-brillant-blue","#1d499d"
"Avery 808 Cosmos Blue","808-cosmos-blue","#005297"
"Avery 841 Scuba Blue","841-scuba-blue","#0064ac"
"Avery 869 Intense Blue","869-intense-blue","#0073b9"
"Avery 809 Ocean Blue","809-ocean-blue","#0087bd"
"Avery 877 Bright Blue","877-bright-blue","#0099ce"
"Avery 832 Light Blue","832-light-blue","#56b0d8"
"Avery 833 Blue","833-blue","#00537a"
"Avery 831 Turquoise","831-turquoise","#009294"
"Avery 842 Teal","842-teal","#00a296"
"Avery 829 Mint","829-mint","#75d5bc"
"Avery 834 Kelly Green","834-kelly-green","#00763e"
"Avery 854 Green","854-green","#00824b"
"Avery 812 Cactus Green","812-cactus-green","#009053"
"Avery 879 Bright Green","879-bright-green","#009033"
"Avery 878 Leaf Green","878-leaf-green","#0d5611"
"Avery 811 Forest Green","811-forest-green","#004d29"
"Avery 813 Grass Green","813-grass-green","#3ea200"
"Avery 814 Lime","814-lime","#82c830"
"Avery 800 White","800-white","#f7f8f4"
"Avery 830 White Matt","830-white-matt","#fafaf7"
"Avery 859 Light Grey","859-light-grey","#c8c8c6"
"Avery 845 Mist","845-mist","#cac9c9"
"Avery 886 Cool Grey","886-cool-grey","#8c8f92"
"Avery 844 Dove Grey","844-dove-grey","#939690"
"Avery 825 Medium Grey","825-medium-grey","#79858c"
"Avery 885 Cloud Grey","885-cloud-grey","#6e716d"
"Avery 820 Grey","820-grey","#5d6263"
"Avery 881 Dark Grey","881-dark-grey","#4d4e4d"
"Avery 801 Black","801-black","#131213"
"Avery 821 Black Matt","821-black-matt","#3b3b3a"
"Avery 846 Grey Metallic","846-grey-metallic","#424446"
"Avery 835 Silver Metallic","835-silver-metallic","#959697"
"Avery 836 Gold Metallic","836-gold-metallic","#9f8c55"
"Avery 857 Ivory","857-ivory","#ebd8c0"
"Avery 861 Cream","861-cream","#f3df9f"
"Avery 819 Beige","819-beige","#e7cb9c"
"Avery 884 Dark Beige","884-dark-beige","#ab865c"
"Avery 827 Tan","827-tan","#b2834c"
"Avery 883 Hazelnut Brown","883-hazelnut-brown","#af5520"
"Avery 882 Chestnut Brown","882-chestnut-brown","#62231c"
"Avery 863 Dark Burgundy","863-dark-burgundy","#5d131c"
"Avery 818 Chocolate Brown","818-chocolate-brown","#513324"
"Avery 880 Brown","880-brown","#402921"
