"Avery 951 Primrose Yellow","951-primrose-yellow","#facb00"
"Avery 928 Bright Yellow","928-bright-yellow","#f9c100"
"Avery 927 Sunflower Yellow","927-sunflower-yellow","#ffb600"
"Avery 936 Light Yellow","936-light-yellow","#ffb700"
"Avery 902 Buttercup Yellow","902-buttercup-yellow","#feb200"
"Avery 904 Chrome Yellow","904-chrome-yellow","#e99500"
"Avery 937 Morning Orange","937-morning-orange","#f2972b"
"Avery 938 Sweet Orange","938-sweet-orange","#f37b24"
"Avery 911 Light Orange","911-light-orange","#e66800"
"Avery 910 Dark Orange","910-dark-orange","#e55700"
"Avery 926 Sunrise","926-sunrise","#de3e0d"
"Avery 980 Spanish Orange","980-spanish-orange","#c54000"
"Avery 906 Medium Red","906-medium-red","#cc220b"
"Avery 925 Signal Red","925-signal-red","#bb2212"
"Avery 955 Cardinal Red","955-cardinal-red","#b51e17"
"Avery 987 Spicy Red","987-spicy-red","#c30e05"
"Avery 981 Soft Red","981-soft-red","#af222e"
"Avery 922 Geranium Red","922-geranium-red","#ab0e1a"
"Avery 903 Tomato Red","903-tomato-red","#a52122"
"Avery 950 Carmine Red","950-carmine-red","#9f0713"
"Avery 924 Dark Red","924-dark-red","#8d181e"
"Avery 923 Burgundy","923-burgundy","#6e0f1c"
"Avery 959 Rioja Red","959-rioja-red","#501521"
"Avery 986 Pink","986-pink","#c03164"
"Avery 947 Magenta","947-magenta","#d46390"
"Avery 978 Light Purple","978-light-purple","#b24784"
"Avery 948 Purple","948-purple","#672760"
"Avery 954 Lilac","954-lilac","#884182"
"Avery 984 Dark Purple","984-dark-purple","#502b4f"
"Avery 969 Passion Blue","969-passion-blue","#262259"
"Avery 909 Sapphire Blue","909-sapphire-blue","#1e3877"
"Avery 933 Midnight Blue","933-midnight-blue","#18387a"
"Avery 939 Royal Blue","939-royal-blue","#003d76"
"Avery 968 Empire Blue","968-empire-blue","#1d2d70"
"Avery 979 Swimming Blue","979-swimming-blue","#25488e"
"Avery 957 Cobalt Blue","957-cobalt-blue","#141b3c"
"Avery 932 Indigo Blue","932-indigo-blue","#0e213c"
"Avery 982 Antique Blue","982-antique-blue","#405072"
"Avery 963 Airforce Blue","963-airforce-blue","#365a6f"
"Avery 912 Gentian Blue","912-gentian-blue","#005891"
"Avery 934 Vivid Blue","934-vivid-blue","#005393"
"Avery 941 Cosmos Blue","941-cosmos-blue","#005190"
"Avery 964 Sea Blue","964-sea-blue","#005f95"
"Avery 935 Intense Blue","935-intense-blue","#0073b5"
"Avery 942 Light Blue","942-light-blue","#0094c9"
"Avery 943 Petrol","943-petrol","#00656d"
"Avery 971 Turquoise","971-turquoise","#008584"
"Avery 944 Aqua","944-aqua","#00a395"
"Avery 946 Caribbean Aqua","946-caribbean-aqua","#00aa97"
"Avery 965 Mint","965-mint","#75d7bc"
"Avery 970 Bottle Green","970-bottle-green","#009358"
"Avery 966 Meadow Green","966-meadow-green","#008c45"
"Avery 929 Green","929-green","#007e2f"
"Avery 908 Kelly Green","908-kelly-green","#007939"
"Avery 931 Emerald Green","931-emerald-green","#006228"
"Avery 945 Golf Green","945-golf-green","#094c3f"
"Avery 916 Dark Green","916-dark-green","#03411f"
"Avery 907 Light Green","907-light-green","#579c37"
"Avery 956 Grass Green","956-grass-green","#69ab27"
"Avery 967 Leaf Green","967-leaf-green","#40450d"
"Avery 958 Springtime Green","958-springtime-green","#b6c622"
"Avery 972 Lemon","972-lemon","#e5cd00"
"Avery 900 White","900-white","#fafbf7"
"Avery 920 White Matt","920-white-matt","#fcfdf9"
"Avery 961 Pearl Grey ","961-pearl-grey","#cccccf"
"Avery 960 Dove Grey","960-dove-grey","#aaa8a5"
"Avery 918 Grey","918-grey","#7d8484"
"Avery 983 Gunmetal Grey","983-gunmetal-grey","#5e6770"
"Avery 962 Storm Grey","962-storm-grey","#4d4f4f"
"Avery 901 Black","901-black","#191817"
"Avery 921 Black Matt","921-black-matt","#3a3a3a"
"Avery 992 Grey Metallic","992-grey-metallic","#535656"
"Avery 990 Silver Metallic","990-silver-metallic","#b5b7b8"
"Avery 991 Gold Metallic","991-gold-metallic","#a49558"
"Avery 913 Ivory","913-ivory","#e8d9c0"
"Avery 917 Taxi Beige","917-taxi-beige","#ecddba"
"Avery 914 Cream","914-cream","#cdaf7f"
"Avery 973 Mocha","973-mocha","#8d5d28"
"Avery 974 Leather Brown","974-leather-brown","#a45516"
"Avery 975 Fox Brown","975-fox-brown","#89382b"
"Avery 930 Wine Red","930-wine-red","#76151b"
"Avery 976 Brown","976-brown","#6a3621"
"Avery 915 Mahogany Brown","915-mahogany-brown","#492a1e"
