"Baumann-Prase 1-W","1-w","#f2eee6"
"Baumann-Prase 2-1X","2-1x","#dad8d4"
"Baumann-Prase 3-2X","3-2x","#bfc0bf"
"Baumann-Prase 4-3X","4-3x","#afb0b0"
"Baumann-Prase 5-4X","5-4x","#9e9fa1"
"Baumann-Prase 6-5X","6-5x","#878889"
"Baumann-Prase 7-6X","7-6x","#7b7d7f"
"Baumann-Prase 8-7X","8-7x","#717275"
"Baumann-Prase 9-8X","9-8x","#5d5e60"
"Baumann-Prase 10-9X","10-9x","#57585a"
"Baumann-Prase 11-10X","11-10x","#4d4e4f"
"Baumann-Prase 12-11X","12-11x","#424243"
"Baumann-Prase 13-12X","13-12x","#3a3a3a"
"Baumann-Prase 14-X","14-x","#302f2e"
"Baumann-Prase 15-2 Pr 3","15-2-pr-3","#b5aaa7"
"Baumann-Prase 16-4 Pr 3","16-4-pr-3","#968d8d"
"Baumann-Prase 17-6 Pr 3","17-6-pr-3","#78706e"
"Baumann-Prase 18-8 Pr 3","18-8-pr-3","#665e5e"
"Baumann-Prase 19-10 Pr 3","19-10-pr-3","#564f4f"
"Baumann-Prase 20-12 Pr 3","20-12-pr-3","#3f3a3a"
"Baumann-Prase 21-2 Rp 4","21-2-rp-4","#b9aca8"
"Baumann-Prase 22-4 Rp 4","22-4-rp-4","#978885"
"Baumann-Prase 23-6 Rp 4","23-6-rp-4","#887876"
"Baumann-Prase 24-8 Rp 4","24-8-rp-4","#6f6260"
"Baumann-Prase 25-10 Rp 4","25-10-rp-4","#574b4b"
"Baumann-Prase 26-12 Rp 4","26-12-rp-4","#3b3332"
"Baumann-Prase 27-2 R 4","27-2-r-4","#c6b1aa"
"Baumann-Prase 28-4 R 4","28-4-r-4","#9a837e"
"Baumann-Prase 29-6 R 4","29-6-r-4","#826967"
"Baumann-Prase 30-8 R 4","30-8-r-4","#6d5754"
"Baumann-Prase 31-10 R 4","31-10-r-4","#5c4744"
"Baumann-Prase 32-12 R 4","32-12-r-4","#473735"
"Baumann-Prase 33-2 Ro 5","33-2-ro-5","#c0b2a9"
"Baumann-Prase 34-4 Ro 5","34-4-ro-5","#a1928e"
"Baumann-Prase 35-6 Ro 5","35-6-ro-5","#87756d"
"Baumann-Prase 36-8 Ro 5","36-8-ro-5","#6a5952"
"Baumann-Prase 37-10 Ro 5","37-10-ro-5","#554640"
"Baumann-Prase 38-12 Ro 5","38-12-ro-5","#443733"
"Baumann-Prase 39-2 Or 6","39-2-or-6","#beab9d"
"Baumann-Prase 40-4 Or 6","40-4-or-6","#a08f84"
"Baumann-Prase 41-6 Or 6","41-6-or-6","#917c6f"
"Baumann-Prase 42-8 Or 6","42-8-or-6","#746055"
"Baumann-Prase 43-10 Or 6","43-10-or-6","#58463d"
"Baumann-Prase 44-12 Or 6","44-12-or-6","#4a3d37"
"Baumann-Prase 45-2 O 7","45-2-o-7","#c5b8ac"
"Baumann-Prase 46-4 O 7","46-4-o-7","#a09288"
"Baumann-Prase 47-6 O 7","47-6-o-7","#827468"
"Baumann-Prase 48-8 O 7","48-8-o-7","#6c5d51"
"Baumann-Prase 49-10 O 7","49-10-o-7","#584b41"
"Baumann-Prase 50-12 O 7","50-12-o-7","#463c37"
