"Baumit 0A9","0a9","#d9dddc"
"Baumit 0K9","0k9","#ddded2"
"Baumit 0M9","0m9","#ece5d2"
"Baumit 0R9","0r9","#e0d2cb"
"Baumit 0U9","0u9","#e2dcd7"
"Baumit 0W7","0w7","#e2e1da"
"Baumit 0W9","0w9","#e6e4dc"
"Baumit 1A1","1a1","#677da5"
"Baumit 1A3","1a3","#8396b7"
"Baumit 1A5","1a5","#a7b5cd"
"Baumit 1A7","1a7","#c1ccda"
"Baumit 1A9","1a9","#d2d7da"
"Baumit 1C1","1c1","#b87b4f"
"Baumit 1C3","1c3","#ce9769"
"Baumit 1C5","1c5","#dcac81"
"Baumit 1C7","1c7","#e1c2a1"
"Baumit 1C9","1c9","#e8d4bd"
"Baumit 1F1","1f1","#79565a"
"Baumit 1F3","1f3","#947378"
"Baumit 1F5","1f5","#b39699"
"Baumit 1F7","1f7","#c6b1b3"
"Baumit 1F9","1f9","#d4c6c6"
"Baumit 1G1","1g1","#e5c10f"
"Baumit 1G3","1g3","#ecd34d"
"Baumit 1G5","1g5","#ebdf7f"
"Baumit 1G7","1g7","#e9e5a9"
"Baumit 1G9","1g9","#ebe8c4"
"Baumit 1J1","1j1","#66a594"
"Baumit 1J3","1j3","#89bcad"
"Baumit 1J5","1j5","#b2cfc7"
"Baumit 1J7","1j7","#c9dbd3"
"Baumit 1J9","1j9","#d6dfd8"
"Baumit 1K1","1k1","#6c8768"
"Baumit 1K3","1k3","#879f82"
"Baumit 1K5","1k5","#a5b79f"
"Baumit 1K7","1k7","#c1cdbc"
"Baumit 1K9","1k9","#d2d7cc"
"Baumit 1M1","1m1","#d5a339"
"Baumit 1M3","1m3","#e2b85a"
"Baumit 1M5","1m5","#eace82"
"Baumit 1M7","1m7","#e9daa7"
"Baumit 1M9","1m9","#e9e0bd"
"Baumit 1O1","1o1","#84bb55"
"Baumit 1O3","1o3","#a3cb77"
"Baumit 1O5","1o5","#bed895"
"Baumit 1O7","1o7","#d0dcb2"
"Baumit 1O9","1o9","#dce1c7"
"Baumit 1R1","1r1","#dc7043"
"Baumit 1R3","1r3","#e79163"
"Baumit 1R5","1r5","#e8aa82"
"Baumit 1R7","1r7","#ebc3a3"
"Baumit 1R9","1r9","#ebd7c1"
"Baumit 1S1","1s1","#626059"
"Baumit 1S3","1s3","#7a786f"
"Baumit 1S5","1s5","#9b988e"
"Baumit 1S7","1s7","#b7b4ab"
"Baumit 1S9","1s9","#cfcdc5"
"Baumit 1T1","1t1","#59b2c5"
"Baumit 1T3","1t3","#7ebfcd"
"Baumit 1T5","1t5","#a9d0d6"
"Baumit 1T7","1t7","#c1d7d9"
"Baumit 1T9","1t9","#cfdad7"
"Baumit 1U1","1u1","#8b6050"
"Baumit 1U3","1u3","#a47967"
"Baumit 1U5","1u5","#bd9989"
"Baumit 1U7","1u7","#d3b7a8"
"Baumit 1U9","1u9","#dfcdc2"
"Baumit 1V1","1v1","#755fa1"
"Baumit 1V3","1v3","#957fbc"
"Baumit 1V5","1v5","#b5a3d2"
"Baumit 1V7","1v7","#c7b9d7"
"Baumit 1V9","1v9","#d8d1dc"
"Baumit 1Z1","1z1","#8c5c53"
"Baumit 1Z3","1z3","#a6766b"
"Baumit 1Z5","1z5","#bc9388"
"Baumit 1Z7","1z7","#ccaea4"
"Baumit 1Z9","1z9","#decac1"
"Baumit 2A1","2a1","#627c96"
"Baumit 2A3","2a3","#7a91a6"
"Baumit 2A5","2a5","#9cb0c0"
"Baumit 2A7","2a7","#b9c5ce"
"Baumit 2A9","2a9","#ccd3d6"
"Baumit 2F1","2f1","#855c67"
"Baumit 2F3","2f3","#a67b88"
"Baumit 2F5","2f5","#c09ba4"
"Baumit 2F7","2f7","#d7bbc0"
"Baumit 2F9","2f9","#dbcaca"
"Baumit 2G1","2g1","#e2b528"
"Baumit 2G3","2g3","#e5c44f"
"Baumit 2G5","2g5","#e9d67d"
"Baumit 2G7","2g7","#e8dfa1"
"Baumit 2G9","2g9","#e9e6c1"
"Baumit 2J1","2j1","#6a9980"
"Baumit 2J3","2j3","#8ab29e"
"Baumit 2J5","2j5","#adcaba"
"Baumit 2J7","2j7","#c1d4c9"
