"Baumit 09A","09a","#dee1dc"
"Baumit 09B","09b","#e8e2d0"
"Baumit 09C","09c","#ecdfd1"
"Baumit 09F","09f","#e1e1dd"
"Baumit 09G","09g","#e7e5d7"
"Baumit 09J","09j","#dde4d9"
"Baumit 09K","09k","#e7e7db"
"Baumit 09L","09l","#e1e5d7"
"Baumit 09M","09m","#e9e3ce"
"Baumit 09O","09o","#e9e6d6"
"Baumit 09R","09r","#e3d5cf"
"Baumit 09S","09s","#e3e1dc"
"Baumit 09T","09t","#d7e1da"
"Baumit 09U","09u","#e5dacf"
"Baumit 09V","09v","#e4ded9"
"Baumit 09Z","09z","#e8d5cd"
"Baumit 0W9","0w9","#e8e6db"
"Baumit 11A","11a","#6d929e"
"Baumit 11B","11b","#b3934d"
"Baumit 11C","11c","#bb794d"
"Baumit 11F","11f","#847681"
"Baumit 11G","11g","#d2d27a"
"Baumit 11J","11j","#48aa8d"
"Baumit 11K","11k","#738d6a"
"Baumit 11L","11l","#85b97c"
"Baumit 11M","11m","#cc9848"
"Baumit 11O","11o","#888459"
"Baumit 11R","11r","#945a55"
"Baumit 11S","11s","#6a6762"
"Baumit 11T","11t","#4eb0bf"
"Baumit 11U","11u","#8c6650"
"Baumit 11V","11v","#8a6161"
"Baumit 11Z","11z","#a6624e"
"Baumit 13A","13a","#91b2bc"
"Baumit 13B","13b","#caab64"
"Baumit 13C","13c","#d0946b"
"Baumit 13F","13f","#9d939d"
"Baumit 13G","13g","#dcdd90"
"Baumit 13J","13j","#6ebfa7"
"Baumit 13K","13k","#96ac8a"
"Baumit 13L","13l","#9ccb95"
"Baumit 13M","13m","#dbaf63"
"Baumit 13O","13o","#a19e74"
"Baumit 13R","13r","#af7772"
"Baumit 13S","13s","#8a8781"
"Baumit 13T","13t","#77c6d2"
"Baumit 13U","13u","#a98065"
"Baumit 13V","13v","#a47d7d"
"Baumit 13Z","13z","#bf7e68"
"Baumit 15A","15a","#b5cad0"
"Baumit 15B","15b","#dbc389"
"Baumit 15C","15c","#ddaf8d"
"Baumit 15F","15f","#bdb6bd"
"Baumit 15G","15g","#e0e1a9"
"Baumit 15J","15j","#9cd2c1"
"Baumit 15K","15k","#b4c3a9"
"Baumit 15L","15l","#b4d7ad"
"Baumit 15M","15m","#e6c587"
"Baumit 15O","15o","#c1be9a"
"Baumit 15R","15r","#c79d98"
"Baumit 15S","15s","#adaba5"
"Baumit 15T","15t","#a2d5da"
"Baumit 15U","15u","#c9aa95"
"Baumit 15V","15v","#c3a4a5"
"Baumit 15Z","15z","#d5a492"
"Baumit 17A","17a","#d0dcdc"
"Baumit 17B","17b","#e3d6b2"
"Baumit 17C","17c","#e7ccb4"
"Baumit 17F","17f","#d6d4d4"
"Baumit 17G","17g","#e6e8c8"
"Baumit 17J","17j","#c7ded3"
"Baumit 17K","17k","#d6dccb"
"Baumit 17L","17l","#cfdfc7"
"Baumit 17M","17m","#e9d7b1"
"Baumit 17O","17o","#dad8c2"
"Baumit 17R","17r","#ddc1bc"
"Baumit 17S","17s","#c7c5c1"
"Baumit 17T","17t","#cae2e4"
"Baumit 17U","17u","#d9c2b0"
"Baumit 17V","17v","#dcc8c7"
"Baumit 17Z","17z","#e6c6b8"
"Baumit 21A","21a","#6895af"
"Baumit 21B","21b","#a78b53"
"Baumit 21C","21c","#af6c4f"
"Baumit 21F","21f","#797f94"
"Baumit 21G","21g","#e0da78"
"Baumit 21J","21j","#5ba77e"
"Baumit 21K","21k","#809165"
"Baumit 21L","21l","#b6c274"
"Baumit 21M","21m","#da9d4c"
"Baumit 21O","21o","#959059"
"Baumit 21R","21r","#8e5957"
"Baumit 21S","21s","#626061"
"Baumit 21T","21t","#3fb8bb"
"Baumit 21U","21u","#996b52"
"Baumit 21V","21v","#866c72"
"Baumit 21Z","21z","#9f594c"
"Baumit 23A","23a","#8bafc5"
"Baumit 23B","23b","#bea368"
"Baumit 23C","23c","#c88766"
"Baumit 23F","23f","#9ba2b3"
"Baumit 23G","23g","#e4e08d"
"Baumit 23J","23j","#7abc96"
"Baumit 23K","23k","#9dab81"
