"Barely Pink","100A-1","#f9ecfc"
"Be Mine","100A-2","#f8e0fa"
"Scented Valentine","100A-3","#f8cef9"
"Pink Chintz","100B-4","#f8b5fa"
"Springtime Bloom","100B-5","#e46fec"
"Fuchsia Kiss","100B-6","#cf4ddf"
"Hot Pink","100B-7","#a623a6"
"Cupid Arrow","100C-1","#f9e3f6"
"Cool Pink","100C-2","#eacdea"
"Birthday Candle","100C-3","#d09bd0"
"Degas Pink","100D-4","#ac6eae"
"Berries And Cream","100D-5","#96548e"
"Rose Garland","100D-6","#774172"
"Maroon","100D-7","#663368"
"Coquette","100E-1","#eae3ec"
"Mauve Mist","100E-2","#e1dae7"
"Pastel Violet","100E-3","#ccc1d2"
"Dark Lilac","100F-4","#b5a8bd"
"Gypsy Magic","100F-5","#877895"
"Plum Shade","100F-6","#685971"
"Deep Aubergine","100F-7","#46384a"
"Ballerina Gown","110A-1","#fbecfa"
"Poetic Princess","110A-2","#fcdefa"
"Palace Rose","110A-3","#fec1f6"
"Foxy Pink","110B-4","#e385de"
"Silk Ribbon","110B-5","#cc50c0"
"Cran Brook","110B-6","#a13295"
"Raspberry Pudding","110B-7","#8b1a6f"
"Petal Bloom","110C-1","#fccdf4"
"Colonial Rose","110C-2","#ecacdb"
"Glamour","110C-3","#e18ecd"
"Rosily","110D-4","#c05da6"
"Mission Wildflower","110D-5","#97357e"
"Haunting Melody","110D-6","#712a5f"
"Vin Rouge","110D-7","#532448"
"Whimsical White","110E-1","#efe9ef"
"Brook Trout","110E-2","#dfd4df"
"Dusky Violet","110E-3","#d0c5cf"
"Heirloom Orchid","110F-4","#a99ca9"
"Phantom Hue","110F-5","#856e81"
"Purplestone","110F-6","#6a4b5f"
"Deep Garnet","110F-7","#482a3f"
"Swiss Coffee","12","#f3f2e6"
"Light Chiffon","120A-1","#f7e9f5"
"Delicate Rose","120A-2","#fbdaf5"
"Lovelight","120A-3","#fbd0f0"
"Old Fashioned Pink","120B-4","#fcbeee"
"Candy Coated","120B-5","#fa8bd7"
"Watermelon Pink","120B-6","#ec53b7"
"Tropical Smoothie","120B-7","#cc2c92"
"April Blush","120C-1","#fdc8f7"
"Pink Punch","120C-2","#fcaded"
"Rose Marquis","120C-3","#e482cb"
"Mulberry","120D-4","#c045a1"
"Glazed Raspberry","120D-5","#a1287e"
"Cranberry Splash","120D-6","#831e61"
"Ruby Red","120D-7","#701c52"
"Dreamy White","120E-1","#e9dfe5"
"French Taupe","120E-2","#d2c8d0"
"Subdued Hue","120E-3","#c5b3be"
"Blackberry Mocha","120F-4","#9e8692"
"Hickory Stick","120F-5","#8e6d7a"
"Japanese Maple","120F-6","#654153"
"Plum Raisin","120F-7","#4f2f3d"
"Cottage White","13","#f5eeda"
"Sweet Nothing","130A-1","#fbe4f1"
"Fading Rose","130A-2","#fdc8eb"
"Ballerina Pink","130A-3","#fda7db"
"Primrose Garden","130B-4","#fb85c8"
"Bridesmaid","130B-5","#f666b7"
"Dragon Fruit","130B-6","#dd2f82"
"Cherry Wine","130B-7","#b01b63"
"Powdered Blush","130C-1","#fcd6ee"
"Cafe Pink","130C-2","#f0b9dd"
"Raspberry Lemonade","130C-3","#e7a0cd"
"Rose Sachet","130D-4","#d16fb3"
"Rhubarb","130D-5","#ad3d7b"
"Sweet Spiceberry","130D-6","#9d276b"
"Cranapple","130D-7","#7b194b"
"Glaze White","130E-1","#eee6ee"
"Fairview Taupe","130E-2","#dfcad6"
"Rosy Tan","130E-3","#c8abbb"
"Fond Memory","130F-4","#b298a6"
"Mushroom Basket","130F-5","#8c717e"
"Brazil Nut","130F-6","#755866"
"Semi Sweet","130F-7","#573f4a"
"Strawberry Yogurt","140A-1","#fae1f0"
"Coy Pink","140A-2","#fdd4ee"
"Carnation Bloom","140A-3","#feb1d9"
"Island Coral","140B-4","#fc89c5"
"Flamingo Dream","140B-5","#fa6aad"
"Italiano Rose","140B-6","#d93d81"
"Frosted Pomegranate","140B-7","#ad1545"
"Southern Beauty","140C-1","#fbdaee"
"My Fair Lady","140C-2","#fabcde"
"Hibiscus Petal","140C-3","#f49acb"
"Fresh Pink","140D-4","#ea79b1"
"Rose Chintz","140D-5","#c95991"
"Shangri La","140D-6","#af3f72"
"Classic Cherry","140D-7","#8c1f46"
"Patient White","140E-1","#f2e5ed"
"Royal Silk","140E-2","#e1cbd7"
"Rose Bisque","140E-3","#c9a6ba"
"Bedford Brown","140F-4","#a3768a"
"Clay Ridge","140F-5","#8a5a71"
"Book Binder","140F-6","#704a5a"
"Embarcadero","140F-7","#493039"
"Silk Sheets","150A-1","#fce0ec"
"Rose Sorbet","150A-2","#fecae2"
"Mixed Fruit","150A-3","#feabcb"
"Pink Eraser","150B-4","#fd8db8"
"Cheery","150B-5","#fb6da4"
"Firecracker","150B-6","#e8325e"
"Poinsettia","150B-7","#c6142e"
"Musical Mist","150C-1","#f9eaf4"
"Hawaiian Shell","150C-2","#f6d3e5"
"Arizona Sunrise","150C-3","#efb3d0"
"Pale Berry","150D-4","#eb8fb9"
"Deep Bloom","150D-5","#c55b8a"
"Strawberry Rhubarb","150D-6","#b84472"
"Regal Red","150D-7","#8d2646"
"Delicate Blush","150E-1","#f3d6e2"
"Kashmir Pink","150E-2","#edc7d7"
"Calico Rose","150E-3","#ce9bb3"
"Victorian Mauve","150F-4","#b5839d"
"Mulled Wine","150F-5","#925f79"
"Gallery Red","150F-6","#86415d"
"Burnt Tile","150F-7","#662b40"
