"Frostine","AF-5","#eff2ec"
"Gardenia","AF-10","#f4f1ea"
"Steam","AF-15","#f1f0e7"
"Mascarpone","AF-20","#f9f8e9"
"Paper","AF-25","#f1f1e4"
"Deep","AF-30","#efeddc"
"Vapor","AF-35","#f0ede0"
"Lychee","AF-40","#f6eddd"
"Collector's","AF-45","#f2ebdd"
"Etiquette","AF-50","#e6e1d6"
"Sonnet","AF-55","#e4dcce"
"Peau","AF-60","#e6dccf"
"Fossil","AF-65","#e4decf"
"Battenberg","AF-70","#eae6d1"
"Refined","AF-75","#dfe0ce"
"Jute","AF-80","#dad3bf"
"Frappe","AF-85","#e8dcc4"
"Harmony","AF-90","#decdb2"
"Hush","AF-95","#d5cab0"
"Pashmina","AF-100","#bcb3a2"
"Elk","AF-105","#988669"
"Coriander","AF-110","#958166"
"Lodge","AF-115","#7e674e"
"Tamarind","AF-120","#746147"
"Morrel","AF-125","#b39779"
"Truffle","AF-130","#c7b198"
"Interlude","AF-135","#b9a38b"
"Pensive","AF-140","#beab96"
"Kangaroo","AF-145","#c0b299"
"Cotswold","AF-150","#b6a796"
"Weimaraner","AF-155","#a09383"
"Carob","AF-160","#8d705e"
"Kona","AF-165","#735742"
"French","AF-170","#604e44"
"Barista","AF-175","#59433b"
"Wenge","AF-180","#3d2e2c"
"Venetian","AF-185","#c5aa97"
"Boudoir","AF-190","#dbc3af"
"Terra","AF-195","#debfa0"
"Lingerie","AF-200","#d5b696"
"Serendipity","AF-205","#dab192"
"Milk","AF-210","#d4a583"
"Italianate","AF-215","#cc9a77"
"Masada","AF-220","#a4683f"
"Firenze","AF-225","#b97551"
"Buttered","AF-230","#c47641"
"Warmed","AF-235","#975b3b"
"Satchel","AF-240","#815032"
"Ipanema","AF-245","#c6a48d"
"Head","AF-250","#f0dfd3"
"Fondant","AF-255","#f9eee4"
"Proposal","AF-260","#e9dad5"
"Charmeuse","AF-265","#dccdc3"
"Tea","AF-270","#a16f69"
"Rustique","AF-275","#7d3f2f"
"Salsa","AF-280","#ac5540"
"Moroccan","AF-285","#b35d51"
"Caliente","AF-290","#8b2829"
"Pomegranate","AF-295","#8c393f"
"Dinner","AF-300","#773738"
"Ylang","AF-305","#f5eacf"
"Subtle","AF-310","#f3e8d0"
"Jicama","AF-315","#f3dfbd"
"Flawless","AF-320","#eedcbe"
"Handmade","AF-325","#efd8b3"
"Soleil","AF-330","#fdeabe"
"Safari","AF-335","#ebd3a9"
"Oat","AF-340","#d0bb93"
"Honeymoon","AF-345","#d9bb88"
"Kurkuma","AF-350","#ba9358"
"Etruscan","AF-355","#b08356"
"Farm","AF-360","#c5a079"
"Amulet","AF-365","#dac89b"
"Citrine","AF-370","#c9ac6f"
"Rattan","AF-375","#bca678"
"Coastal","AF-380","#c3b494"
"Splendor","AF-385","#cebe96"
"Glacial","AF-390","#c4b89e"
"Meditation","AF-395","#aca48d"
"Elemental","AF-400","#b2ad8e"
"Thicket","AF-405","#a2a17f"
"Lapland","AF-410","#b5af8f"
"Grasshopper","AF-415","#c6c498"
"Agave","AF-420","#adaa6f"
"Anjou","AF-425","#c8b77a"
"Wasabi","AF-430","#b5a95d"
"Spa","AF-435","#d6d4b9"
"Urban","AF-440","#b2b697"
"Aventurine","AF-445","#989d79"
"Seedling","AF-450","#a4b793"
"Croquet","AF-455","#b3b7a0"
"Jojoba","AF-460","#868b75"
"Wind","AF-465","#c8cbb7"
"Flora","AF-470","#a4ad9f"
"Lush","AF-475","#748172"
"Boreal","AF-480","#54604f"
"Crystalline","AF-485","#cad5c9"
"Tranquility","AF-490","#bcc4bc"
"Azores","AF-495","#8aa199"
"Atmospheric","AF-500","#899e9b"
"Blue","AF-505","#6f898e"
"Dragonfly","AF-510","#3e625f"
"Exhale","AF-515","#a0b9c2"
"Schooner","AF-520","#537788"
"Fiji","AF-525","#4f8093"
"Lucerne","AF-530","#3b657e"
"Serenata","AF-535","#acc2cd"
"Constellation","AF-540","#d6e2e4"
"Solitude","AF-545","#a4afb5"
"Amsterdam","AF-550","#82959e"
"Montpelier","AF-555","#728188"
"Flint","AF-560","#575d5f"
"Mysterious","AF-565","#464c55"
"Coastline","AF-570","#929ea9"
"Instinct","AF-575","#bbc6d1"
"Luxe","AF-580","#757e93"
"Wisteria","AF-585","#9d9da7"
"Tempest","AF-590","#7b777f"
"Inspired","AF-595","#ad9fab"
