"Brander Gelb 101","gelb-101","#dba855"
"Brander Gelb 101-1","gelb-101-1","#f6d090"
"Brander Gelb 101-2","gelb-101-2","#f9e4bd"
"Brander Gelb 101-3","gelb-101-3","#faefd5"
"Brander Gelb 101-4","gelb-101-4","#f8f1dd"
"Brander Ocker 102","ocker-102","#bf863b"
"Brander Ocker 102-1","ocker-102-1","#e4b26a"
"Brander Ocker 102-2","ocker-102-2","#f5d09a"
"Brander Ocker 102-3","ocker-102-3","#fbe4c0"
"Brander Ocker 102-4","ocker-102-4","#f6e7cb"
"Brander Goldocker 103","goldocker-103","#b6793d"
"Brander Goldocker 103-1","goldocker-103-1","#dca569"
"Brander Goldocker 103-2","goldocker-103-2","#f1c89a"
"Brander Goldocker 103-3","goldocker-103-3","#f9e1c1"
"Brander Goldocker 103-4","goldocker-103-4","#ebdac1"
"Brander Erdgruen 104","erdgruen-104","#a27b40"
"Brander Erdgruen 104-1","erdgruen-104-1","#cda668"
"Brander Erdgruen 104-2","erdgruen-104-2","#dbb87e"
"Brander Erdgruen 104-3","erdgruen-104-3","#e7ca99"
"Brander Erdgruen 104-4","erdgruen-104-4","#dcd0b9"
"Brander Terra 105","terra-105","#885840"
"Brander Terra 105-1","terra-105-1","#b78060"
"Brander Terra 105-2","terra-105-2","#d6a88b"
"Brander Terra 105-3","terra-105-3","#eecfb8"
"Brander Terra 105-4","terra-105-4","#f4dcc9"
"Brander Englischrot 106","englischrot-106","#6f413c"
"Brander Englischrot 106-1","englischrot-106-1","#986967"
"Brander Englischrot 106-2","englischrot-106-2","#bf9998"
"Brander Englischrot 106-3","englischrot-106-3","#dbbfbf"
"Brander Englischrot 106-4","englischrot-106-4","#e8d2d0"
"Brander Oxidrot 107","oxidrot-107","#604842"
"Brander Oxidrot 107-1","oxidrot-107-1","#856460"
"Brander Oxidrot 107-2","oxidrot-107-2","#b49591"
"Brander Oxidrot 107-3","oxidrot-107-3","#d6c0bc"
"Brander Oxidrot 107-4","oxidrot-107-4","#e0cec9"
