"Brillux anthrazitgrau","anthrazitgrau","#4d4f4b"
"Brillux anthrazitgrau 1","anthrazitgrau-1","#5e5d57"
"Brillux anthrazitgrau 2","anthrazitgrau-2","#767670"
"Brillux anthrazitgrau 3","anthrazitgrau-3","#8e8d85"
"Brillux anthrazitgrau 4","anthrazitgrau-4","#abaaa2"
"Brillux anthrazitgrau 5","anthrazitgrau-5","#b6b6ae"
"Brillux anthrazitgrau 6","anthrazitgrau-6","#c6c5bd"
"Brillux anthrazitgrau 7","anthrazitgrau-7","#cfcfca"
"Brillux anthrazitgrau 8","anthrazitgrau-8","#d9d9d3"
"Brillux aprikosenrot","aprikosenrot","#c37238"
"Brillux aprikosenrot 1","aprikosenrot-1","#db904f"
"Brillux aprikosenrot 2","aprikosenrot-2","#e5a05d"
"Brillux aprikosenrot 3","aprikosenrot-3","#efb378"
"Brillux aprikosenrot 4","aprikosenrot-4","#f6ca99"
"Brillux aprikosenrot 5","aprikosenrot-5","#f3d2ab"
"Brillux aprikosenrot 6","aprikosenrot-6","#f3d9b6"
"Brillux aprikosenrot 7","aprikosenrot-7","#f5e5cd"
"Brillux aprikosenrot 8","aprikosenrot-8","#f1e3ca"
"Brillux beigebraun","beigebraun","#85684c"
"Brillux beigebraun 1","beigebraun-1","#9c7550"
"Brillux beigebraun 2","beigebraun-2","#b2906b"
"Brillux beigebraun 3","beigebraun-3","#c3a07c"
"Brillux beigebraun 4","beigebraun-4","#d2b898"
"Brillux beigebraun 5","beigebraun-5","#dec9ad"
"Brillux beigebraun 6","beigebraun-6","#e3ceb4"
"Brillux beigebraun 7","beigebraun-7","#eddec8"
"Brillux beigebraun 8","beigebraun-8","#e9decc"
"Brillux blau","blau","#2d558a"
"Brillux braun","braun","#756253"
"Brillux braunorange","braunorange","#cb8646"
"Brillux braunorange 1","braunorange-1","#d89755"
"Brillux braunorange 2","braunorange-2","#e3a864"
"Brillux braunorange 3","braunorange-3","#eebd7f"
"Brillux braunorange 4","braunorange-4","#f6cf9c"
"Brillux braunorange 5","braunorange-5","#f5d8af"
"Brillux braunorange 6","braunorange-6","#f7deb8"
"Brillux braunorange 7","braunorange-7","#f8e7cc"
"Brillux braunorange 8","braunorange-8","#f5e8d0"
"Brillux dunkelbraun","dunkelbraun","#584944"
"Brillux farngruen","farngruen","#6b7953"
"Brillux farngruen 1","farngruen-1","#859466"
"Brillux farngruen 2","farngruen-2","#99a87b"
"Brillux farngruen 3","farngruen-3","#a8ba91"
"Brillux farngruen 4","farngruen-4","#c3cead"
"Brillux farngruen 5","farngruen-5","#cdd8bb"
"Brillux farngruen 6","farngruen-6","#d3ddc3"
"Brillux farngruen 7","farngruen-7","#dfe7d2"
"Brillux farngruen 8","farngruen-8","#e4ead8"
"Brillux fjordblau","fjordblau","#576168"
"Brillux fjordblau 1","fjordblau-1","#6a7981"
"Brillux fjordblau 2","fjordblau-2","#7f8f98"
"Brillux fjordblau 3","fjordblau-3","#99a7ae"
"Brillux fjordblau 4","fjordblau-4","#afbdc1"
"Brillux fjordblau 5","fjordblau-5","#bec9cc"
"Brillux fjordblau 6","fjordblau-6","#c6cfd1"
"Brillux fjordblau 7","fjordblau-7","#d5dbd9"
"Brillux fjordblau 8","fjordblau-8","#dee2de"
"Brillux forstgruen","forstgruen","#51694f"
"Brillux gelb","gelb","#eebd00"
"Brillux goldgelb","goldgelb","#e2a41e"
"Brillux goldgelb 1","goldgelb-1","#e7b742"
"Brillux goldgelb 2","goldgelb-2","#efc150"
"Brillux goldgelb 3","goldgelb-3","#f6d477"
"Brillux goldgelb 4","goldgelb-4","#f9de92"
"Brillux goldgelb 5","goldgelb-5","#f6e5a8"
"Brillux goldgelb 6","goldgelb-6","#f9e9b6"
"Brillux goldgelb 7","goldgelb-7","#f7ecc6"
"Brillux goldgelb 8","goldgelb-8","#f2e8c8"
"Brillux goldocker","goldocker","#bb8e3b"
"Brillux goldocker 1","goldocker-1","#cd9d3a"
"Brillux goldocker 2","goldocker-2","#e2b250"
"Brillux goldocker 3","goldocker-3","#e8c370"
"Brillux goldocker 4","goldocker-4","#e7cb8b"
"Brillux goldocker 5","goldocker-5","#f0daa6"
"Brillux goldocker 6","goldocker-6","#f3ddad"
"Brillux goldocker 7","goldocker-7","#eee1c1"
"Brillux goldocker 8","goldocker-8","#f2e8cc"
"Brillux inkarot","inkarot","#8e5048"
"Brillux inkarot 1","inkarot-1","#a5675d"
"Brillux inkarot 2","inkarot-2","#b47a6e"
"Brillux inkarot 3","inkarot-3","#c6948a"
"Brillux inkarot 4","inkarot-4","#d5aba1"
"Brillux inkarot 5","inkarot-5","#dcb8b0"
"Brillux inkarot 6","inkarot-6","#e1c4bd"
"Brillux inkarot 7","inkarot-7","#eed2c8"
"Brillux inkarot 8","inkarot-8","#eed9cf"
"Brillux lavagrau","lavagrau","#675e4d"
"Brillux lavagrau 1","lavagrau-1","#847760"
"Brillux lavagrau 2","lavagrau-2","#9c8e75"
"Brillux lavagrau 3","lavagrau-3","#b5a990"
"Brillux lavagrau 4","lavagrau-4","#c4bba5"
"Brillux lavagrau 5","lavagrau-5","#d5ccb8"
"Brillux lavagrau 6","lavagrau-6","#dbd3c0"
"Brillux lavagrau 7","lavagrau-7","#e7e0d0"
"Brillux lavagrau 8","lavagrau-8","#ede6d9"
"Brillux lehmbraun","lehmbraun","#a6704c"
