"Brillux altweiss","altweiss","#edefea"
"Brillux anthrazitgrau","anthrazitgrau","#32393d"
"Brillux azurblau","azurblau","#1b5773"
"Brillux beige","beige","#c9ad7d"
"Brillux blaugrau","blaugrau","#5a676b"
"Brillux bordeauxviolett","bordeauxviolett","#621632"
"Brillux chromgelb","chromgelb","#e18c00"
"Brillux cremeweiss","cremeweiss","#ece4d5"
"Brillux enzianblau","enzianblau","#004776"
"Brillux feuerrot","feuerrot","#9d1f14"
"Brillux gelb","gelb","#e6b200"
"Brillux gelborange","gelborange","#d56e00"
"Brillux ginstergelb","ginstergelb","#d8a100"
"Brillux grasgruen","grasgruen","#3f682b"
"Brillux graublau","graublau","#29353f"
"Brillux grauweiss","grauweiss","#d6d5c9"
"Brillux hellblau","hellblau","#dbe7ea"
"Brillux hellelfenbein","hellelfenbein","#e7d7b8"
"Brillux hellgelb","hellgelb","#f2ebcf"
"Brillux hellgrau","hellgrau","#e2e5e3"
"Brillux hellorange","hellorange","#f3e4e0"
"Brillux hellrosa","hellrosa","#da9fa5"
"Brillux hellviolett","hellviolett","#e8e4e4"
"Brillux himmelblau","himmelblau","#0078af"
"Brillux kieselgrau","kieselgrau","#b2af9c"
"Brillux kobaltblau","kobaltblau","#1b2b4f"
"Brillux laubgruen","laubgruen","#275a23"
"Brillux lichtblau","lichtblau","#2684b3"
"Brillux lichtgrau","lichtgrau","#c0c4bf"
"Brillux lichtgruen","lichtgruen","#7dbbb6"
"Brillux mahagonibraun","mahagonibraun","#48291d"
"Brillux moosgruen","moosgruen","#033f2b"
"Brillux nussbraun","nussbraun","#57331d"
"Brillux ockerbraun","ockerbraun","#986223"
"Brillux orangebraun","orangebraun","#a15826"
"Brillux oxidrot","oxidrot","#682b22"
"Brillux ozeanblau","ozeanblau","#003a45"
"Brillux perlweiss","perlweiss","#e2dac6"
"Brillux rehbraun","rehbraun","#653e1e"
"Brillux reinweiss","reinweiss","#f1f0e5"
"Brillux resedagruen","resedagruen","#657c55"
"Brillux rose","rose","#c85059"
"Brillux rubinrot","rubinrot","#7f0d14"
"Brillux safrangelb","safrangelb","#eda644"
"Brillux schokoladenbraun","schokoladenbraun","#3f2820"
"Brillux schwarzrot","schwarzrot","#3a1a1b"
"Brillux sepiabraun","sepiabraun","#44311e"
"Brillux silbergrau","silbergrau","#8d959a"
"Brillux steingrau","steingrau","#8d8b82"
"Brillux tieforange","tieforange","#e06f00"
"Brillux tuerkisblau","tuerkisblau","#158a8b"
"Brillux weiss","weiss","#efefe5"
"Brillux weissgruen","weissgruen","#b3cfad"
