"Brillux 1208 echtgelb","1208-echtgelb","#eee47f"
"Brillux 1209 ocker","1209-ocker","#cc9238"
"Brillux 1218","1218","#eee1b9"
"Brillux 1219","1219","#ddc39b"
"Brillux 1228","1228","#e7d18f"
"Brillux 1229","1229","#dab17f"
"Brillux 1238","1238","#e2cb7a"
"Brillux 1239","1239","#caa070"
"Brillux 1248","1248","#e3dbc8"
"Brillux 1249","1249","#f1dfcf"
"Brillux 1258","1258","#e6d6b7"
"Brillux 1268","1268","#e1c391"
"Brillux 1278","1278","#d5b275"
"Brillux 1288","1288","#e7dfcc"
"Brillux 1298","1298","#e5d7be"
"Brillux 2209 orange","2209-orange","#c1623d"
"Brillux 2219","2219","#e8cfb7"
"Brillux 2229","2229","#e4bea1"
"Brillux 2239","2239","#deac8e"
"Brillux 2249","2249","#d3926d"
"Brillux 2259","2259","#bf7550"
"Brillux 3209 oxidrot","3209-oxidrot","#934a40"
"Brillux 3218","3218","#e0c9be"
"Brillux 3219","3219","#b16d5d"
"Brillux 3228","3228","#dab9a9"
"Brillux 3229","3229","#a3614f"
"Brillux 3238","3238","#c79783"
"Brillux 3248","3248","#b37d67"
"Brillux 3258","3258","#a56e59"
"Brillux 3268","3268","#e0c8be"
"Brillux 3278","3278","#e3b9ab"
"Brillux 3288","3288","#d69e8a"
"Brillux 3298","3298","#c58776"
"Brillux 5209 blau","5209-blau","#0089b3"
"Brillux 5218","5218","#88a0a7"
"Brillux 5228","5228","#a2adad"
"Brillux 5238","5238","#bec9c3"
"Brillux 5248","5248","#d5d6cf"
"Brillux 5259","5259","#cdd5d2"
"Brillux 5269","5269","#aec4ca"
"Brillux 5279","5279","#8aa9b7"
"Brillux 5289","5289","#6391a6"
"Brillux 5299","5299","#56859c"
"Brillux 6208 oxidgruen","6208-oxidgruen","#6c875f"
"Brillux 6209 umbra","6209-umbra","#71674e"
"Brillux 6218","6218","#d6d4c5"
"Brillux 6219","6219","#797c6d"
"Brillux 6228","6228","#c5c4ac"
"Brillux 6238","6238","#acac8e"
"Brillux 6248","6248","#929271"
"Brillux 6258","6258","#81825d"
"Brillux 6268","6268","#cdcfc3"
"Brillux 6278","6278","#b6b9a8"
"Brillux 6279","6279","#687a6f"
"Brillux 6288","6288","#a4a692"
"Brillux 6289","6289","#a6ada0"
"Brillux 6298","6298","#8b8e7b"
"Brillux 6299","6299","#bbc0b0"
"Brillux 7218","7218","#cccfcd"
"Brillux 7219","7219","#656667"
"Brillux 7228","7228","#bdc3c5"
"Brillux 7229","7229","#525151"
"Brillux 7238","7238","#a1a7a8"
"Brillux 7248","7248","#7f8081"
"Brillux 7258","7258","#575e62"
"Brillux 7268","7268","#cccbc5"
"Brillux 7278","7278","#b4b4b0"
"Brillux 7288","7288","#9d9e9e"
"Brillux 7298","7298","#7b7b7c"
"Brillux 8282","8282","#e7e0d9"
"Brillux 8295","8295","#e3d4ce"
"Brillux 8296","8296","#d9c5bf"
"Brillux 8297","8297","#ccb2a7"
"Brillux 8298","8298","#bd9c8f"
"Brillux 8299 oxidbraun","8299-oxidbraun","#654943"
"Brillux 8384","8384","#987264"
"Brillux 8385","8385","#876256"
"Brillux 8386","8386","#d0c5c1"
"Brillux 8387","8387","#beadaa"
"Brillux 8388","8388","#ab928e"
"Brillux 8389","8389","#9c817e"
"Brillux 8390","8390","#846461"
"Brillux 8391","8391","#c8c5c1"
"Brillux 8392","8392","#b8b1ae"
"Brillux 8393","8393","#a79a99"
"Brillux 8394","8394","#928380"
"Brillux 8395","8395","#847473"
"Brillux 8396","8396","#6d5855"
"Brillux 8397","8397","#e6d7cc"
"Brillux 8398","8398","#d9cbc0"
"Brillux 8399","8399","#cbb9ab"
"Brillux 8488","8488","#b49683"
"Brillux 8489","8489","#9c7865"
"Brillux 8490","8490","#e5ded3"
"Brillux 8491","8491","#cec4b6"
"Brillux 8492","8492","#b6a695"
"Brillux 8493","8493","#9c8973"
"Brillux 8494","8494","#85755f"
"Brillux 8495","8495","#ede7d6"
"Brillux 8496","8496","#ddd2be"
"Brillux 8497","8497","#cdc0a6"
"Brillux 8498","8498","#b9a682"
"Brillux 8499","8499","#ae966f"
"Brillux 9900 schwarz","9900-schwarz","#4d4b4a"
