"Lizard Brown","lizard-brown","#887c63"
"BS10B25 Turtle","bs10b25-turtle","#6d644d"
"BS10B27 Brown","bs10b27-brown","#50452d"
"BS10B29 Ironstone","bs10b29-ironstone","#373326"
"BS10C31 Champagne","bs10c31-champagne","#f3e2bf"
"BS10C33 Pollen","bs10c33-pollen","#e6d298"
"BS10C35 Golden Bronze","bs10c35-golden-bronze","#c1a65e"
"BS10C37 Yellow Brown","bs10c37-yellow-brown","#937725"
"BS10C39 Saluki","bs10c39-saluki","#5a4c25"
"BS10D41 Yellow","bs10d41-yellow","#eed079"
"BS10D43 Banana","bs10d43-banana","#c89e00"
"BS10D44 Light Olive","bs10d44-light-olive","#be9129"
"BS10D45 Florida","bs10d45-florida","#967701"
"BS10E49 Pale Lemon","bs10e49-pale-lemon","#eae4a2"
"BS10E50 Forsythia","bs10e50-forsythia","#f0d15d"
"BS10E51 Yellow","bs10e51-yellow","#eab700"
"BS10E53 Canary","bs10e53-canary","#edc300"
"BS10E55 Camery Yellow","bs10e55-camery-yellow","#ffca00"
"BS10E56 Yellow","bs10e56-yellow","#d8a900"
"BS12B15 Seafoam","bs12b15-seafoam","#eae9d2"
"BS12B17 Willow","bs12b17-willow","#cccaa9"
"BS12B19 Beige","bs12b19-beige","#b0af90"
"BS12B21 Opaline","bs12b21-opaline","#99997c"
"BS12B23 Green","bs12b23-green","#7e7f63"
"BS12B25 Thyme","bs12b25-thyme","#61634e"
"BS12B27 Green","bs12b27-green","#616151"
"BS12B29 Juniper","bs12b29-juniper","#343626"
"BS12B31 Light Yellow","bs12b31-light-yellow","#eae9be"
"BS12C33 Catkin","bs12c33-catkin","#c9ca90"
"BS12C35 Green","bs12c35-green","#afb17a"
"BS12C37 Green","bs12c37-green","#777d2d"
"BS12C39 Orchard","bs12c39-orchard","#464b24"
"BS12C40 Green","bs12c40-green","#313724"
"BS12D41 Green","bs12d41-green","#cac973"
"BS12D43 Sapling","bs12d43-sapling","#8e8f25"
"BS12D44 Green","bs12d44-green","#777a07"
"BS12D45 Tundra","bs12d45-tundra","#63641f"
"BS12E51 Citrine","bs12e51-citrine","#c8c92a"
"BS12E53 Linden","bs12e53-linden","#99af2b"
"BS12E55 Green","bs12e55-green","#739e20"
"BS14C31 Green - Alpine","bs14c31-green-alpine","#d9e7d6"
"BS14C33 Green","bs14c33-green","#b9d0be"
"BS14C35 Braemer","bs14c35-braemer","#9bb19e"
"BS14C37 Green","bs14c37-green","#5c876d"
"BS14C39 Hollybush","bs14c39-hollybush","#2f5440"
"BS14C40 Green","bs14c40-green","#2c3a31"
"BS14C41 Green","bs14c41-green","#8dba9b"
"BS14D43 Green","bs14d43-green","#478966"
"BS14D44 Green","bs14d44-green","#29704e"
"BS14D45 Green","bs14d45-green","#005333"
"BS14E49 Light Green","bs14e49-light-green","#d3ebd5"
"BS14E50 Green","bs14e50-green","#aad8b3"
"BS14E51 Goblin","bs14e51-goblin","#56ad6d"
"BS14E53 Avarice","bs14e53-avarice","#01905e"
"BS14E56 Green","bs14e56-green","#00703e"
"BS14E58 Green","bs14e58-green","#1f4231"
"BS16A03 Grey","bs16a03-grey","#c6cac1"
"BS16A07 Mid Grey","bs16a07-mid-grey","#8d918d"
"BS16A11 Grey","bs16a11-grey","#5e6664"
"BS16C33 Duckegg","bs16c33-duckegg","#b3cec7"
"BS16C35 Green","bs16c35-green","#9bb6af"
"BS16C37 Green","bs16c37-green","#548481"
"BS16C39 Green","bs16c39-green","#1d5452"
"BS16C40 Deep Green","bs16c40-deep-green","#2a3838"
"BS16D41 Green","bs16d41-green","#83bdb6"
"BS16D43 Green","bs16d43-green","#298c86"
"BS16D44 Green","bs16d44-green","#00716c"
"BS16D45 Green - Blue","bs16d45-green-blue","#005550"
"BS16E50 Turquoise","bs16e50-turquoise","#a2dbd3"
"BS16E53 Seafarer","bs16e53-seafarer","#008e8a"
"BS16E56 Green","bs16e56-green","#007772"
"BS18A14 Black","bs18a14-black","#333639"
"BS18B15 White","bs18b15-white","#e5e9e2"
"BS18B17 Silver Haze","bs18b17-silver-haze","#c2ccca"
"BS18B19 Grey","bs18b19-grey","#b1b8b7"
"BS18B21 Blue","bs18b21-blue","#8e9897"
"BS18B23 Grey","bs18b23-grey","#767e7d"
"BS18B25 Dk Admir- Grey","bs18b25-dk-admir-grey","#5f6a6c"
"BS18B27 Grey","bs18b27-grey","#444e51"
"BS18B29 Blue","bs18b29-blue","#262d32"
"BS18C31 Blue","bs18c31-blue","#e6ece5"
"BS18C33 Blue","bs18c33-blue","#bbcccc"
"BS18C35 Blue","bs18c35-blue","#96adb6"
"BS18C37 Blue","bs18c37-blue","#587f8b"
"BS18C39 Deep River","bs18c39-deep-river","#225160"
"BS18C40 Black","bs18c40-black","#223238"
"BS18D41 Blue","bs18d41-blue","#87bbc5"
"BS18D43 Dresden Blue","bs18d43-dresden-blue","#418297"
"BS18D44 Blue","bs18d44-blue","#2a7088"
"BS18D45 Blue","bs18d45-blue","#00566c"
"BS18E49 Astral Blue","bs18e49-astral-blue","#d2e7e2"
"BS18E50 Blue","bs18e50-blue","#a8d3dc"
"BS18E51 Mermaid","bs18e51-mermaid","#42a5c1"
"BS18E53 Cobalt Blue","bs18e53-cobalt-blue","#00739d"
"BS18E58 Blue","bs18e58-blue","#003e52"
"BS20C33 Pompadour","bs20c33-pompadour","#bccedd"
"BS20C35 Blue","bs20c35-blue","#a2b2c4"
"BS20C37 Viking","bs20c37-viking","#67839f"
"BS20C39 Blue","bs20c39-blue","#374963"
"BS20C40 Midnight","bs20c40-midnight","#202d44"
"BS20D41 Powder Blue","bs20d41-powder-blue","#9ebbd6"
"BS20D43 Blue","bs20d43-blue","#5a84b1"
"BS20D44 Blue","bs20d44-blue","#416a9d"
"BS20D45 Maritime","bs20d45-maritime","#26557f"
"BS20E50 Blue","bs20e50-blue","#bad5ea"
"BS20E51 Corfu - Purple","bs20e51-corfu-purple","#66a2d2"
"BS20E53 Blue","bs20e53-blue","#096da9"
"BS20E56 Blue","bs20e56-blue","#005b8d"
"BS22B15 Swansdown","bs22b15-swansdown","#e6e6e1"
"BS22B17 Lavender Haze","bs22b17-lavender-haze","#c6c4c9"
"BS22B19 Soft Blue","bs22b19-soft-blue","#afb1b9"
"BS22B21 Kashmir","bs22b21-kashmir","#96949e"
"BS22B23 Purple","bs22b23-purple","#7b7a84"
"BS22B25 Nightshade","bs22b25-nightshade","#63626f"
"BS22B27 Violet","bs22b27-violet","#4d4959"
"BS22B29 Deep Purple","bs22b29-deep-purple","#2f2d3b"
"BS22C31 White","bs22c31-white","#e4e4e3"
"BS22C33 Soft Purple","bs22c33-soft-purple","#c6c6d5"
"BS22C35 Purple","bs22c35-purple","#afafc2"
"BS22C37 Violet","bs22c37-violet","#7a759b"
"BS22C39 Purple","bs22c39-purple","#4c456f"
"BS22C40 Purple","bs22c40-purple","#3a314a"
"BS22D41 Violet","bs22d41-violet","#adafd2"
"BS22D43 Violet","bs22d43-violet","#837eb2"
"BS22D44 Purple","bs22d44-purple","#6a6494"
"BS22D45 Purple","bs22d45-purple","#4e477b"
"BS22E53 Purple","bs22e53-purple","#635b91"
"BS22E58 Purple","bs22e58-purple","#392c59"
"BS24C33 Lilac","bs24c33-lilac","#d2c2ce"
"BS24C35 Pink","bs24c35-pink","#b7a5b5"
"BS24C37 Purple","bs24c37-purple","#8e708d"
"BS24C38 Amethyst","bs24c38-amethyst","#5d3e65"
"BS24C39 Regalia","bs24c39-regalia","#5c3b62"
