"10 A 01","10-a-01","#ecebe4"
"00 A 01","00-a-01","#d5d4cd"
"02 A 03","02-a-03","#cecac8"
"06 A 03","06-a-03","#d0cbc2"
"10 A 03","10-a-03","#c9c7be"
"16 A 03","16-a-03","#c9ccc4"
"00 A 03","00-a-03","#cbcbc6"
"10 A 05","10-a-05","#b6b4aa"
"00 A 05","00-a-05","#b2b1af"
"02 A 07","02-a-07","#a09c9c"
"06 A 07","06-a-07","#999792"
"10 A 07","10-a-07","#9b9892"
"16 A 07","16-a-07","#929693"
"00 A 07","00-a-07","#9c9b9b"
"10 A 09","10-a-09","#86847d"
"00 A 09","00-a-09","#808182"
"02 A 11","02-a-11","#6f6a6b"
"06 A 11","06-a-11","#706d6b"
"10 A 11","10-a-11","#686663"
"16 A 11","16-a-11","#656a69"
"00 A 11","00-a-11","#686867"
"00 A 13","00-a-13","#58595a"
"08 A 14","08-a-14","#403e3c"
"18 A 14","18-a-14","#414549"
"04 B 15","04-b-15","#eee1d8"
"08 B 15","08-b-15","#f6ecd9"
"10 B 15","10-b-15","#f3ebd8"
"12 B 15","12-b-15","#e7e7d2"
"18 B 15","18-b-15","#e7eae5"
"22 B 15","22-b-15","#e7e6e2"
"04 B 17","04-b-17","#d9c5bc"
"08 B 17","08-b-17","#d9c8b4"
"10 B 17","10-b-17","#d5caad"
"12 B 17","12-b-17","#cbcbac"
"18 B 17","18-b-17","#c7d0ce"
"22 B 17","22-b-17","#c9c7cc"
"04 B 19","04-b-19","#c4aca3"
"08 B 19","08-b-19","#b8aa99"
"10 B 19","10-b-19","#bcb095"
"12 B 19","12-b-19","#b3b295"
"18 B 19","18-b-19","#b3bbba"
"22 B 19","22-b-19","#b3b4bd"
"04 B 21","04-b-21","#ab948c"
"08 B 21","08-b-21","#a59587"
"10 B 21","10-b-21","#a49a83"
"12 B 21","12-b-21","#999b80"
"18 B 21","18-b-21","#939c9c"
"22 B 21","22-b-21","#98959d"
"04 B 23","04-b-23","#917b74"
"08 B 23","08-b-23","#8b7c6f"
"10 B 23","10-b-23","#8c826b"
"12 B 23","12-b-23","#7f806a"
"18 B 23","18-b-23","#7b8383"
"22 B 23","22-b-23","#807f88"
"04 B 25","04-b-25","#7b6460"
"08 B 25","08-b-25","#756559"
"10 B 25","10-b-25","#726a57"
"12 B 25","12-b-25","#6a6a58"
"18 B 25","18-b-25","#666f73"
"22 B 25","22-b-25","#676571"
"04 B 27","04-b-27","#66504d"
"08 B 27","08-b-27","#5d4d43"
"10 B 27","10-b-27","#594f3e"
"12 B 27","12-b-27","#555748"
"18 B 27","18-b-27","#50585b"
"22 B 27","22-b-27","#585565"
"04 B 29","04-b-29","#4d3d3c"
"08 B 29","08-b-29","#4c423b"
"10 B 29","10-b-29","#434039"
"12 B 29","12-b-29","#414338"
"18 B 29","18-b-29","#3b4043"
"22 B 29","22-b-29","#41404c"
"04 C 31","04-c-31","#f5e8e1"
"08 C 31","08-c-31","#f2e2c6"
"10 C 31","10-c-31","#f1e3c1"
"12 C 31","12-c-31","#e8e8c0"
"14 C 31","14-c-31","#dae7d8"
