"BRITISH STD StrongColour 0-001","strongcolour-0-001","#ecc800"
"BRITISH STD StrongColour 0-002","strongcolour-0-002","#f0b312"
"BRITISH STD StrongColour 0-003","strongcolour-0-003","#efa800"
"BRITISH STD StrongColour 0-004","strongcolour-0-004","#ec873d"
"BRITISH STD StrongColour 0-005","strongcolour-0-005","#c63d31"
"BRITISH STD StrongColour 0-006","strongcolour-0-006","#a23338"
"BRITISH STD StrongColour 0-007","strongcolour-0-007","#8d3d4b"
"BRITISH STD StrongColour 0-008","strongcolour-0-008","#c7cc29"
"BRITISH STD StrongColour 0-009","strongcolour-0-009","#abaf32"
"BRITISH STD StrongColour 0-010","strongcolour-0-010","#1b815a"
"BRITISH STD StrongColour 0-011","strongcolour-0-011","#006365"
"BRITISH STD StrongColour 0-012","strongcolour-0-012","#23769d"
"BRITISH STD StrongColour 0-013","strongcolour-0-013","#1a5d7a"
"BRITISH STD StrongColour 0-014","strongcolour-0-014","#594f62"
"BRITISH STD Red 1-015","red-1-015","#e7d2c1"
"BRITISH STD Red 1-016","red-1-016","#c4aaa6"
"BRITISH STD Red 1-017","red-1-017","#a68f8d"
"BRITISH STD Red 1-018","red-1-018","#6d4645"
"BRITISH STD Red 1-019","red-1-019","#5a3839"
"BRITISH STD Red 1-020","red-1-020","#e1b9ad"
"BRITISH STD Red 1-021","red-1-021","#e49c96"
"BRITISH STD Red 1-022","red-1-022","#dd7d6a"
"BRITISH STD Red 1-023","red-1-023","#be6055"
"BRITISH STD Red 1-024","red-1-024","#843d36"
"BRITISH STD Red 1-025","red-1-025","#703036"
"BRITISH STD Yellow Red 2-026","yellow-red-2-026","#eec9a4"
"BRITISH STD Yellow Red 2-027","yellow-red-2-027","#c2aa98"
"BRITISH STD Yellow Red 2-028","yellow-red-2-028","#a98772"
"BRITISH STD Yellow Red 2-029","yellow-red-2-029","#84685a"
"BRITISH STD Yellow Red 2-030","yellow-red-2-030","#e4c1a5"
"BRITISH STD Yellow Red 2-031","yellow-red-2-031","#dd9f82"
"BRITISH STD Yellow Red 2-032","yellow-red-2-032","#986755"
"BRITISH STD Yellow Red 3-033","yellow-red-3-033","#f4e9d5"
"BRITISH STD Yellow Red 3-034","yellow-red-3-034","#f1dbc1"
"BRITISH STD Yellow Red 3-035","yellow-red-3-035","#ddccb5"
"BRITISH STD Yellow Red 3-036","yellow-red-3-036","#a28e7a"
"BRITISH STD Yellow Red 3-037","yellow-red-3-037","#908370"
"BRITISH STD Yellow Red 3-038","yellow-red-3-038","#665649"
"BRITISH STD Yellow Red 3-039","yellow-red-3-039","#473c3a"
"BRITISH STD Yellow Red 3-040","yellow-red-3-040","#efd9b4"
"BRITISH STD Yellow Red 3-041","yellow-red-3-041","#f5d1a4"
"BRITISH STD Yellow Red 3-042","yellow-red-3-042","#e4c89a"
"BRITISH STD Yellow Red 3-043","yellow-red-3-043","#c1a076"
"BRITISH STD Yellow Red 3-044","yellow-red-3-044","#995f35"
"BRITISH STD Yellow Red 3-045","yellow-red-3-045","#76543c"
"BRITISH STD Yellow 4-046","yellow-4-046","#f3e8cf"
"BRITISH STD Yellow 4-047","yellow-4-047","#d4caaf"
"BRITISH STD Yellow 4-048","yellow-4-048","#bab09a"
"BRITISH STD Yellow 4-049","yellow-4-049","#a2987e"
"BRITISH STD Yellow 4-050","yellow-4-050","#756745"
"BRITISH STD Yellow 4-051","yellow-4-051","#524e43"
"BRITISH STD Yellow 4-052","yellow-4-052","#f2e3be"
"BRITISH STD Yellow 4-053","yellow-4-053","#f3ebab"
"BRITISH STD Yellow 4-054","yellow-4-054","#f3df92"
"BRITISH STD Yellow 4-055","yellow-4-055","#f2db67"
"BRITISH STD Yellow 4-056","yellow-4-056","#c5a658"
"BRITISH STD Yellow 4-057","yellow-4-057","#d8a73d"
"BRITISH STD Green Yellow 5-058","green-yellow-5-058","#d1cdb0"
"BRITISH STD Green Yellow 5-059","green-yellow-5-059","#b3b69a"
"BRITISH STD Green Yellow 5-060","green-yellow-5-060","#9b9c7f"
"BRITISH STD Green Yellow 5-061","green-yellow-5-061","#495848"
"BRITISH STD Green Yellow 5-062","green-yellow-5-062","#cecf72"
"BRITISH STD Green Yellow 5-063","green-yellow-5-063","#918845"
"BRITISH STD Green Yellow 5-064","green-yellow-5-064","#74834b"
"BRITISH STD Green Yellow 5-065","green-yellow-5-065","#5f6a47"
"BRITISH STD Green 6-066","green-6-066","#8ca28d"
"BRITISH STD Green 6-067","green-6-067","#768772"
"BRITISH STD Green 6-068","green-6-068","#33433d"
"BRITISH STD Green 6-069","green-6-069","#d1ddc2"
"BRITISH STD Green 6-070","green-6-070","#d1ddb7"
"BRITISH STD Green 6-071","green-6-071","#9eb67a"
"BRITISH STD Green 6-072","green-6-072","#7a9e74"
"BRITISH STD Green 6-073","green-6-073","#2f5b4b"
"BRITISH STD Green 6-074","green-6-074","#264b34"
"BRITISH STD Green 7-075","green-7-075","#ccdfcb"
"BRITISH STD Green 7-076","green-7-076","#a8b4ac"
"BRITISH STD Green 7-077","green-7-077","#8ca8a5"
"BRITISH STD Green 7-078","green-7-078","#919d94"
"BRITISH STD Green 7-079","green-7-079","#8cbbac"
"BRITISH STD Green 7-080","green-7-080","#538a8c"
"BRITISH STD Blue 7-081","blue-7-081","#cfe0d4"
"BRITISH STD Blue 7-082","blue-7-082","#a9ccc4"
"BRITISH STD Blue 7-083","blue-7-083","#8fbbbe"
"BRITISH STD Blue 7-084","blue-7-084","#5fa3b0"
"BRITISH STD Blue 7-085","blue-7-085","#306270"
"BRITISH STD Blue 7-086","blue-7-086","#2e4655"
"BRITISH STD Purple Blue 8-087","purple-blue-8-087","#bcc9d0"
"BRITISH STD Purple Blue 8-088","purple-blue-8-088","#83a2b2"
"BRITISH STD Purple Blue 8-089","purple-blue-8-089","#8a8f96"
"BRITISH STD Red Purple 8-090","red-purple-8-090","#e3c9c6"
"BRITISH STD Red Purple 8-091","red-purple-8-091","#bd6775"
"BRITISH STD Red Purple 8-092","red-purple-8-092","#753d4f"
"BRITISH STD Grey 9-093","grey-9-093","#dddbcd"
"BRITISH STD Grey 9-094","grey-9-094","#c5c5bd"
"BRITISH STD Grey 9-095","grey-9-095","#b6b4ac"
"BRITISH STD Grey 9-096","grey-9-096","#95908c"
"BRITISH STD Grey 9-097","grey-9-097","#656d6f"
"BRITISH STD Grey 9-098","grey-9-098","#3f484d"
"BRITISH STD Grey 9-099","grey-9-099","#d0cbbd"
"BRITISH STD Grey 9-100","grey-9-100","#8f8a7e"
"BRITISH STD Grey 9-101","grey-9-101","#6d6c68"
