"BRITISH STD 115 Cobald blue","115-cobald-blue","#5b83af"
"BRITISH STD 104 Azure blue","104-azure-blue","#1f4971"
"BRITISH STD 110 Roundel blue","110-roundel-blue","#253767"
"BRITISH STD 105 Oxford blue","105-oxford-blue","#192b4c"
"BRITISH STD 106 Royal blue","106-royal-blue","#005574"
"BRITISH STD 109 Middle blue","109-middle-blue","#5ba0ad"
"BRITISH STD 112 Arctic blue","112-arctic-blue","#1d5c6a"
"BRITISH STD 113 Deep Saxe blue","113-deep-saxe-blue","#00444e"
"BRITISH STD 114 Rail blue","114-rail-blue","#448581"
"BRITISH STD 102 Turquoise blue","102-turquoise-blue","#42837f"
"BRITISH STD 275 Opaline green","275-opaline-green","#82ac83"
"BRITISH STD 226 Middle Brunswick green","226-middle-brunswick-green","#1d442a"
"BRITISH STD 225 Light Brunswick green","225-light-brunswick-green","#2e5620"
"BRITISH STD 216 Eau-de-Nil","216-eau-de-nil","#a0b67d"
"BRITISH STD 217 Sea green","217-sea-green","#829e54"
"BRITISH STD 224 Deep bronze green","224-deep-bronze-green","#2a301b"
"BRITISH STD 210 Sky","210-sky","#adaf93"
"BRITISH STD 222 Light bronze green","222-light-bronze-green","#5a5a1f"
"BRITISH STD 641 Dark green","641-dark-green","#464536"
"BRITISH STD 285 NATO green","285-nato-green","#545348"
"BRITISH STD 352 Pale cream ","352-pale-cream","#e0c685"
"BRITISH STD 384 Light straw","384-light-straw","#d4c092"
"BRITISH STD 366 Light beige","366-light-beige","#dfc291"
"BRITISH STD 361 Light stone","361-light-stone","#bd9c6e"
"BRITISH STD 450 Dark earth","450-dark-earth","#6e5a44"
"BRITISH STD 360 Deep buff","360-deep-buff","#ab7a49"
"BRITISH STD 410 Light brown","410-light-brown","#8e6131"
"BRITISH STD 411 Middle brown","411-middle-brown","#684121"
"BRITISH STD 499 Service brown","499-service-brown","#483626"
"BRITISH STD 414 Golden brown","414-golden-brown","#935519"
"BRITISH STD 489 Leaf brown","489-leaf-brown","#77472d"
"BRITISH STD 412 Dark brown","412-dark-brown","#4d2c1e"
"BRITISH STD 447 Salmon pink","447-salmon-pink","#d6987e"
"BRITISH STD 446 Red oxide","446-red-oxide","#632d1f"
"BRITISH STD 453 Shell pink","453-shell-pink","#dfc4c0"
"BRITISH STD 542 Ruby","542-ruby","#77244b"
"BRITISH STD 797 Light violet","797-light-violet","#ad9ab8"
"BRITISH STD 627 Light aircraft grey","627-light-aircraft-grey","#a9a9a2"
"BRITISH STD 637 Medium sea grey","637-medium-sea-grey","#82898c"
"BRITISH STD 632 Dark Admirality grey","632-dark-admirality-grey","#5c6468"
"BRITISH STD 676 Light weatherwork grey","676-light-weatherwork-grey","#9ca6a8"
"BRITISH STD 677 Dark weatherwork grey","677-dark-weatherwork-grey","#5c646a"
"BRITISH STD 638 Dark sea grey","638-dark-sea-grey","#5b6065"
"BRITISH STD 640 Extra dark sea grey","640-extra-dark-sea-grey","#4c5258"
"BRITISH STD 697 Light Admirality grey ","697-light-admirality-grey","#a6bdb7"
"BRITISH STD 636 PRU blue","636-pru-blue","#526973"
"BRITISH STD 633 RAF blue grey","633-raf-blue-grey","#313b40"
"BRITISH STD 631 Light grey ","631-light-grey","#8c968d"
"BRITISH STD 693 Aircraft grey","693-aircraft-grey","#787e79"
"BRITISH STD 796 Dark violet","796-dark-violet","#5c3d67"
"BRITISH STD 166 French blue","166-french-blue","#2b5e9c"
"BRITISH STD 175 Light French blue","175-light-french-blue","#3d7db2"
"BRITISH STD 107 Strong blue","107-strong-blue","#096e96"
"BRITISH STD 228 Emerald green","228-emerald-green","#027b52"
"BRITISH STD 221 Brilliant green","221-brilliant-green","#336626"
"BRITISH STD 218 Grass green","218-grass-green","#4b752d"
"BRITISH STD 309 Canary yellow","309-canary-yellow","#e0b900"
"BRITISH STD 355 Lemon","355-lemon","#e5ac00"
"BRITISH STD 356 Golden yellow","356-golden-yellow","#eda100"
"BRITISH STD 368 Traffic yellow","368-traffic-yellow","#d07800"
"BRITISH STD 557 Light orange","557-light-orange","#d3670e"
"BRITISH STD 592 International orange","592-international-orange","#be3e0f"
"BRITISH STD 593 Rail red","593-rail-red","#c4330c"
"BRITISH STD 537 Signal red","537-signal-red","#b22213"
"BRITISH STD 539 Red","539-red","#a51a1a"
"BRITISH STD 538 Post Office red","538-post-office-red","#941719"
