"BRITISH STD Blue 101","blue-101","#83b2a0"
"BRITISH STD Blue 102","blue-102","#4b9089"
"BRITISH STD Blue 103","blue-103","#135e65"
"BRITISH STD Blue 104","blue-104","#1c4575"
"BRITISH STD Blue 105","blue-105","#1b2745"
"BRITISH STD Blue 106","blue-106","#141628"
"BRITISH STD Blue 108","blue-108","#1d3475"
"BRITISH STD Blue 166","blue-166","#2d5dac"
"BRITISH STD Blue 169","blue-169","#1d5c77"
"BRITISH STD Blue 174","blue-174","#409493"
"BRITISH STD Green 216","green-216","#b2c081"
"BRITISH STD Green 217","green-217","#89a151"
"BRITISH STD Green 218","green-218","#647e24"
"BRITISH STD Green 219","green-219","#6d7641"
"BRITISH STD Green 220","green-220","#414a17"
"BRITISH STD Green 221","green-221","#376c25"
"BRITISH STD Green 222","green-222","#605a0d"
"BRITISH STD Green 223","green-223","#3b3f20"
"BRITISH STD Green 224","green-224","#2d311c"
"BRITISH STD Green 225","green-225","#2f5818"
"BRITISH STD Green 226","green-226","#194325"
"BRITISH STD Green 227","green-227","#11331f"
"BRITISH STD Green 267","green-267","#305a37"
"BRITISH STD Green 275","green-275","#91b287"
"BRITISH STD Green 276","green-276","#28461a"
"BRITISH STD Green 277","green-277","#3a4c16"
"BRITISH STD Green 278","green-278","#808550"
"BRITISH STD Green 279","green-279","#3a3522"
"BRITISH STD Green 280","green-280","#4d9367"
"BRITISH STD Green 281","green-281","#7aa367"
"BRITISH STD Green 282","green-282","#485d39"
"BRITISH STD Green 283","green-283","#758660"
"BRITISH STD Yellow- Cream and Buff 309","yellow-cream-and-buff-309","#f3c900"
"BRITISH STD Yellow- Cream and Buff 352","yellow-cream-and-buff-352","#ecce8b"
"BRITISH STD Yellow- Cream and Buff 353","yellow-cream-and-buff-353","#fbcd73"
"BRITISH STD Yellow- Cream and Buff 354","yellow-cream-and-buff-354","#e2b94e"
"BRITISH STD Yellow- Cream and Buff 355","yellow-cream-and-buff-355","#f3b300"
"BRITISH STD Yellow- Cream and Buff 356","yellow-cream-and-buff-356","#f2a300"
"BRITISH STD Yellow- Cream and Buff 358","yellow-cream-and-buff-358","#e0a964"
"BRITISH STD Yellow- Cream and Buff 359","yellow-cream-and-buff-359","#cf8f3f"
"BRITISH STD Yellow- Cream and Buff 360","yellow-cream-and-buff-360","#b27b46"
"BRITISH STD Yellow- Cream and Buff 361","yellow-cream-and-buff-361","#c29d6c"
"BRITISH STD Yellow- Cream and Buff 362","yellow-cream-and-buff-362","#ae7e43"
