"BRITISH STD 109 Middle Blue","109-middle-blue","#005471"
"BRITISH STD 104 Azure Blue","104-azure-blue","#1c4872"
"BRITISH STD 108 Aircraft Blue ","108-aircraft-blue","#22376a"
"BRITISH STD 110 Roundel blue","110-roundel-blue","#283c67"
"BRITISH STD 105 Oxford Blue","105-oxford-blue","#040a16"
"BRITISH STD 106 Royal Blue","106-royal-blue","#1f222f"
"BRITISH STD 112 Arctic Blue","112-arctic-blue","#599fad"
"BRITISH STD 692 Smoke Grey","692-smoke-grey","#698490"
"BRITISH STD 636 P-R-U- Blue","636-p-r-u-blue","#526973"
"BRITISH STD 103 Peacock Blue","103-peacock-blue","#155d66"
"BRITISH STD 113 Deep Sace Blue","113-deep-sace-blue","#1c5b69"
"BRITISH STD 114 Rail Blue","114-rail-blue","#00414c"
"BRITISH STD 697 Light Admiralty Grey","697-light-admiralty-grey","#a3bab4"
"BRITISH STD 111 Pale Blue","111-pale-blue","#82b0a2"
"BRITISH STD 101 Sky Blue","101-sky-blue","#7ca394"
"BRITISH STD 174 Oriental Blue","174-oriental-blue","#3e8d91"
"BRITISH STD 102 Turquoise Blue","102-turquoise-blue","#46847f"
"BRITISH STD 275 Opaline Green","275-opaline-green","#84a982"
"BRITISH STD 631 Light Grey","631-light-grey","#8f998e"
"BRITISH STD 280 Verdigris Green","280-verdigris-green","#519068"
"BRITISH STD 639 Light Slate Grey","639-light-slate-grey","#5d6658"
"BRITISH STD 282 Forest Green","282-forest-green","#3c5a3d"
"BRITISH STD 267 Traffic Green","267-traffic-green","#275639"
"BRITISH STD 226 Middle Brunswick Green","226-middle-brunswick-green","#184528"
"BRITISH STD 216 Eau-de-Nil","216-eau-de-nil","#a1b27b"
"BRITISH STD 217 Sea Green","217-sea-green","#849d54"
"BRITISH STD 630 French Grey","630-french-grey","#979a88"
"BRITISH STD 283 Aircraft Grey Green","283-aircraft-grey-green","#6c7a60"
"BRITISH STD 221 Brilliant Green","221-brilliant-green","#306725"
"BRITISH STD 225 Light Brunswick Green","225-light-brunswick-green","#30581f"
"BRITISH STD 635 Lead","635-lead","#474e46"
"BRITISH STD 227 Deep Brunswick Green","227-deep-brunswick-green","#163624"
"BRITISH STD 210 Sky","210-sky","#a9ac91"
"BRITISH STD 278 Light Olive Green","278-light-olive-green","#797d4a"
"BRITISH STD 634 Slate","634-slate","#5e6151"
"BRITISH STD 222 Light Bronze Green","222-light-bronze-green","#5c5a19"
"BRITISH STD 220 Olive Green","220-olive-green","#3b451c"
"BRITISH STD 223 Middle Bronze Green","223-middle-bronze-green","#3b4025"
"BRITISH STD 641 Dark Green","641-dark-green","#464636"
"BRITISH STD 224 Deep Bronze Green","224-deep-bronze-green","#2c331d"
"BRITISH STD 367 Manilla","367-manilla","#e8d3ab"
"BRITISH STD 365 Vellum","365-vellum","#d6cca9"
"BRITISH STD 353 Deep Cream","353-deep-cream","#f7ca6f"
"BRITISH STD 352 Pale Cream","352-pale-cream","#e6ca86"
"BRITISH STD 384 Light Straw","384-light-straw","#d7c394"
"BRITISH STD 366 Light Beige","366-light-beige","#dfc290"
"BRITISH STD 388 Beige","388-beige","#d2b68a"
"BRITISH STD 298 Olive Drab","298-olive-drab","#403f26"
"BRITISH STD 437 Very Dark Drab","437-very-dark-drab","#464133"
"BRITISH STD 369 Biscuit","369-biscuit","#ecc999"
"BRITISH STD 358 Light Buff","358-light-buff","#daa661"
"BRITISH STD 359 Middle Buff","359-middle-buff","#c68f46"
"BRITISH STD 361 Light Stone ","361-light-stone","#c19e6f"
"BRITISH STD 360 Deep Buff","360-deep-buff","#b17d49"
"BRITISH STD 410 Light Brown","410-light-brown","#8e602e"
"BRITISH STD 450 Dark Earth","450-dark-earth","#6f5b43"
"BRITISH STD 411 Middle Brown","411-middle-brown","#67401e"
"BRITISH STD 414 Golden Brown","414-golden-brown","#90531a"
"BRITISH STD 489 Leaf Brown","489-leaf-brown","#7a462a"
"BRITISH STD 499 Service Brown","499-service-brown","#483423"
"BRITISH STD 436 Dark Camouflage Brown","436-dark-camouflage-brown","#4c3f37"
"BRITISH STD 412 Dark Brown","412-dark-brown","#4c2c1d"
"BRITISH STD 447 Salmon Pink","447-salmon-pink","#d99a7e"
"BRITISH STD 444 Terra Cota","444-terra-cota","#904638"
"BRITISH STD 435 Camouflage Red","435-camouflage-red","#754f40"
"BRITISH STD 445 Venetian Red","445-venetian-red","#763322"
"BRITISH STD 446 Red Oxide","446-red-oxide","#662e1f"
"BRITISH STD 473 Gulf Red","473-gulf-red","#652822"
"BRITISH STD 448 Deep Indian Red","448-deep-indian-red","#52251f"
"BRITISH STD 449 Light Purple Brown","449-light-purple-brown","#4b2524"
"BRITISH STD 453 Shell Pink","453-shell-pink","#ddc3bc"
"BRITISH STD 797 Light Violet","797-light-violet","#aa99b6"
"BRITISH STD 540 Crimson","540-crimson","#61141b"
"BRITISH STD 452 Dark Crimson","452-dark-crimson","#4e1f22"
"BRITISH STD 541 Maroon","541-maroon","#341317"
"BRITISH STD 627 Light Aricraft Grey","627-light-aricraft-grey","#adaca4"
"BRITISH STD 637 Medium Sea Grey","637-medium-sea-grey","#848b8e"
"BRITISH STD 638 Dark Sea Grey","638-dark-sea-grey","#5d6368"
"BRITISH STD 632 Dark Admiralty Grey","632-dark-admiralty-grey","#5c6366"
"BRITISH STD 640 Extra Dark Sea Grey","640-extra-dark-sea-grey","#4d5459"
"BRITISH STD 633 R-A-F- Blue Grey","633-r-a-f-blue-grey","#313b40"
"BRITISH STD 642 Night","642-night","#1e1f20"
"BRITISH STD 694 Dove Grey","694-dove-grey","#858882"
"BRITISH STD 693 Aircraft Grey","693-aircraft-grey","#7a817d"
"BRITISH STD 671 Middle Graphite","671-middle-graphite","#45494b"
"BRITISH STD 310 Primose","310-primose","#e8d25c"
"BRITISH STD 309 Canary Yellow","309-canary-yellow","#ecc500"
"BRITISH STD 355 Lemon","355-lemon","#eeb200"
"BRITISH STD 356 Golden Yellow","356-golden-yellow","#eda200"
"BRITISH STD 368 Traffic Yellow","368-traffic-yellow","#da7e00"
"BRITISH STD 557 Light Orange","557-light-orange","#d56a0d"
"BRITISH STD 592 International Orange","592-international-orange","#c34117"
"BRITISH STD 593 Rail Red","593-rail-red","#cc3513"
"BRITISH STD 537 Signal Red","537-signal-red","#b32417"
"BRITISH STD 539 Red","539-red","#a41d1e"
"BRITISH STD 538 Post Office Red","538-post-office-red","#9a121d"
"BRITISH STD 218 Grass Green","218-grass-green","#50772f"
"BRITISH STD 228 Emerald Green","228-emerald-green","#007c50"
"BRITISH STD 175 Light French Blue","175-light-french-blue","#3b7cb0"
"BRITISH STD 107 Strong Blue ","107-strong-blue","#036d91"
"BRITISH STD 166 French Blue","166-french-blue","#2c5ea2"
"BRITISH STD 796 Dark Violet","796-dark-violet","#623f6b"
