"DB 301","db-301","#8a5555"
"DB 310","db-310","#915452"
"DB 501","db-501","#778589"
"DB 502","db-502","#61787e"
"DB 503","db-503","#5d6e76"
"DB 510","db-510","#57788c"
"DB 601","db-601","#757a6a"
"DB 602","db-602","#79927a"
"DB 603","db-603","#677168"
"DB 610","db-610","#4e7f74"
"DB 701","db-701","#969088"
"DB 702","db-702","#8a8780"
"DB 703","db-703","#615f5f"
"DB 704","db-704","#908b82"
"RAL 9006","ral-9006","#b0b0ad"
"RAL 9007","ral-9007","#9c9b99"
"Kupfer","kupfer","#946954"
"Altkupfer","altkupfer","#906c59"
