"Silber ca- RAL 9006 - glanzend","silber-ca-ral-9006-glanzend","#a6a8a7"
"Silber ca- RAL 9006 - seidenmatt","silber-ca-ral-9006-seidenmatt","#a9aba8"
"Gold - glanzend","gold-glanzend","#bc9a25"
"Kupfer - glanzend","kupfer-glanzend","#ac7d58"
"RAL 1035 Perlbeige","ral-1035-perlbeige","#938772"
"RAL 1036 Perlgold","ral-1036-perlgold","#8f7651"
"RAL 2013 Perlorange","ral-2013-perlorange","#823b1e"
"RAL 3032 Perlrubinrot","ral-3032-perlrubinrot","#762f33"
"RAL 3033 Perlrosa","ral-3033-perlrosa","#a0312b"
"RAL 4011 Perlviolett","ral-4011-perlviolett","#766684"
"RAL 4012 Perlbrombeer","ral-4012-perlbrombeer","#626174"
"RAL 5025 Perlenzian","ral-5025-perlenzian","#305e70"
"RAL 5026 Perlnachtblau","ral-5026-perlnachtblau","#1e2d50"
"RAL 6035 Perlgrun","ral-6035-perlgrun","#26572f"
"RAL 6036 Perlopalgrun","ral-6036-perlopalgrun","#0b594b"
"RAL 7048 Perlmausgrau","ral-7048-perlmausgrau","#787061"
"RAL 8029 Perlkupfer","ral-8029-perlkupfer","#7d3d28"
"RAL 9022 Perlhellgrau","ral-9022-perlhellgrau","#9c9b93"
"RAL 9023 Perldunkelgrau","ral-9023-perldunkelgrau","#7a7b78"
