"diva 05","diva-05","#21376b"
"diva 10","diva-10","#404f80"
"diva 15","diva-15","#493872"
"diva 20","diva-20","#534c5f"
"diva 25","diva-25","#693870"
"diva 30","diva-30","#813263"
"blu 05","blu-05","#004855"
"blu 10","blu-10","#3799a9"
"blu 15","blu-15","#03364c"
"blu 20","blu-20","#005c7d"
"blu 25","blu-25","#2a445e"
"blu 30","blu-30","#3c668e"
"peru 05","peru-05","#004a3e"
"peru 10","peru-10","#005a49"
"peru 15","peru-15","#00403b"
"peru 20","peru-20","#007e72"
"peru 25","peru-25","#00474e"
"peru 30","peru-30","#006e78"
"verdo 05","verdo-05","#395229"
"verdo 10","verdo-10","#44851d"
"verdo 15","verdo-15","#15472b"
"verdo 20","verdo-20","#006631"
"verdo 25","verdo-25","#2c4d45"
"verdo 30","verdo-30","#008662"
"oliv 05","oliv-05","#212222"
"oliv 10","oliv-10","#d79d00"
"oliv 15","oliv-15","#5e5836"
"oliv 20","oliv-20","#cdad00"
"oliv 25","oliv-25","#918616"
"oliv 30","oliv-30","#cdcb20"
"brasil 05","brasil-05","#512e2a"
"brasil 10","brasil-10","#f57b00"
"brasil 15","brasil-15","#5d3d24"
"brasil 20","brasil-20","#bd7733"
"brasil 25","brasil-25","#4d4232"
"brasil 30","brasil-30","#ffbc00"
"rubin 05","rubin-05","#52222b"
"rubin 10","rubin-10","#af2b34"
"rubin 15","rubin-15","#802e22"
"rubin 20","rubin-20","#af2f1a"
"rubin 25","rubin-25","#643724"
"rubin 30","rubin-30","#c1431b"
"laser 05","laser-05","#573e71"
"laser 10","laser-10","#7a3669"
"laser 15","laser-15","#a22f56"
"laser 20","laser-20","#ab223c"
"laser 25","laser-25","#c8333a"
"laser 30","laser-30","#ef5816"
"laser 35","laser-35","#fd8900"
"laser 40","laser-40","#fca200"
"laser 45","laser-45","#ffc000"
"laser 50","laser-50","#f1db12"
"laser 55","laser-55","#c6c900"
"laser 60","laser-60","#78b31a"
"laser 65","laser-65","#29902f"
"laser 70","laser-70","#00815e"
"laser 75","laser-75","#006875"
"laser 80","laser-80","#005889"
"laser 85","laser-85","#0d497f"
"laser 90","laser-90","#37457e"
