"Caparol Kuehl-Weiss","kuehl-weiss","#ebeae6"
"Caparol Grau-Weiss","grau-weiss","#e9e8e2"
"Caparol Hell-Weiss","hell-weiss","#f6f5f0"
"Caparol Natur-Weiss","natur-weiss","#f0ede5"
"Caparol Umbra-Weiss","umbra-weiss","#eeebe0"
"Caparol Warm-Weiss","warm-weiss","#eeeae3"
"Caparol Off White 50","off-white-50","#f1f3f0"
"Caparol Off White 40","off-white-40","#edf5ef"
"Caparol Off White 30","off-white-30","#f6f8eb"
"Caparol Off White 25","off-white-25","#f8f6e6"
"Caparol Off White 20","off-white-20","#f9f4e4"
"Caparol Off White 15","off-white-15","#faf2eb"
"Caparol Granit 30","granit-30","#939392"
"Caparol Granit 25","granit-25","#868685"
"Caparol Granit 20","granit-20","#797979"
"Caparol Granit 15","granit-15","#6a6a6a"
"Caparol Granit 10","granit-10","#575757"
"Caparol Granit 5","granit-5","#464646"
"Caparol Granit 60","granit-60","#e3e2df"
"Caparol Granit 55","granit-55","#d8d6d4"
"Caparol Granit 50","granit-50","#cccac8"
"Caparol Granit 45","granit-45","#bdbdbc"
"Caparol Granit 40","granit-40","#afafad"
"Caparol Granit 35","granit-35","#a3a2a1"
"Caparol Ferro 30","ferro-30","#989390"
"Caparol Ferro 25","ferro-25","#8a8684"
"Caparol Ferro 20","ferro-20","#7d7977"
"Caparol Ferro 15","ferro-15","#706b6a"
"Caparol Ferro 10","ferro-10","#5b5755"
"Caparol Ferro 5","ferro-5","#4c4747"
"Caparol Ferro 60","ferro-60","#e5e2df"
"Caparol Ferro 55","ferro-55","#dad6d3"
"Caparol Ferro 50","ferro-50","#d0cbc8"
"Caparol Ferro 45","ferro-45","#c0bbb9"
"Caparol Ferro 40","ferro-40","#b4aeac"
"Caparol Ferro 35","ferro-35","#a5a19f"
"Caparol Jura 30","jura-30","#94938e"
"Caparol Jura 25","jura-25","#868581"
"Caparol Jura 20","jura-20","#777772"
"Caparol Jura 15","jura-15","#6b6a67"
"Caparol Jura 10","jura-10","#595754"
"Caparol Jura 5","jura-5","#464543"
"Caparol Jura 60","jura-60","#e3e1de"
"Caparol Jura 55","jura-55","#d8d6d2"
"Caparol Jura 50","jura-50","#cdcac6"
"Caparol Jura 45","jura-45","#bdbcb7"
"Caparol Jura 40","jura-40","#b1afab"
"Caparol Jura 35","jura-35","#a2a19c"
