"Caparol Grau 30","grau-30","#efece7"
"Caparol Grau 25","grau-25","#e0dfdc"
"Caparol Grau 20","grau-20","#cbcac8"
"Caparol Grau 15","grau-15","#b0adab"
"Caparol Grau 10","grau-10","#908e8d"
"Caparol Grau 5","grau-5","#767575"
"Caparol Grau 60","grau-60","#e8e6e3"
"Caparol Grau 55","grau-55","#d9d8d4"
"Caparol Grau 50","grau-50","#bdbbb9"
"Caparol Grau 45","grau-45","#a19e9d"
"Caparol Grau 40","grau-40","#848182"
"Caparol Grau 35","grau-35","#696765"
"Caparol Schiefer-Grau","schiefer-grau","#5d6064"
"Caparol Blaeulich-Grau","blaeulich-grau","#777c80"
"Caparol Graphit-Grau","graphit-grau","#6a6967"
"Caparol Umbra-Grau","umbra-grau","#5b5957"
"Caparol Sepia-Grau","sepia-grau","#5f5c5c"
"Caparol Schwarz-Grau","schwarz-grau","#4e4e4e"
"Caparol Warm-Weiss","warm-weiss","#ece9e2"
"Caparol Natur-Weiss","natur-weiss","#f1eee6"
"Caparol Umbra-Weiss","umbra-weiss","#ece8de"
"Caparol Hell-Weiss","hell-weiss","#f9f7ef"
"Caparol Grau-Weiss","grau-weiss","#f1efe8"
"Caparol Kuehl-Weiss","kuehl-weiss","#e8e9e5"
"Caparol Off White 30","off-white-30","#f4f4e6"
"Caparol Off White 25","off-white-25","#f7f3e1"
"Caparol Off White 20","off-white-20","#f5f0e0"
"Caparol Off White 15","off-white-15","#f7efe6"
"Caparol Off White 10","off-white-10","#f6efe8"
"Caparol Off White 5","off-white-5","#f6eeea"
"Caparol Off White 60","off-white-60","#f0ebeb"
"Caparol Off White 55","off-white-55","#f2f0ed"
"Caparol Off White 50","off-white-50","#eef0ed"
"Caparol Off White 45","off-white-45","#ecf1ee"
"Caparol Off White 40","off-white-40","#ebf4eb"
"Caparol Off White 35","off-white-35","#eff5ec"
"Caparol Rose 30","rose-30","#efebe5"
"Caparol Rose 25","rose-25","#ebe6e1"
"Caparol Rose 20","rose-20","#ece3df"
"Caparol Rose 15","rose-15","#ece0de"
"Caparol Rose 10","rose-10","#d8d2cf"
