"Caparol Amazonas-0","amazonas-0","#666f48"
"Caparol Amazonas-11","amazonas-11","#758055"
"Caparol Amazonas-12","amazonas-12","#8a9563"
"Caparol Amazonas-13","amazonas-13","#a8b384"
"Caparol Amazonas-14","amazonas-14","#b8c299"
"Caparol Amazonas-15","amazonas-15","#cad2ae"
"Caparol Amazonas-16","amazonas-16","#d4ddc1"
"Caparol Amazonas-17","amazonas-17","#dde1cc"
"Caparol Amazonas-18","amazonas-18","#e6e8d7"
"Caparol Aprikose-0","aprikose-0","#ce7936"
"Caparol Aprikose-11","aprikose-11","#db843b"
"Caparol Aprikose-12","aprikose-12","#e89644"
"Caparol Aprikose-13","aprikose-13","#eeae5f"
"Caparol Aprikose-14","aprikose-14","#f2be7c"
"Caparol Aprikose-15","aprikose-15","#f3cc96"
"Caparol Aprikose-16","aprikose-16","#f4d7aa"
"Caparol Aprikose-17","aprikose-17","#f6dfbb"
"Caparol Aprikose-18","aprikose-18","#f3e4c9"
"Caparol Basalt-0","basalt-0","#524f4f"
"Caparol Basalt-11","basalt-11","#6b686a"
"Caparol Basalt-12","basalt-12","#868283"
"Caparol Basalt-13","basalt-13","#a4a3a1"
"Caparol Basalt-14","basalt-14","#b7b9b7"
"Caparol Basalt-15","basalt-15","#cbc8c5"
"Caparol Basalt-16","basalt-16","#d4d3d0"
"Caparol Basalt-17","basalt-17","#dedcd6"
"Caparol Basalt-18","basalt-18","#e6e3dc"
"Caparol Bison-0","bison-0","#665547"
"Caparol Bison-11","bison-11","#786552"
"Caparol Bison-12","bison-12","#907c64"
"Caparol Bison-13","bison-13","#b19d85"
"Caparol Bison-14","bison-14","#c1b099"
"Caparol Bison-15","bison-15","#d0c1ae"
"Caparol Bison-16","bison-16","#dcd1c2"
"Caparol Bison-17","bison-17","#e5dccf"
"Caparol Bison-18","bison-18","#e9e3d7"
"Caparol Cognac-0","cognac-0","#b3763e"
"Caparol Cognac-11","cognac-11","#ca8a49"
"Caparol Cognac-12","cognac-12","#dea25c"
"Caparol Cognac-13","cognac-13","#eebc79"
"Caparol Cognac-14","cognac-14","#efc892"
"Caparol Cognac-15","cognac-15","#f1d3aa"
"Caparol Cognac-16","cognac-16","#f3ddb9"
"Caparol Cognac-17","cognac-17","#f3e3c8"
"Caparol Cognac-18","cognac-18","#f5e9d4"
"Caparol Gobi-0","gobi-0","#bf8935"
"Caparol Gobi-11","gobi-11","#cf9841"
"Caparol Gobi-12","gobi-12","#dca84b"
"Caparol Gobi-13","gobi-13","#ecc16f"
"Caparol Gobi-14","gobi-14","#f1ce8b"
"Caparol Gobi-15","gobi-15","#f2d9a3"
"Caparol Gobi-16","gobi-16","#f5e0b6"
"Caparol Gobi-17","gobi-17","#f2e3c2"
"Caparol Gobi-18","gobi-18","#f2e9d2"
"Caparol Granat-0","granat-0","#8b5346"
"Caparol Granat-11","granat-11","#9c6154"
"Caparol Granat-12","granat-12","#ae7364"
"Caparol Granat-13","granat-13","#ca9587"
"Caparol Granat-14","granat-14","#d9aea1"
"Caparol Granat-15","granat-15","#e2beb0"
"Caparol Granat-16","granat-16","#eacfc1"
"Caparol Granat-17","granat-17","#eed8ce"
"Caparol Granat-18","granat-18","#f1e1d7"
"Caparol Havanna-0","havanna-0","#7e6044"
"Caparol Havanna-11","havanna-11","#8e6f50"
"Caparol Havanna-12","havanna-12","#a4805a"
"Caparol Havanna-13","havanna-13","#c09f7c"
"Caparol Havanna-14","havanna-14","#d1b393"
"Caparol Havanna-15","havanna-15","#d9c1a7"
