"Caparol Chromoxidgruen 25S","chromoxidgruen-25s","#8f7a3e"
"Caparol Chromoxidgruen 25S 1","chromoxidgruen-25s-1","#96834f"
"Caparol Chromoxidgruen 25S 2","chromoxidgruen-25s-2","#af9d6c"
"Caparol Chromoxidgruen 25S 3","chromoxidgruen-25s-3","#cdbf98"
"Caparol Chromoxidgruen 25S 4","chromoxidgruen-25s-4","#e2d8bd"
"Caparol Chromoxidgruen 25S 5","chromoxidgruen-25s-5","#eae4d0"
"Caparol Chromoxidgruen 26S","chromoxidgruen-26s","#908149"
"Caparol Chromoxidgruen 26S 1","chromoxidgruen-26s-1","#988a55"
"Caparol Chromoxidgruen 26S 2","chromoxidgruen-26s-2","#ada16e"
"Caparol Chromoxidgruen 26S 3","chromoxidgruen-26s-3","#cbc197"
"Caparol Chromoxidgruen 26S 4","chromoxidgruen-26s-4","#e6dec3"
"Caparol Chromoxidgruen 26S 5","chromoxidgruen-26s-5","#ede8d4"
"Caparol Chromoxidgruen 27S","chromoxidgruen-27s","#888651"
"Caparol Chromoxidgruen 27S 1","chromoxidgruen-27s-1","#92915e"
"Caparol Chromoxidgruen 27S 2","chromoxidgruen-27s-2","#aca97d"
"Caparol Chromoxidgruen 27S 3","chromoxidgruen-27s-3","#c7c6a6"
"Caparol Chromoxidgruen 27S 4","chromoxidgruen-27s-4","#dbdac4"
"Caparol Chromoxidgruen 27S 5","chromoxidgruen-27s-5","#e9e9d9"
"Caparol Chromoxidgruen 28S","chromoxidgruen-28s","#6d7d56"
"Caparol Chromoxidgruen 28S 1","chromoxidgruen-28s-1","#7c8a66"
"Caparol Chromoxidgruen 28S 2","chromoxidgruen-28s-2","#909c7d"
"Caparol Chromoxidgruen 28S 3","chromoxidgruen-28s-3","#b9c2a9"
"Caparol Chromoxidgruen 28S 4","chromoxidgruen-28s-4","#d6daca"
"Caparol Chromoxidgruen 28S 5","chromoxidgruen-28s-5","#e0e4d6"
"Caparol Chromoxidgruen 29S","chromoxidgruen-29s","#707459"
"Caparol Chromoxidgruen 29S 1","chromoxidgruen-29s-1","#787d64"
"Caparol Chromoxidgruen 29S 2","chromoxidgruen-29s-2","#929781"
"Caparol Chromoxidgruen 29S 3","chromoxidgruen-29s-3","#bcc0ad"
"Caparol Chromoxidgruen 29S 4","chromoxidgruen-29s-4","#d8d9cb"
"Caparol Chromoxidgruen 29S 5","chromoxidgruen-29s-5","#e4e4d7"
"Caparol Chromoxidgruen 30S","chromoxidgruen-30s","#5d7261"
"Caparol Chromoxidgruen 30S 1","chromoxidgruen-30s-1","#6e8371"
"Caparol Chromoxidgruen 30S 2","chromoxidgruen-30s-2","#899c8e"
"Caparol Chromoxidgruen 30S 3","chromoxidgruen-30s-3","#b0c0b6"
"Caparol Chromoxidgruen 30S 4","chromoxidgruen-30s-4","#cfd8d0"
"Caparol Chromoxidgruen 30S 5","chromoxidgruen-30s-5","#dfe4db"
"Caparol Chromoxidgruen 37S","chromoxidgruen-37s","#7a7a6b"
"Caparol Chromoxidgruen 37S 1","chromoxidgruen-37s-1","#838374"
"Caparol Chromoxidgruen 37S 2","chromoxidgruen-37s-2","#98998b"
"Caparol Chromoxidgruen 37S 3","chromoxidgruen-37s-3","#bbbcae"
"Caparol Chromoxidgruen 37S 4","chromoxidgruen-37s-4","#d8d7cd"
"Caparol Chromoxidgruen 37S 5","chromoxidgruen-37s-5","#e9e8dd"
"Caparol Gelb","gelb","#efe276"
"Caparol Gruen","gruen","#5b7550"
"Caparol Kobaltblau","kobaltblau","#1e86ae"
"Caparol Kobaltblau 31S","kobaltblau-31s","#4e7080"
"Caparol Kobaltblau 31S 1","kobaltblau-31s-1","#5f7f8f"
"Caparol Kobaltblau 31S 2","kobaltblau-31s-2","#7e9baa"
"Caparol Kobaltblau 31S 3","kobaltblau-31s-3","#adc2ca"
"Caparol Kobaltblau 31S 4","kobaltblau-31s-4","#cbd8db"
"Caparol Kobaltblau 31S 5","kobaltblau-31s-5","#d8e1e2"
"Caparol Nickeltitangelb 1S","nickeltitangelb-1s","#dec36b"
"Caparol Nickeltitangelb 1S 1","nickeltitangelb-1s-1","#e1c875"
"Caparol Nickeltitangelb 1S 2","nickeltitangelb-1s-2","#e9d691"
"Caparol Nickeltitangelb 1S 3","nickeltitangelb-1s-3","#f3e7bd"
"Caparol Nickeltitangelb 1S 4","nickeltitangelb-1s-4","#f3eed8"
"Caparol Nickeltitangelb 1S 5","nickeltitangelb-1s-5","#f1eede"
"Caparol Ocker","ocker","#cf9542"
"Caparol Oxidbraun","oxidbraun","#7c6046"
"Caparol Oxidbraun 13S","oxidbraun-13s","#8e583c"
"Caparol Oxidbraun 13S 1","oxidbraun-13s-1","#9b6951"
"Caparol Oxidbraun 13S 2","oxidbraun-13s-2","#af7f68"
"Caparol Oxidbraun 13S 3","oxidbraun-13s-3","#cfa997"
"Caparol Oxidbraun 13S 4","oxidbraun-13s-4","#e4cabc"
"Caparol Oxidbraun 13S 5","oxidbraun-13s-5","#e8d7cc"
"Caparol Oxidbraun 14S","oxidbraun-14s","#82533e"
"Caparol Oxidbraun 14S 1","oxidbraun-14s-1","#895d4b"
