"Caparol 251 Reinweiss","251-reinweiss","#f4f3e9"
"Caparol 252 Elfenbein","252-elfenbein","#f5e8d0"
"Caparol 253 Grauweiss","253-grauweiss","#d7d5ca"
"Caparol 254 Lichtgrau","254-lichtgrau","#c8c9c5"
"Caparol 255 Silbergrau","255-silbergrau","#919a9d"
"Caparol 256 Verkehrsgelb","256-verkehrsgelb","#dea41d"
"Caparol 257 Ocker","257-ocker","#be822d"
"Caparol 258 Gelborange","258-gelborange","#d27121"
"Caparol 259 Feuerrot","259-feuerrot","#99352e"
"Caparol 260 Oxidrot","260-oxidrot","#6b372f"
"Caparol 261 Lehmbraun","261-lehmbraun","#7f5234"
"Caparol 262 Nussbraun","262-nussbraun","#5d4132"
"Caparol 263 Schokobraun","263-schokobraun","#473630"
"Caparol 264 Umbra","264-umbra","#4a4737"
"Caparol 265 Smaragdgruen","265-smaragdgruen","#366b39"
"Caparol 266 Moosgruen","266-moosgruen","#22463a"
"Caparol 267 Enzianblau","267-enzianblau","#105483"
"Caparol 268 Tiefschwarz","268-tiefschwarz","#232527"
"Caparol 269","269","#392f2b"
"Caparol 270","270","#2a3840"
"Caparol 271","271","#2f3340"
"Caparol 272","272","#3b90b9"
"Caparol 273","273","#d9d9cf"
"Caparol 274","274","#ccd0cb"
"Caparol 275","275","#65676a"
"Caparol 276","276","#1f4a4f"
"Caparol 277","277","#16524b"
"Caparol 278","278","#20563c"
"Caparol 279","279","#5d7c38"
"Caparol 280","280","#375038"
"Caparol 281","281","#565b3a"
"Caparol 282","282","#353f34"
"Caparol 283","283","#6d6539"
"Caparol 284","284","#928d77"
"Caparol 285","285","#ecc562"
"Caparol 286","286","#c79026"
"Caparol 287","287","#996d34"
"Caparol 288","288","#6c533b"
"Caparol 289","289","#463c30"
"Caparol 290","290","#5c4434"
"Caparol 291","291","#684732"
"Caparol 292","292","#8c5136"
"Caparol 293","293","#703e30"
"Caparol 294","294","#965b2d"
"Caparol 295","295","#c2782c"
"Caparol 296","296","#a24833"
"Caparol 297","297","#753429"
"Caparol 298","298","#5b382f"
"Caparol Resedagruen","resedagruen","#9a9f7f"
"Caparol Rotbraun","rotbraun","#8b4d3e"
"Caparol Weiss","weiss","#eae7db"
