"Caparol 900 01-01","900-01-01","#d4bec1"
"Caparol 900 01-02","900-01-02","#d2b1bf"
"Caparol 900 01-03","900-01-03","#c9a2b1"
"Caparol 900 01-04","900-01-04","#b28096"
"Caparol 900 01-05","900-01-05","#8b536a"
"Caparol 900 01-06","900-01-06","#e2c8cc"
"Caparol 900 01-07","900-01-07","#d8b7c0"
"Caparol 900 01-08","900-01-08","#d2adb8"
"Caparol 900 01-09","900-01-09","#b98391"
"Caparol 900 01-10","900-01-10","#945c6b"
"Caparol 900 01-11","900-01-11","#d9c7c7"
"Caparol 900 01-12","900-01-12","#cfb7ba"
"Caparol 900 01-13","900-01-13","#bba1a7"
"Caparol 900 01-14","900-01-14","#98787f"
"Caparol 900 01-15","900-01-15","#755b61"
"Caparol 900 01-16","900-01-16","#d6d1d4"
"Caparol 900 01-17","900-01-17","#c3bdc6"
"Caparol 900 01-18","900-01-18","#aba3b0"
"Caparol 900 01-19","900-01-19","#8a8196"
"Caparol 900 01-20","900-01-20","#675e6e"
"Caparol 900 02-01","900-02-01","#e8cfcc"
"Caparol 900 02-02","900-02-02","#efc7c8"
"Caparol 900 02-03","900-02-03","#e8b9bb"
"Caparol 900 02-04","900-02-04","#c97d8c"
"Caparol 900 02-05","900-02-05","#b86472"
"Caparol 900 02-06","900-02-06","#eeddd6"
"Caparol 900 02-07","900-02-07","#ecc3c4"
"Caparol 900 02-08","900-02-08","#c58a9b"
"Caparol 900 02-09","900-02-09","#9b5f6b"
"Caparol 900 02-10","900-02-10","#8b5862"
"Caparol 900 02-11","900-02-11","#dbc1c3"
"Caparol 900 02-12","900-02-12","#c3a1a8"
"Caparol 900 02-13","900-02-13","#9e6b72"
"Caparol 900 02-14","900-02-14","#90686c"
"Caparol 900 02-15","900-02-15","#7c575c"
"Caparol 900 02-16","900-02-16","#d5ccce"
"Caparol 900 02-17","900-02-17","#beb5ba"
"Caparol 900 02-18","900-02-18","#a99fa7"
"Caparol 900 02-19","900-02-19","#847880"
"Caparol 900 02-20","900-02-20","#63595e"
"Caparol 900 03-01","900-03-01","#f0d9d7"
"Caparol 900 03-02","900-03-02","#f0cece"
"Caparol 900 03-03","900-03-03","#ecb9bd"
"Caparol 900 03-04","900-03-04","#eb929b"
"Caparol 900 03-05","900-03-05","#b56368"
"Caparol 900 03-06","900-03-06","#f1d2d0"
"Caparol 900 03-07","900-03-07","#e6bbc0"
"Caparol 900 03-08","900-03-08","#e1a5ad"
"Caparol 900 03-09","900-03-09","#d2858c"
"Caparol 900 03-10","900-03-10","#b85c5d"
"Caparol 900 03-11","900-03-11","#e2c7c2"
"Caparol 900 03-12","900-03-12","#e2bdbc"
"Caparol 900 03-13","900-03-13","#d4a1a0"
"Caparol 900 03-14","900-03-14","#b67d79"
"Caparol 900 03-15","900-03-15","#885651"
"Caparol 900 03-16","900-03-16","#d1beba"
"Caparol 900 03-17","900-03-17","#c3aea9"
"Caparol 900 03-18","900-03-18","#b69d9c"
"Caparol 900 03-19","900-03-19","#927471"
"Caparol 900 03-20","900-03-20","#7b5c55"
"Caparol 900 04-01","900-04-01","#eedcd7"
"Caparol 900 04-02","900-04-02","#f8d1ce"
"Caparol 900 04-03","900-04-03","#f0b4b9"
"Caparol 900 04-04","900-04-04","#e7818c"
"Caparol 900 04-05","900-04-05","#cf5d61"
"Caparol 900 04-06","900-04-06","#f1cec8"
"Caparol 900 04-07","900-04-07","#efbeb7"
"Caparol 900 04-08","900-04-08","#e09c98"
"Caparol 900 04-09","900-04-09","#c87370"
"Caparol 900 04-10","900-04-10","#c45953"
"Caparol 900 04-11","900-04-11","#f0d6d5"
"Caparol 900 04-12","900-04-12","#e5bfbe"
"Caparol 900 04-13","900-04-13","#d99fa1"
"Caparol 900 04-14","900-04-14","#cb8387"
"Caparol 900 04-15","900-04-15","#ac5d5d"
"Caparol 900 04-16","900-04-16","#e8dad2"
"Caparol 900 04-17","900-04-17","#dcc9c2"
"Caparol 900 04-18","900-04-18","#b19998"
"Caparol 900 04-19","900-04-19","#937574"
"Caparol 900 04-20","900-04-20","#755551"
"Caparol 900 05-01","900-05-01","#f7dcd8"
"Caparol 900 05-02","900-05-02","#f6c9c6"
"Caparol 900 05-03","900-05-03","#f5b0ae"
"Caparol 900 05-04","900-05-04","#e98986"
"Caparol 900 05-05","900-05-05","#e27069"
"Caparol 900 05-06","900-05-06","#f3cecb"
"Caparol 900 05-07","900-05-07","#f7c0b9"
"Caparol 900 05-08","900-05-08","#edada8"
"Caparol 900 05-09","900-05-09","#ea8884"
"Caparol 900 05-10","900-05-10","#d1655e"
"Caparol 900 05-11","900-05-11","#ebcec0"
"Caparol 900 05-12","900-05-12","#ebc2b4"
"Caparol 900 05-13","900-05-13","#c88a7b"
"Caparol 900 05-14","900-05-14","#ab6756"
"Caparol 900 05-15","900-05-15","#87584e"
"Caparol 900 05-16","900-05-16","#ddcac3"
"Caparol 900 05-17","900-05-17","#b59a94"
"Caparol 900 05-18","900-05-18","#8e6e67"
"Caparol 900 05-19","900-05-19","#715b56"
"Caparol 900 05-20","900-05-20","#69554d"
"Caparol 900 06-01","900-06-01","#f3d0c9"
"Caparol 900 06-02","900-06-02","#f3afa9"
