"Caparol AVA Magenta","ava-magenta","#993d60"
"Caparol AVA Rot","ava-rot","#bb373a"
"Caparol AVA Orange","ava-orange","#ed5d30"
"Caparol AVA Gelb","ava-gelb","#fdce00"
"Caparol AVA Gruengelb","ava-gruengelb","#f2df1d"
"Caparol AVA Gruen","ava-gruen","#0c6756"
"Caparol AVA Blau","ava-blau","#344d77"
"Caparol AVA Violett","ava-violett","#514873"
"Caparol AVA Schwarz","ava-schwarz","#3f3e3f"
"Caparol AVA Rotbraun","ava-rotbraun","#86473e"
"Caparol AVA Ocker","ava-ocker","#b68340"
"Caparol AVA Umbra","ava-umbra","#665944"
"Caparol Oxidrot","oxidrot","#7b3f37"
"Caparol Oxidorange","oxidorange","#a14a31"
"Caparol Ocker","ocker","#d1963b"
"Caparol Gelb","gelb","#f1df0a"
"Caparol Gruen","gruen","#566f48"
"Caparol Kobaltblau","kobaltblau","#0082a7"
"Caparol Ultramarin","ultramarin","#425db2"
"Caparol Schwarz","schwarz","#333130"
"Caparol Oxidbraun","oxidbraun","#76543c"
"Caparol Umbra","umbra","#79633c"
"Caparol Granat 0","granat-0","#905548"
"Caparol Granat 13","granat-13","#cb9484"
"Caparol Granat 12","granat-12","#b47767"
"Caparol Granat 15","granat-15","#e4bfb3"
"Caparol Granat 14","granat-14","#dcad9f"
"Caparol Granat 18","granat-18","#f3e2da"
"Caparol Granat 16","granat-16","#ecd0c6"
"Caparol Madeira 0","madeira-0","#a45b45"
"Caparol Madeira 13","madeira-13","#e29d77"
"Caparol Madeira 12","madeira-12","#cc7f5c"
"Caparol Madeira 15","madeira-15","#f3c6a8"
"Caparol Madeira 14","madeira-14","#ecb391"
"Caparol Madeira 18","madeira-18","#f9e5d4"
"Caparol Madeira 16","madeira-16","#f7d6bd"
"Caparol Aprikose 0","aprikose-0","#d57d3d"
"Caparol Aprikose 13","aprikose-13","#f7b56a"
"Caparol Aprikose 12","aprikose-12","#e8994e"
"Caparol Aprikose 15","aprikose-15","#fad39d"
"Caparol Aprikose 14","aprikose-14","#f9c485"
"Caparol Aprikose 18","aprikose-18","#f9e9ce"
"Caparol Aprikose 16","aprikose-16","#fadeb4"
"Caparol Cognas 0","cognas-0","#c68146"
"Caparol Cognas 13","cognas-13","#efbf7f"
"Caparol Cognas 12","cognas-12","#e3a762"
"Caparol Cognas 15","cognas-15","#f8dcb0"
"Caparol Cognas 14","cognas-14","#f5cf97"
"Caparol Cognas 18","cognas-18","#f7edd7"
"Caparol Cognas 16","cognas-16","#f8e5c3"
"Caparol Mandarin 0","mandarin-0","#e49a3d"
"Caparol Mandarin 13","mandarin-13","#fac878"
"Caparol Mandarin 12","mandarin-12","#f4b459"
"Caparol Mandarin 15","mandarin-15","#fce0ac"
"Caparol Mandarin 14","mandarin-14","#fbd593"
"Caparol Mandarin 18","mandarin-18","#f9efd7"
"Caparol Mandarin 16","mandarin-16","#fae7bf"
"Caparol Gobi 0","gobi-0","#c6903d"
"Caparol Gobi 13","gobi-13","#efc577"
"Caparol Gobi 12","gobi-12","#e1ae57"
"Caparol Gobi 15","gobi-15","#f8dfaa"
"Caparol Gobi 14","gobi-14","#f5d392"
"Caparol Gobi 18","gobi-18","#f7eed5"
"Caparol Gobi 16","gobi-16","#f9e7bf"
"Caparol Mais 0","mais-0","#ecaa33"
"Caparol Mais 13","mais-13","#fad984"
"Caparol Mais 12","mais-12","#f5c75f"
"Caparol Mais 15","mais-15","#fbeab6"
"Caparol Mais 14","mais-14","#fbe29e"
"Caparol Mais 18","mais-18","#f8f2db"
"Caparol Mais 16","mais-16","#faefc8"
"Caparol Ingwer 0","ingwer-0","#c09d40"
"Caparol Ingwer 13","ingwer-13","#eeda92"
"Caparol Ingwer 12","ingwer-12","#e2c56e"
"Caparol Ingwer 15","ingwer-15","#f5ebbe"
"Caparol Ingwer 14","ingwer-14","#f3e4aa"
"Caparol Ingwer 18","ingwer-18","#f6f3df"
"Caparol Ingwer 16","ingwer-16","#f6f0ce"
"Caparol Amazonas 0","amazonas-0","#697049"
"Caparol Amazonas 13","amazonas-13","#aab684"
"Caparol Amazonas 12","amazonas-12","#8f9b69"
"Caparol Amazonas 15","amazonas-15","#cdd6b3"
"Caparol Amazonas 14","amazonas-14","#bcc69b"
"Caparol Amazonas 18","amazonas-18","#e6ead7"
"Caparol Amazonas 16","amazonas-16","#d9e0c4"
"Caparol Iris 0","iris-0","#4e697b"
"Caparol Iris 13","iris-13","#8fb1c3"
"Caparol Iris 12","iris-12","#6e93a8"
"Caparol Iris 15","iris-15","#bed5de"
"Caparol Iris 14","iris-14","#a7c3d2"
"Caparol Iris 18","iris-18","#e0ebed"
"Caparol Iris 16","iris-16","#cedfe5"
"Caparol Lapis 0","lapis-0","#475690"
"Caparol Lapis 13","lapis-13","#8bade0"
