"Caparol Burgund 01","burgund-01","#a46b5b"
"Caparol Burgund 02","burgund-02","#a26954"
"Caparol Burgund 03","burgund-03","#946c5f"
"Caparol Burgund 04","burgund-04","#a77b65"
"Caparol Burgund 05","burgund-05","#a28373"
"Caparol Burgund 06","burgund-06","#ae9080"
"Caparol Burgund 07","burgund-07","#c8a898"
"Caparol Burgund 08","burgund-08","#c0a894"
"Caparol Burgund 09","burgund-09","#b8a491"
"Caparol Burgund 10","burgund-10","#9e8f7c"
"Caparol Burgund 11","burgund-11","#b09485"
"Caparol Burgund 12","burgund-12","#957f6f"
"Caparol Burgund 13","burgund-13","#a9755c"
"Caparol Burgund 14","burgund-14","#cb9478"
"Caparol Flandern 01","flandern-01","#889d9d"
"Caparol Flandern 02","flandern-02","#687f82"
"Caparol Flandern 03","flandern-03","#92a09e"
"Caparol Flandern 04","flandern-04","#afb4ad"
"Caparol Flandern 05","flandern-05","#b4b6b1"
"Caparol Flandern 06","flandern-06","#a5a5a3"
"Caparol Flandern 07","flandern-07","#d0c8c3"
"Caparol Flandern 08","flandern-08","#cfc9be"
"Caparol Flandern 09","flandern-09","#ddd5c7"
"Caparol Flandern 10","flandern-10","#e6d7c7"
"Caparol Flandern 11","flandern-11","#ddcfbd"
"Caparol Flandern 12","flandern-12","#c7bdaf"
"Caparol Flandern 13","flandern-13","#b2aea2"
"Caparol Flandern 14","flandern-14","#a29d90"
"Caparol Flandern 15","flandern-15","#aaa396"
"Caparol Flandern 16","flandern-16","#89877f"
"Caparol Flandern 17","flandern-17","#918b81"
"Caparol Flandern 18","flandern-18","#a29b93"
"Caparol Flandern 19","flandern-19","#a69a8c"
"Caparol Navarra 01","navarra-01","#e2d0ba"
"Caparol Navarra 02","navarra-02","#d4c5af"
"Caparol Navarra 03","navarra-03","#b6a893"
"Caparol Navarra 04","navarra-04","#c0aa95"
"Caparol Navarra 05","navarra-05","#ac947f"
"Caparol Navarra 06","navarra-06","#9c8470"
"Caparol Navarra 07","navarra-07","#a3816a"
"Caparol Navarra 08","navarra-08","#ba9a81"
"Caparol Navarra 09","navarra-09","#cfb291"
"Caparol Navarra 10","navarra-10","#b29070"
"Caparol Navarra 11","navarra-11","#b59675"
"Caparol Navarra 12","navarra-12","#baa387"
"Caparol Navarra 13","navarra-13","#d4bda2"
"Caparol Navarra 14","navarra-14","#af9d81"
"Caparol Navarra 15","navarra-15","#d3c1a3"
"Caparol Provence 01","provence-01","#ceab7c"
"Caparol Provence 02","provence-02","#bda580"
"Caparol Provence 03","provence-03","#d1ad80"
"Caparol Provence 04","provence-04","#d09e74"
"Caparol Provence 05","provence-05","#e4c098"
"Caparol Provence 06","provence-06","#e4b483"
"Caparol Provence 07","provence-07","#d4a064"
"Caparol Provence 08","provence-08","#d4a568"
"Caparol Provence 09","provence-09","#e2b371"
"Caparol Provence 10","provence-10","#f0c27f"
"Caparol Provence 11","provence-11","#dab679"
"Caparol Provence 12","provence-12","#e0c695"
"Caparol Provence 13","provence-13","#e9d29a"
"Caparol Provence 14","provence-14","#d7bd83"
"Caparol Rotsandstein","rotsandstein","#987263"
"Caparol Tessin 01","tessin-01","#aa998d"
"Caparol Tessin 02","tessin-02","#d8cab7"
"Caparol Tessin 03","tessin-03","#cdbcac"
"Caparol Tessin 04","tessin-04","#c9b8ab"
"Caparol Tessin 05","tessin-05","#b0a297"
"Caparol Tessin 06","tessin-06","#9e8e8b"
"Caparol Tessin 07","tessin-07","#b7a59d"
"Caparol Tessin 08","tessin-08","#b7aaa6"
"Caparol Tessin 09","tessin-09","#d3c5bb"
"Caparol Tessin 10","tessin-10","#9f8b85"
"Caparol Tessin 11","tessin-11","#c5aca7"
"Caparol Tessin 12","tessin-12","#b6a1a2"
"Caparol Tessin 13","tessin-13","#a3837f"
"Caparol Tessin 14","tessin-14","#b18f89"
"Caparol Tessin 15","tessin-15","#b7887a"
"Caparol Tessin 16","tessin-16","#ab7c6d"
"Caparol Toscana 01","toscana-01","#c2ae80"
"Caparol Toscana 02","toscana-02","#a4957a"
"Caparol Toscana 03","toscana-03","#b4a17e"
"Caparol Toscana 04","toscana-04","#d1c09f"
"Caparol Toscana 05","toscana-05","#c5b491"
"Caparol Toscana 06","toscana-06","#dbd0b9"
"Caparol Toscana 07","toscana-07","#c2b19a"
"Caparol Toscana 08","toscana-08","#c1b49d"
"Caparol Toscana 09","toscana-09","#aca089"
"Caparol Toscana 10","toscana-10","#8e816f"
"Caparol Toscana 11","toscana-11","#bfb4a0"
"Caparol Toscana 12","toscana-12","#bbbaa9"
"Caparol Toscana 13","toscana-13","#9c9886"
"Caparol Toscana 14","toscana-14","#8f8e7b"
"Caparol Toscana 15","toscana-15","#b7b496"
"Caparol Toscana 16","toscana-16","#bbb28b"
"Caparol Toscana 17","toscana-17","#83815f"
"Caparol Toscana 18","toscana-18","#9a9e78"
"Caparol Toscana 19","toscana-19","#9ea083"
"Caparol Toscana 20","toscana-20","#a4a48a"
"Caparol Toscana 21","toscana-21","#96a591"
"Caparol Toscana 22","toscana-22","#a3ae9f"
"Caparol Toscana 23","toscana-23","#8c998f"
