"White Lace - OW21 1P","white-lace-ow21-1p","#f5f3e8"
"Intimate White - OW21 2P","intimate-white-ow21-2p","#f1ecdf"
"Hush White - OW22 1P","hush-white-ow22-1p","#f4f0e6"
"Mobe Pearl - OW22 2P","mobe-pearl-ow22-2p","#eee7da"
"Swan Wing - OW 1 1P","swan-wing-ow-1-1p","#faf2de"
"Cottonfield - OW 1 2P","cottonfield-ow-1-2p","#f7ecd3"
"Light Approach - OW25 1P","light-approach-ow25-1p","#f6ead4"
"Moccasin Print - OW25 2P","moccasin-print-ow25-2p","#f7e7cc"
"Snow White - OW20 1P","snow-white-ow20-1p","#fcf8e9"
"Sandlight - OW20 2P","sandlight-ow20-2p","#f3eacf"
"Creamy White - OW31 1P","creamy-white-ow31-1p","#fcf5dc"
"Hearth Candle - OW31 2P","hearth-candle-ow31-2p","#fdefd0"
"Gossamer White - OW37 1P","gossamer-white-ow37-1p","#fcf6dc"
"Ivory Yellow - OW37 2P","ivory-yellow-ow37-2p","#fdf1cd"
"Sun Glint - OW2 1P","sun-glint-ow2-1p","#faf8df"
"Little Maid - OW2 2P","little-maid-ow2-2p","#f4eecb"
"Daisy White - OW13 1P","daisy-white-ow13-1p","#fbf8e0"
"Beeswax - OW13 2P","beeswax-ow13-2p","#ede8ce"
"Minted Lemon - OW7 1P","minted-lemon-ow7-1p","#f2edcf"
"White Asparagus - OW7 2P","white-asparagus-ow7-2p","#f1ecc8"
"Peaceful White - OW19 1P","peaceful-white-ow19-1p","#f1efdf"
"Eggshell - OW19 2P","eggshell-ow19-2p","#e6e4d5"
"Walden White - OW14 1P","walden-white-ow14-1p","#eeeddf"
"Evening Breeze - OW14 2P","evening-breeze-ow14-2p","#e3e6d6"
"Green Whimsey - OW3 1P","green-whimsey-ow3-1p","#e7f1d9"
"Spring Cut - OW3 2P","spring-cut-ow3-2p","#e0edce"
"Clover Petal - OW8 1P","clover-petal-ow8-1p","#e7edd5"
"Tumbling Water - OW8 2P","tumbling-water-ow8-2p","#dee7ce"
"Gardenia - OW15 1P","gardenia-ow15-1p","#edf2e3"
"Rusting Leaf - OW15 2P","rusting-leaf-ow15-2p","#e0e6d4"
"Little Falls - OW9 1P","little-falls-ow9-1p","#dfebd8"
"Leisure Lake - OW9 2P","leisure-lake-ow9-2p","#d3e6d4"
"Cool Hint - OW16 1P","cool-hint-ow16-1p","#ecf6ed"
"Dewkiss - OW16 2P","dewkiss-ow16-2p","#dee9da"
"Aerial - OW4 1P","aerial-ow4-1p","#e1eedf"
"Alpine Echo - OW4 2P","alpine-echo-ow4-2p","#cfe6d8"
"Sea Breeze - OW10 1P","sea-breeze-ow10-1p","#e4eee1"
"Wafting Wave - OW10 2P","wafting-wave-ow10-2p","#dbe9dc"
"Mint Scent - OW17 1P","mint-scent-ow17-1p","#e8f5e9"
"Silver Drop - OW17 2P","silver-drop-ow17-2p","#e1e8dc"
"Laguna Mist - OW5 1P","laguna-mist-ow5-1p","#e7f5eb"
"Summer Day - OW5 2P","summer-day-ow5-2p","#dcf1ed"
"Clear Day  - OW11 1P","clear-day-ow11-1p","#dbf1e5"
"First Light - OW11 2P","first-light-ow11-2p","#d9ede7"
"Blue Essence - OW12 1P","blue-essence-ow12-1p","#e1ede8"
"Hint of Blue - OW12 2P","hint-of-blue-ow12-2p","#d1e6e4"
"Ingenue - OW6 1P","ingenue-ow6-1p","#daf0ec"
"Petite Blue - OW6 2P","petite-blue-ow6-2p","#cfe4df"
"Soothing Blue - OW18 1P","soothing-blue-ow18-1p","#ebf3ef"
"Blue Trace - OW18 2P","blue-trace-ow18-2p","#e0efef"
"Blue Vision - OW42 1P","blue-vision-ow42-1p","#e4f0eb"
"Shy Sky - OW42 2P","shy-sky-ow42-2p","#d4e0e5"
"Reserved White - OW23 1P","reserved-white-ow23-1p","#eeeee7"
"White Wing - OW23 2P","white-wing-ow23-2p","#ebe7df"
"Ash White - OW24 1P","ash-white-ow24-1p","#eaeae1"
"Gray Dew - OW24 2P","gray-dew-ow24-2p","#e2e2de"
"Violet Whisper - OW36 1P","violet-whisper-ow36-1p","#ecece8"
"Velvet Touch - OW36 2P","velvet-touch-ow36-2p","#e4e7e8"
"White Lilac - OW30 1P","white-lilac-ow30-1p","#e7e8e7"
"Iris Tip - OW30 2P","iris-tip-ow30-2p","#e2e3e6"
"White Peony - OW35 1P","white-peony-ow35-1p","#f4eee8"
"Orchid Scent - OW35 2P","orchid-scent-ow35-2p","#e9e1de"
"White Dawn - OW29 1P","white-dawn-ow29-1p","#f3ece8"
"Wisteria White - OW29 2P","wisteria-white-ow29-2p","#e9e4e1"
"Angelic Pink - OW27 1P","angelic-pink-ow27-1p","#f6eee4"
"Rosy Dawn - OW27 2P","rosy-dawn-ow27-2p","#f1e7dc"
"Drifting Cloud - OW28 1P","drifting-cloud-ow28-1p","#f3ebe3"
"Lullaby - OW28 2P","lullaby-ow28-2p","#eee3db"
"Sugar Pink - OW41 1P","sugar-pink-ow41-1p","#f9f0e8"
