"Colortrend E1-1","e1-1","#e0c4cd"
"Colortrend E1-2","e1-2","#d1adc0"
"Colortrend E1-3","e1-3","#caa1b8"
"Colortrend E1-4","e1-4","#a87590"
"Colortrend E1-5","e1-5","#935a77"
"Colortrend E1-6","e1-6","#e0c8cc"
"Colortrend E1-7","e1-7","#d9b5c1"
"Colortrend E1-8","e1-8","#d4acbb"
"Colortrend E1-9","e1-9","#af7b8e"
"Colortrend E1-10","e1-10","#9f6477"
"Colortrend E1-11","e1-11","#dccbce"
"Colortrend E1-12","e1-12","#d6c0c8"
"Colortrend E1-13","e1-13","#bca0ab"
"Colortrend E1-14","e1-14","#90747e"
"Colortrend E1-15","e1-15","#796068"
"Colortrend E1-16","e1-16","#d8d3da"
"Colortrend E1-17","e1-17","#c6c1cd"
"Colortrend E1-18","e1-18","#aaa2b3"
"Colortrend E1-19","e1-19","#807689"
"Colortrend E1-20","e1-20","#64586b"
"Colortrend E1-21","e1-21","#f1d4d7"
"Colortrend E1-22","e1-22","#eec6d0"
"Colortrend E1-23","e1-23","#e5b6c2"
"Colortrend E1-24","e1-24","#c07486"
"Colortrend E1-25","e1-25","#be697b"
"Colortrend E1-26","e1-26","#f3e1e3"
"Colortrend E1-27","e1-27","#e5c0ce"
"Colortrend E1-28","e1-28","#c68ea7"
"Colortrend E1-29","e1-29","#a0687a"
"Colortrend E1-30","e1-30","#885965"
"Colortrend E1-31","e1-31","#d9c1c5"
"Colortrend E1-32","e1-32","#c5a4ad"
"Colortrend E1-33","e1-33","#a06f7d"
"Colortrend E1-34","e1-34","#906770"
"Colortrend E1-35","e1-35","#7d5961"
"Colortrend E1-36","e1-36","#d2ccce"
"Colortrend E1-37","e1-37","#c2b9c0"
"Colortrend E1-38","e1-38","#a49aa2"
"Colortrend E1-39","e1-39","#786d74"
"Colortrend E1-40","e1-40","#675c62"
"Colortrend E1-41","e1-41","#f8dfe0"
"Colortrend E1-42","e1-42","#fad4d8"
"Colortrend E1-43","e1-43","#f2b5bf"
"Colortrend E1-44","e1-44","#e98d9e"
"Colortrend E1-45","e1-45","#b6676f"
"Colortrend E1-46","e1-46","#f3ced2"
"Colortrend E1-47","e1-47","#e8b5be"
"Colortrend E1-48","e1-48","#e1a4ad"
"Colortrend E1-49","e1-49","#ca7885"
"Colortrend E1-50","e1-50","#be636c"
"Colortrend E1-51","e1-51","#ebcccd"
"Colortrend E1-52","e1-52","#e5c2c2"
"Colortrend E1-53","e1-53","#cf9ea1"
"Colortrend E1-54","e1-54","#ae7776"
"Colortrend E1-55","e1-55","#855855"
"Colortrend E1-56","e1-56","#d7c7c4"
"Colortrend E1-57","e1-57","#c7b3b1"
"Colortrend E1-58","e1-58","#b39a96"
"Colortrend E1-59","e1-59","#927470"
"Colortrend E1-60","e1-60","#7c5d56"
"Colortrend E2-1","e2-1","#f4dedc"
"Colortrend E2-2","e2-2","#f5c8cd"
"Colortrend E2-3","e2-3","#f1acb8"
"Colortrend E2-4","e2-4","#e17985"
"Colortrend E2-5","e2-5","#d05b61"
"Colortrend E2-6","e2-6","#f5d2d0"
"Colortrend E2-7","e2-7","#f1c1bf"
"Colortrend E2-8","e2-8","#e39c9b"
"Colortrend E2-9","e2-9","#c66f6f"
"Colortrend E2-10","e2-10","#c05e58"
"Colortrend E2-11","e2-11","#eed4d4"
"Colortrend E2-12","e2-12","#eac4c7"
"Colortrend E2-13","e2-13","#dba5a9"
"Colortrend E2-14","e2-14","#bd787c"
"Colortrend E2-15","e2-15","#a96165"
"Colortrend E2-16","e2-16","#e0d3d1"
"Colortrend E2-17","e2-17","#d9ccca"
"Colortrend E2-18","e2-18","#b29a9b"
"Colortrend E2-19","e2-19","#8a706e"
"Colortrend E2-20","e2-20","#7f5e5a"
"Colortrend E2-21","e2-21","#f7dad7"
