"Colortrend 1A1-1","1a1-1","#e2d4e7"
"Colortrend 1A1-2","1a1-2","#dfc9e2"
"Colortrend 1A1-3","1a1-3","#d2b6d9"
"Colortrend 1A1-4","1a1-4","#c1a0c9"
"Colortrend 1A1-5","1a1-5","#af86b6"
"Colortrend 1A1-6","1a1-6","#9e71a5"
"Colortrend 1A1-7","1a1-7","#7e5385"
"Colortrend 1A1-8","1a1-8","#eadeec"
"Colortrend 1A2-1","1a2-1","#ead5e8"
"Colortrend 1A2-2","1a2-2","#e3c9e2"
"Colortrend 1A2-3","1a2-3","#d5b4d6"
"Colortrend 1A2-4","1a2-4","#cba4cc"
"Colortrend 1A2-5","1a2-5","#ba87b7"
"Colortrend 1A2-6","1a2-6","#a771a5"
"Colortrend 1A2-7","1a2-7","#8a5385"
"Colortrend 1A2-8","1a2-8","#e9d4e7"
"Colortrend 1A3-2","1a3-2","#e1c7e1"
"Colortrend 1A3-3","1a3-3","#dab4d7"
"Colortrend 1A3-4","1a3-4","#cea3cc"
"Colortrend 1A3-5","1a3-5","#be86b6"
"Colortrend 1A3-6","1a3-6","#ac70a3"
"Colortrend 1A3-7","1a3-7","#925283"
"Colortrend 1A3-8","1a3-8","#f4e3ec"
"Colortrend 1B1-1","1b1-1","#e9d3e6"
"Colortrend 1B1-2","1b1-2","#e2c8e1"
"Colortrend 1B1-3","1b1-3","#dcb3d5"
"Colortrend 1B1-4","1b1-4","#d2a1cb"
"Colortrend 1B1-5","1b1-5","#c185b4"
"Colortrend 1B1-6","1b1-6","#b06ea1"
"Colortrend 1B1-7","1b1-7","#995182"
"Colortrend 1B1-8","1b1-8","#f4e8ed"
"Colortrend 1B2-1","1b2-1","#e8d0e4"
"Colortrend 1B2-2","1b2-2","#e8c8e1"
"Colortrend 1B2-3","1b2-3","#e0b1d4"
"Colortrend 1B2-4","1b2-4","#d9a1ca"
"Colortrend 1B2-5","1b2-5","#c984b4"
