"Colortrend 1 bk- DWC310","1-bk-dwc310","#8a877a"
"Colortrend 1 fr- TWC101","1-fr-twc101","#9e6179"
"Colortrend 2 bk- DWC309","2-bk-dwc309","#b0aa96"
"Colortrend 2 fr- TWC102","2-fr-twc102","#966354"
"Colortrend 3 bk- DWC308","3-bk-dwc308","#898681"
"Colortrend 3 fr- TWC103","3-fr-twc103","#449679"
"Colortrend 4 bk- DWC307","4-bk-dwc307","#bdb49e"
"Colortrend 4 fr- TWC104","4-fr-twc104","#94a26f"
"Colortrend 5 bk- DWC306","5-bk-dwc306","#acaf89"
"Colortrend 5 fr- TWC105","5-fr-twc105","#e6cb50"
"Colortrend 6 bk- DWC305","6-bk-dwc305","#c9bf9e"
"Colortrend 6 fr- TWC106","6-fr-twc106","#e2ba44"
"Colortrend 7 bk- DWC304","7-bk-dwc304","#cdb694"
"Colortrend 7 fr- TWC107","7-fr-twc107","#c06e4c"
"Colortrend 8 bk- DWC303","8-bk-dwc303","#91865b"
"Colortrend 8 fr- TWC108","8-fr-twc108","#a7574c"
"Colortrend 9 bk- DWC302","9-bk-dwc302","#a48b6b"
"Colortrend 9 fr- TWC109","9-fr-twc109","#a48b6b"
"Colortrend 10 bk- DWC301","10-bk-dwc301","#c58650"
"Colortrend 10 fr- TWC110","10-fr-twc110","#c47f57"
"Colortrend 11 fr- RWC111","11-fr-rwc111","#484541"
"Colortrend 12 bk- NWC212","12-bk-nwc212","#91654c"
"Colortrend 12 fr- TWC112","12-fr-twc112","#9e8263"
"Colortrend 13 bk- NWC211","13-bk-nwc211","#a28367"
"Colortrend 13 fr- TWC113","13-fr-twc113","#845a4b"
"Colortrend 14 bk- NWC210","14-bk-nwc210","#b6a28e"
"Colortrend 14 fr- TWC114","14-fr-twc114","#976b48"
"Colortrend 15 bk- NWC209","15-bk-nwc209","#c5ac8b"
"Colortrend 15 fr- TWC115","15-fr-twc115","#e0c59a"
"Colortrend 16 bk- NWC208","16-bk-nwc208","#89664d"
"Colortrend 16 fr- RWC116","16-fr-rwc116","#7a6850"
"Colortrend 17 bk- NWC207","17-bk-nwc207","#b1957b"
"Colortrend 17 fr- TWC117","17-fr-twc117","#896356"
"Colortrend 18 bk- NWC206","18-bk-nwc206","#999475"
"Colortrend 18 fr- TWC118","18-fr-twc118","#9a6f57"
"Colortrend 19 bk- NWC205","19-bk-nwc205","#a2a08b"
"Colortrend 19 fr- TWC119","19-fr-twc119","#84757d"
"Colortrend 20 bk- NWC204","20-bk-nwc204","#969c76"
"Colortrend 20 fr- TWC120","20-fr-twc120","#8f6051"
"Colortrend 21 bk- NWC203","21-bk-nwc203","#b69c7f"
"Colortrend 21 fr- TWC121","21-fr-twc121","#c48c52"
"Colortrend 22 bk- NWC202","22-bk-nwc202","#846d59"
"Colortrend 22 fr- TWC122","22-fr-twc122","#c7a779"
"Colortrend 23 bk- NWC201","23-bk-nwc201","#735e4e"
"Colortrend 23 fr- TWC123","23-fr-twc123","#655648"
"Colortrend 24 fr- TWC124","24-fr-twc124","#61889e"
