"Pearl Bliss","pearl-bliss","#fcedd8"
"Raspberry Dream Bliss","raspberry-dream-bliss","#dbbbca"
"Seashell Bliss","seashell-bliss","#f8c4b5"
"Pollen Bliss","pollen-bliss","#f0b871"
"Tangerine Bliss","tangerine-bliss","#ffa64d"
"Dirty Mint Lush","dirty-mint-lush","#d4d6b7"
"Lagoon Lush","lagoon-lush","#88a9a0"
"Hueless Lush","hueless-lush","#f9f8ee"
"Caterpillar Lush","caterpillar-lush","#b6ce68"
"Lemon Ice Lush","lemon-ice-lush","#fbe583"
"Pale violet Fluent","pale-violet-fluent","#c9cdd6"
"Candied Plum Fluent","candied-plum-fluent","#988a9b"
"Chill Fluent","chill-fluent","#afc6de"
"Artic Aqua Fluent","artic-aqua-fluent","#ddefec"
"Flight Blue Fluent","flight-blue-fluent","#9bd4d4"
"Teacake Breathless","teacake-breathless","#e2ddd0"
"Cashmere Breathless","cashmere-breathless","#d7bc9d"
"Smoke Breathless","smoke-breathless","#d0c5b7"
"Vanishing Gray Breathless","vanishing-gray-breathless","#dbdad5"
"Canvas Breathless","canvas-breathless","#dacdaf"
