"DEUTSCHEpapier Trendcolor hellgelb","trendcolor-hellgelb","#e6dfa7"
"DEUTSCHEpapier Trendcolor dunkelgelb","trendcolor-dunkelgelb","#eddf8d"
"DEUTSCHEpapier Trendcolor kanariengelb","trendcolor-kanariengelb","#f3d841"
"DEUTSCHEpapier Trendcolor maisgold","trendcolor-maisgold","#ffc469"
"DEUTSCHEpapier Trendcolor chamois","trendcolor-chamois","#f6d4b8"
"DEUTSCHEpapier Trendcolor orange","trendcolor-orange","#ffc096"
"DEUTSCHEpapier Trendcolor mandarin","trendcolor-mandarin","#ff9e62"
"DEUTSCHEpapier Trendcolor rosa","trendcolor-rosa","#fdc7cd"
"DEUTSCHEpapier Trendcolor kirsch","trendcolor-kirsch","#fea7bb"
"DEUTSCHEpapier Trendcolor rot","trendcolor-rot","#f36476"
"DEUTSCHEpapier Trendcolor eosin","trendcolor-eosin","#fa74ba"
"DEUTSCHEpapier Trendcolor hellgruen","trendcolor-hellgruen","#cee5b5"
"DEUTSCHEpapier Trendcolor moosgruen","trendcolor-moosgruen","#a6da74"
"DEUTSCHEpapier Trendcolor dunkelgruen","trendcolor-dunkelgruen","#67cb9b"
"DEUTSCHEpapier Trendcolor hellblau","trendcolor-hellblau","#a3d0da"
"DEUTSCHEpapier Trendcolor arcticblau","trendcolor-arcticblau","#69b5d1"
"DEUTSCHEpapier Trendcolor grau","trendcolor-grau","#dcdbd3"
"DEUTSCHEpapier Colorline creme","colorline-creme","#fdf3d5"
"DEUTSCHEpapier Colorline chamois","colorline-chamois","#ffe9b3"
"DEUTSCHEpapier Colorline hellgelb","colorline-hellgelb","#faf6b5"
"DEUTSCHEpapier Colorline kanariengelb","colorline-kanariengelb","#f8ec4c"
"DEUTSCHEpapier Colorline schwefelgelb","colorline-schwefelgelb","#ffd725"
"DEUTSCHEpapier Colorline altgold","colorline-altgold","#ffc747"
"DEUTSCHEpapier Colorline goldgelb","colorline-goldgelb","#ffc980"
"DEUTSCHEpapier Colorline mandarinorange","colorline-mandarinorange","#ffa62f"
"DEUTSCHEpapier Colorline aprikotorange","colorline-aprikotorange","#ff7a46"
"DEUTSCHEpapier Colorline korallenrot","colorline-korallenrot","#e24d4b"
"DEUTSCHEpapier Colorline rosa","colorline-rosa","#ffc5cd"
"DEUTSCHEpapier Colorline eosin","colorline-eosin","#f588b3"
"DEUTSCHEpapier Colorline flieder","colorline-flieder","#d1d2e4"
"DEUTSCHEpapier Colorline silbergrau","colorline-silbergrau","#c1c0be"
"DEUTSCHEpapier Colorline gletscherweiss","colorline-gletscherweiss","#f7f8ff"
"DEUTSCHEpapier Colorline hellblau","colorline-hellblau","#c9e5e9"
"DEUTSCHEpapier Colorline himmelblau","colorline-himmelblau","#a2d0de"
"DEUTSCHEpapier Colorline arcticblau","colorline-arcticblau","#4bc3e1"
"DEUTSCHEpapier Colorline hellgruen","colorline-hellgruen","#caecb5"
"DEUTSCHEpapier Colorline moosgruen","colorline-moosgruen","#9bd260"
"DEUTSCHEpapier Colorline tuerkisgruen","colorline-tuerkisgruen","#6dd3b1"
"DEUTSCHEpapier Paradiso weiss","paradiso-weiss","#fdfbff"
"DEUTSCHEpapier Paradiso hellgrau","paradiso-hellgrau","#e3e7eb"
"DEUTSCHEpapier Paradiso lichtgrau","paradiso-lichtgrau","#c8c4b9"
"DEUTSCHEpapier Paradiso steingrau","paradiso-steingrau","#adacaa"
"DEUTSCHEpapier Paradiso elfenbein","paradiso-elfenbein","#fbf0db"
"DEUTSCHEpapier Paradiso beige","paradiso-beige","#fbe3c6"
"DEUTSCHEpapier Paradiso goldgelb","paradiso-goldgelb","#ffce31"
"DEUTSCHEpapier Paradiso zartgelb","paradiso-zartgelb","#f7ef8e"
"DEUTSCHEpapier Paradiso gelb","paradiso-gelb","#fdea34"
"DEUTSCHEpapier Paradiso aprikot","paradiso-aprikot","#ffc08f"
"DEUTSCHEpapier Paradiso marakuja","paradiso-marakuja","#ffaf00"
"DEUTSCHEpapier Paradiso orange","paradiso-orange","#ff9739"
"DEUTSCHEpapier Paradiso orangerot","paradiso-orangerot","#ed6a58"
"DEUTSCHEpapier Paradiso rot","paradiso-rot","#c4434c"
"DEUTSCHEpapier Paradiso rosa","paradiso-rosa","#fcd0db"
"DEUTSCHEpapier Paradiso karminrot","paradiso-karminrot","#d85e8c"
"DEUTSCHEpapier Paradiso tuerkisgruen","paradiso-tuerkisgruen","#7bd4b1"
"DEUTSCHEpapier Paradiso gruen","paradiso-gruen","#41ae5d"
"DEUTSCHEpapier Paradiso fruehlingsgruen","paradiso-fruehlingsgruen","#9ad158"
"DEUTSCHEpapier Paradiso grasgruen","paradiso-grasgruen","#6cbe69"
"DEUTSCHEpapier Paradiso hellblau","paradiso-hellblau","#bfe3e6"
"DEUTSCHEpapier Paradiso flieder","paradiso-flieder","#9eb9d5"
"DEUTSCHEpapier Paradiso blau","paradiso-blau","#68bdd5"
"DEUTSCHEpapier Paradiso royalblau","paradiso-royalblau","#5564a2"
