"DIC 1s","1s","#fad2ba"
"DIC 2s","2s","#f6ccc2"
"DIC 3s","3s","#f0c4d7"
"DIC 4s*","4s","#ffaeb0"
"DIC 5s*","5s","#ffc1ae"
"DIC 6s*","6s","#ffb594"
"DIC 7s","7s","#fdc594"
"DIC 8s","8s","#fad499"
"DIC 9s","9s","#f6e293"
"DIC 10s","10s","#dae894"
"DIC 11s*","11s","#cbe591"
"DIC 12s*","12s","#c1df8c"
"DIC 13s*","13s","#addc99"
"DIC 14s*","14s","#9bd79a"
"DIC 15s*","15s","#6cdab9"
"DIC 16s*","16s","#74d9ce"
"DIC 17s*","17s","#8bdbd9"
"DIC 18s*","18s","#72d5d6"
"DIC 19s*","19s","#8ed2da"
"DIC 20s","20s","#96d0de"
"DIC 21s","21s","#b6d0e4"
"DIC 22s","22s","#ccd6e5"
"DIC 23s","23s","#e1bdd3"
"DIC 24s","24s","#f1b8d3"
"DIC 25s","25s","#f99dba"
"DIC 26s*","26s","#fda4ba"
"DIC 27s","27s","#f683ae"
"DIC 28s","28s","#ff8ba2"
"DIC 29s*","29s","#ff91a2"
"DIC 30s*","30s","#ffa88d"
"DIC 31s*","31s","#ffba88"
"DIC 32s*","32s","#fdd08a"
"DIC 33s","33s","#f9e165"
"DIC 34s","34s","#dde15d"
"DIC 35s*","35s","#c2de79"
"DIC 36s*","36s","#95db7b"
"DIC 37s*","37s","#90dc98"
"DIC 38s*","38s","#55d4a5"
"DIC 39s*","39s","#43d4b3"
"DIC 40s*","40s","#00cfbb"
"DIC 41s*","41s","#40ceca"
"DIC 42s*","42s","#4acbd5"
"DIC 43s","43s","#82b8c4"
"DIC 44s*","44s","#a0bcdd"
"DIC 45s","45s","#bfb9da"
"DIC 46s","46s","#d091c3"
"DIC 47s*","47s","#de7cbb"
"DIC 48s*","48s","#e26cb4"
"DIC 49s*","49s","#f270a8"
"DIC 50s*","50s","#fa7499"
"DIC 51s*","51s","#ff7385"
"DIC 52s*","52s","#ff8570"
"DIC 53s","53s","#ff9673"
"DIC 54s*","54s","#ff9b6b"
"DIC 55s*","55s","#ffb970"
"DIC 56s","56s","#ffc266"
"DIC 57s","57s","#fbd957"
"DIC 58s","58s","#e1e57d"
"DIC 59s","59s","#c4dd69"
"DIC 60s*","60s","#aed766"
"DIC 61s*","61s","#8ed06c"
"DIC 62s*","62s","#74d68f"
"DIC 63s*","63s","#00cfa9"
"DIC 64s*","64s","#00cfb6"
"DIC 65s*","65s","#00cbbb"
"DIC 66s*","66s","#2ac5d0"
"DIC 67s*","67s","#34bedc"
"DIC 68s","68s","#30bede"
"DIC 69s","69s","#64add5"
"DIC 70s","70s","#6c96cb"
"DIC 71s*","71s","#c4a5e1"
"DIC 72s*","72s","#c28bd6"
"DIC 73s","73s","#db74bd"
"DIC 74s*","74s","#ed6ab0"
"DIC 75s*","75s","#f9789f"
"DIC 76s*","76s","#fa5f82"
"DIC 77s*","77s","#ff6474"
"DIC 78s*","78s","#ff5d64"
"DIC 79s*","79s","#ff6466"
"DIC 80s","80s","#ff7155"
"DIC 81s*","81s","#ff7d54"
"DIC 82s*","82s","#ff9251"
"DIC 83s*","83s","#ff9b46"
"DIC 84s*","84s","#ffb049"
"DIC 85s","85s","#ffb441"
"DIC 86s","86s","#ffc338"
"DIC 87s","87s","#fae540"
"DIC 88s","88s","#dde04b"
"DIC 89s*","89s","#bfe059"
"DIC 90s*","90s","#aad352"
"DIC 91s*","91s","#75c65a"
"DIC 92s*","92s","#09c66e"
"DIC 93s*","93s","#00c699"
"DIC 94s*","94s","#00c9ad"
"DIC 95s*","95s","#00c4ab"
"DIC 96s*","96s","#00c0c8"
"DIC 97s*","97s","#00bfcb"
"DIC 98s*","98s","#00bbd2"
"DIC 99s","99s","#00b2dc"
"DIC 100s","100s","#249ec9"
"DIC 101s","101s","#659fdd"
"DIC 102s","102s","#6fa0de"
"DIC 103s*","103s","#839cde"
"DIC 104s*","104s","#878fdb"
"DIC 105s*","105s","#9786d8"
"DIC 106s*","106s","#b285d9"
"DIC 107s*","107s","#c36cc8"
"DIC 108s*","108s","#b955a8"
"DIC 109s*","109s","#d560c3"
"DIC 110s*","110s","#d550a5"
"DIC 111s","111s","#e74d9c"
"DIC 112s","112s","#e84a99"
"DIC 113s","113s","#ef528a"
"DIC 114s","114s","#f14872"
"DIC 115s","115s","#fb586c"
"DIC 116s","116s","#fe5b5e"
"DIC 117s*","117s","#ff5b55"
"DIC 118s*","118s","#ff645a"
"DIC 119s*","119s","#ff754a"
"DIC 120s*","120s","#ff8c46"
"DIC 121s*","121s","#ff9846"
"DIC 122s*","122s","#ffa83f"
"DIC 123s*","123s","#ffb136"
"DIC 124s","124s","#ffbe3c"
"DIC 125s","125s","#ffd03a"
"DIC 126s","126s","#fbe215"
"DIC 127s","127s","#d8e13a"
"DIC 128s*","128s","#b5da40"
"DIC 129s*","129s","#64ce65"
"DIC 130s*","130s","#3fc75a"
"DIC 131s*","131s","#00c16c"
"DIC 132s*","132s","#00c18a"
"DIC 133s*","133s","#00c1ab"
"DIC 134s*","134s","#00b8b3"
"DIC 135s*","135s","#00b3be"
"DIC 136s","136s","#00b2c7"
"DIC 137s","137s","#00adcf"
"DIC 138s","138s","#00a4d6"
"DIC 139s","139s","#009dd6"
"DIC 140s","140s","#0098d9"
"DIC 141s","141s","#478fd8"
"DIC 142s*","142s","#6c8ed9"
"DIC 143s*","143s","#6373c2"
"DIC 144s*","144s","#746ecf"
"DIC 145s*","145s","#7669cd"
"DIC 146s*","146s","#a957ca"
"DIC 147s*","147s","#8f4aa3"
"DIC 148s","148s","#85438b"
"DIC 149s*","149s","#ae38b2"
"DIC 150s*","150s","#a630b2"
"DIC 151s*","151s","#c441a3"
"DIC 152s","152s","#cf3a9e"
"DIC 153s","153s","#de4297"
"DIC 154s","154s","#df3077"
"DIC 155s*","155s","#e12d6e"
"DIC 156s","156s","#f1464e"
"DIC 157s","157s","#f8514d"
"DIC 158s","158s","#fd594e"
"DIC 159s*","159s","#ff5d46"
"DIC 160s*","160s","#ff6c3f"
"DIC 161s*","161s","#ff823f"
"DIC 162s*","162s","#ff903e"
"DIC 163s*","163s","#ffa039"
"DIC 164s*","164s","#ffa930"
"DIC 165s","165s","#ffbd2f"
"DIC 166s","166s","#ffcd20"
"DIC 167s","167s","#fce000"
"DIC 168s","168s","#e1dd1d"
"DIC 169s","169s","#ccd51e"
"DIC 170s*","170s","#b1d238"
"DIC 171s*","171s","#6fc250"
"DIC 172s*","172s","#33b35e"
"DIC 173s","173s","#00af78"
"DIC 174s","174s","#00b681"
