"DIN 6164 TSD 1-1-1","6164-tsd-1-1-1","#ccc9b6"
"DIN 6164 TSD 1-1-2","6164-tsd-1-1-2","#b0ada1"
"DIN 6164 TSD 1-1-3","6164-tsd-1-1-3","#908e80"
"DIN 6164 TSD 1-1-4","6164-tsd-1-1-4","#78766b"
"DIN 6164 TSD 1-1-5","6164-tsd-1-1-5","#626158"
"DIN 6164 TSD 1-1-6","6164-tsd-1-1-6","#56544b"
"DIN 6164 TSD 1-1-7","6164-tsd-1-1-7","#43423c"
"DIN 6164 TSD 1-2-1","6164-tsd-1-2-1","#d2cca8"
"DIN 6164 TSD 1-2-2","6164-tsd-1-2-2","#b0ab8d"
"DIN 6164 TSD 1-2-3","6164-tsd-1-2-3","#918e74"
"DIN 6164 TSD 1-2-4","6164-tsd-1-2-4","#7f7a62"
"DIN 6164 TSD 1-2-5","6164-tsd-1-2-5","#6a6552"
"DIN 6164 TSD 1-2-6","6164-tsd-1-2-6","#575445"
"DIN 6164 TSD 1-2-7","6164-tsd-1-2-7","#403e34"
"DIN 6164 TSD 1-3-1","6164-tsd-1-3-1","#ccc58d"
"DIN 6164 TSD 1-3-2","6164-tsd-1-3-2","#b0ac7a"
"DIN 6164 TSD 1-3-3","6164-tsd-1-3-3","#8e8a63"
"DIN 6164 TSD 1-3-4","6164-tsd-1-3-4","#7e7654"
"DIN 6164 TSD 1-3-5","6164-tsd-1-3-5","#666146"
"DIN 6164 TSD 1-3-6","6164-tsd-1-3-6","#55523c"
"DIN 6164 TSD 1-4-1","6164-tsd-1-4-1","#d3c97c"
"DIN 6164 TSD 1-4-2","6164-tsd-1-4-2","#aea867"
"DIN 6164 TSD 1-4-3","6164-tsd-1-4-3","#918c54"
"DIN 6164 TSD 1-4-4","6164-tsd-1-4-4","#7c7547"
"DIN 6164 TSD 1-4-5","6164-tsd-1-4-5","#69633e"
"DIN 6164 TSD 1-5-1","6164-tsd-1-5-1","#c3b657"
"DIN 6164 TSD 1-5-2","6164-tsd-1-5-2","#a99f4a"
"DIN 6164 TSD 1-5-3","6164-tsd-1-5-3","#93883d"
"DIN 6164 TSD 1-5-4","6164-tsd-1-5-4","#7c7235"
"DIN 6164 TSD 1-6-1","6164-tsd-1-6-1","#c8b929"
"DIN 6164 TSD 1-6-2","6164-tsd-1-6-2","#b3a429"
"DIN 6164 TSD 1-6-3","6164-tsd-1-6-3","#a39028"
"DIN 6164 TSD 2-1-1","6164-tsd-2-1-1","#d4cab8"
"DIN 6164 TSD 2-1-2","6164-tsd-2-1-2","#b6ad9e"
"DIN 6164 TSD 2-1-3","6164-tsd-2-1-3","#8f887e"
"DIN 6164 TSD 2-1-4","6164-tsd-2-1-4","#847e72"
"DIN 6164 TSD 2-1-5","6164-tsd-2-1-5","#6d665d"
"DIN 6164 TSD 2-1-6","6164-tsd-2-1-6","#5b554c"
"DIN 6164 TSD 2-1-7","6164-tsd-2-1-7","#47423f"
"DIN 6164 TSD 2-2-1","6164-tsd-2-2-1","#d5c2a2"
"DIN 6164 TSD 2-2-2","6164-tsd-2-2-2","#b5a588"
"DIN 6164 TSD 2-2-3","6164-tsd-2-2-3","#9c8d75"
"DIN 6164 TSD 2-2-4","6164-tsd-2-2-4","#817662"
"DIN 6164 TSD 2-2-5","6164-tsd-2-2-5","#696052"
"DIN 6164 TSD 2-2-6","6164-tsd-2-2-6","#595043"
"DIN 6164 TSD 2-2-7","6164-tsd-2-2-7","#403a32"
"DIN 6164 TSD 2-3-1","6164-tsd-2-3-1","#d9be8a"
"DIN 6164 TSD 2-3-2","6164-tsd-2-3-2","#b49e75"
"DIN 6164 TSD 2-3-3","6164-tsd-2-3-3","#9f8a67"
"DIN 6164 TSD 2-3-4","6164-tsd-2-3-4","#867557"
"DIN 6164 TSD 2-3-5","6164-tsd-2-3-5","#716147"
"DIN 6164 TSD 2-3-6","6164-tsd-2-3-6","#5b503d"
"DIN 6164 TSD 2-4-1","6164-tsd-2-4-1","#c7a869"
"DIN 6164 TSD 2-4-2","6164-tsd-2-4-2","#a98e55"
"DIN 6164 TSD 2-4-3","6164-tsd-2-4-3","#a08652"
"DIN 6164 TSD 2-4-4","6164-tsd-2-4-4","#826c46"
"DIN 6164 TSD 2-4-5","6164-tsd-2-4-5","#695532"
"DIN 6164 TSD 2-5-1","6164-tsd-2-5-1","#dbb152"
"DIN 6164 TSD 2-5-2","6164-tsd-2-5-2","#bb984a"
"DIN 6164 TSD 2-5-3","6164-tsd-2-5-3","#9d803e"
"DIN 6164 TSD 2-5-4","6164-tsd-2-5-4","#876c34"
"DIN 6164 TSD 2-6-1","6164-tsd-2-6-1","#dbab06"
"DIN 6164 TSD 2-6-2","6164-tsd-2-6-2","#be931c"
"DIN 6164 TSD 3-1-1","6164-tsd-3-1-1","#d3c6b8"
"DIN 6164 TSD 3-1-2","6164-tsd-3-1-2","#b5a699"
"DIN 6164 TSD 3-1-3","6164-tsd-3-1-3","#978b7f"
