"DRAKA POLYA Blanche 0223","polya-blanche-0223","#f7f4f2"
"DRAKA POLYA Albino 0203","polya-albino-0203","#eaeaeb"
"DRAKA POLYA Alpine 0202","polya-alpine-0202","#f7f1e9"
"DRAKA POLYA Chamois 0351","polya-chamois-0351","#dcdad5"
"DRAKA POLYA Stern 0350","polya-stern-0350","#cccdcb"
"DRAKA POLYA Misty 0311","polya-misty-0311","#babab9"
"DRAKA POLYA London 0392","polya-london-0392","#9a9b9b"
"DRAKA POLYA Silver-Toledo 1350","polya-silver-toledo-1350","#a0a1a0"
"DRAKA POLYA Elephant 0393","polya-elephant-0393","#78797b"
"DRAKA POLYA Antras 0309","polya-antras-0309","#515355"
"DRAKA POLYA Nero 0408","polya-nero-0408","#414142"
"DRAKA POLYA Peath 1543","polya-peath-1543","#fabda5"
"DRAKA POLYA Lobster 0625","polya-lobster-0625","#e27461"
"DRAKA POLYA Starlet 0569","polya-starlet-0569","#cb547f"
"DRAKA POLYA Lipstick 1544","polya-lipstick-1544","#a14358"
"DRAKA POLYA Mulberry 0538","polya-mulberry-0538","#714558"
"DRAKA POLYA Caracas 0733","polya-caracas-0733","#653f3c"
"DRAKA POLYA Port 0513","polya-port-0513","#5b373b"
"DRAKA POLYA Bordo 0597","polya-bordo-0597","#713b41"
"DRAKA POLYA Carmon 0510","polya-carmon-0510","#9e363b"
"DRAKA POLYA Toro 0596","polya-toro-0596","#b64347"
"DRAKA POLYA Pirate 0507","polya-pirate-0507","#c84541"
"DRAKA POLYA Electric 1965","polya-electric-1965","#d5d744"
"DRAKA POLYA Yell 0835","polya-yell-0835","#f8e752"
"DRAKA POLYA Solino 0801","polya-solino-0801","#f7c549"
"DRAKA POLYA Mais 0813","polya-mais-0813","#f2be63"
"DRAKA POLYA Verano 0800","polya-verano-0800","#ffaf00"
"DRAKA POLYA Ibiza 0836 ","polya-ibiza-0836","#f7a82c"
"DRAKA POLYA Dino 0807","polya-dino-0807","#eb983c"
"DRAKA POLYA Capri 0603","polya-capri-0603","#e27739"
"DRAKA POLYA Jaffa 0602","polya-jaffa-0602","#d76238"
"DRAKA POLYA Oran 0601","polya-oran-0601","#d55741"
"DRAKA POLYA Cremlin 0515","polya-cremlin-0515","#c5443d"
"DRAKA POLYA Casata 1966","polya-casata-1966","#6cbb94"
"DRAKA POLYA Jade 0914","polya-jade-0914","#00977a"
"DRAKA POLYA Country 0969","polya-country-0969","#00915a"
"DRAKA POLYA Berlin 0927","polya-berlin-0927","#297a56"
"DRAKA POLYA Olivo 0952","polya-olivo-0952","#5d6550"
"DRAKA POLYA Flora 0950","polya-flora-0950","#41524d"
"DRAKA POLYA Cactus 1967","polya-cactus-1967","#3a5b52"
"DRAKA POLYA Tundra 0951","polya-tundra-0951","#2d6c54"
"DRAKA POLYA Avocado 0919","polya-avocado-0919","#557949"
"DRAKA POLYA Herald 0908","polya-herald-0908","#3f8043"
"DRAKA POLYA Spring 0909","polya-spring-0909","#66ae5b"
"DRAKA POLYA Brise 1922","polya-brise-1922","#80b9ab"
"DRAKA POLYA Turko 1017","polya-turko-1017","#008590"
"DRAKA POLYA Messina 1185","polya-messina-1185","#079cb4"
"DRAKA POLYA Palma 1020","polya-palma-1020","#45a6c3"
"DRAKA POLYA Adonis 1026","polya-adonis-1026","#bad7e4"
"DRAKA POLYA Levico 1167","polya-levico-1167","#0a81ac"
"DRAKA POLYA Aqua 1025","polya-aqua-1025","#2f83b3"
"DRAKA POLYA Grape 1103","polya-grape-1103","#6280a5"
"DRAKA POLYA Rimini 1028","polya-rimini-1028","#4f7bb5"
"DRAKA POLYA Viola 1032","polya-viola-1032","#675199"
"DRAKA POLYA Cosmic 1427","polya-cosmic-1427","#414fa4"
"DRAKA POLYA Delta 1027","polya-delta-1027","#90b7e0"
"DRAKA POLYA Nautic 1407","polya-nautic-1407","#0092ca"
"DRAKA POLYA Lugano 1084","polya-lugano-1084","#2e71b8"
"DRAKA POLYA Como 1064","polya-como-1064","#2c669b"
"DRAKA POLYA Lido 1068","polya-lido-1068","#365985"
"DRAKA POLYA Empire 1104","polya-empire-1104","#414769"
"DRAKA POLYA Portofino 1108","polya-portofino-1108","#324d6a"
"DRAKA POLYA Palermo 1070","polya-palermo-1070","#36476b"
"DRAKA POLYA Azur 1065","polya-azur-1065","#3b495f"
"DRAKA POLYA Marino 1066","polya-marino-1066","#3e444c"
"DRAKA POLYA Oyster 1310","polya-oyster-1310","#ded7c8"
"DRAKA POLYA Porcelain 1311","polya-porcelain-1311","#c4bcb3"
"DRAKA POLYA Tabac 0717","polya-tabac-0717","#544037"
"DRAKA POLYA Raisin 1736","polya-raisin-1736","#534742"
"DRAKA POLYA Espresso 0711","polya-espresso-0711","#4d4644"
"DRAKA POLYA Cigar 1735","polya-cigar-1735","#81533d"
"DRAKA POLYA Bronze-Toledo 1850","polya-bronze-toledo-1850","#a1805e"
"DRAKA POLYA Veranda 0792","polya-veranda-0792","#9a7151"
"DRAKA POLYA Madras 0718","polya-madras-0718","#b6987b"
"DRAKA POLYA Roma 0103","polya-roma-0103","#ecdec7"
