"Putnam Plum","DEA100","#8d4362"
"Fiery Fuchsia","DEA101","#b7386e"
"Crimson Strawberry","DEA102","#9f2d47"
"Striking Red","DEA103","#c03543"
"Red Icon","DEA104","#c93543"
"Cherry Bomb","DEA105","#b73d3f"
"Red Contrast","DEA106","#b33234"
"Hot Jazz","DEA107","#bc3033"
"Red Power","DEA108","#d63d3b"
"Bonfire Flame","DEA109","#ce4e35"
"Untamed Orange","DEA110","#de5730"
"Burning Tomato","DEA111","#eb5030"
"Exhuberant Orange","DEA112","#f0622f"
"Orange Burst","DEA113","#ff6e3a"
"Instant Orange","DEA114","#ff8d28"
"Orange Jewel","DEA115","#ff9731"
"Flash of Orange","DEA116","#ffaa00"
"Confident Yellow","DEA117","#ffcc13"
"Yellow Summer","DEA118","#f9b500"
"Electric Glow","DEA119","#ffd100"
"Goldenrod","DEA120","#fdcb18"
"Golden Lock","DEA121","#f5bc1d"
"Brassy","DEA122","#d5ab2c"
"Chartreuse","DEA123","#dad000"
"Lime Twist","DEA124","#c6d624"
"In the Tropics","DEA125","#a3bc3a"
"Leprechaun","DEA126","#6cb037"
"Wild Forest","DEA127","#38914a"
"Spring Juniper","DEA128","#4a754a"
"Charmed Green","DEA129","#007f3a"
"Lucky Clover","DEA130","#006940"
"Teal Waters","DEA131","#007765"
"Ocean Oasis","DEA132","#006c68"
"Rare Turquoise","DEA133","#00748e"
"Aquatic","DEA134","#006477"
"Deep Ocean","DEA135","#2a4b5f"
"Beautiful Blue","DEA136","#186db6"
"Deep Sapphire","DEA137","#1d4e8f"
"Indigo Night","DEA138","#324680"
"Nautical","DEA139","#2e4a7d"
"Cobalt","DEA140","#3c4378"
"Grand Purple","DEA141","#534778"
"Violet Majesty","DEA142","#644982"
"Purple Odyssey","DEA143","#643e65"
"Passionate Plum","DEA144","#753a58"
"Wine Stain","DEA145","#69444f"
"Scarlet Apple","DEA146","#922e4a"
"Garnet Evening","DEA147","#763b42"
"Sunken Ship","DEA148","#6b443d"
"Spiced Berry","DEA149","#85443f"
"Scarlet Past","DEA150","#a53b3d"
