"0-0100","0-0100","#b8bdbc"
"0-0220","0-0220","#bcc2c5"
"0-0240","0-0240","#6e4645"
"0-0250","0-0250","#f3f5ec"
"0-0300","0-0300","#f1eed4"
"0-0400","0-0400","#eaeada"
"0-0500","0-0500","#2c2d2d"
"0-0550","0-0550","#0f0f0e"
"0-0600","0-0600","#b0b2b3"
"0-0720","0-0720","#e1e6d7"
"0-0730","0-0730","#e8e6d5"
"0-0740","0-0740","#eff1e4"
"0-0750","0-0750","#f3f5e8"
"1-0020","1-0020","#f0ecd6"
"1-0040","1-0040","#e5ddc5"
"1-0050","1-0050","#f0e8cf"
"1-0060","1-0060","#e4e3cb"
"1-0080","1-0080","#e3e0cc"
"1-0090","1-0090","#dadcd1"
"1-0109","1-0109","#dfd8c2"
"1-0111","1-0111","#d9dac8"
"1-0112","1-0112","#dcd9c5"
"1-0113","1-0113","#dbd9c7"
"1-0114","1-0114","#e5e5d0"
"1-0115","1-0115","#ededdb"
"1-0116","1-0116","#e8e4cc"
"1-0117","1-0117","#e3e2d0"
"1-0120","1-0120","#d7d4c3"
"1-0130","1-0130","#efe9d2"
"1-0131","1-0131","#dad4ba"
"1-0140","1-0140","#e2dec9"
"1-0151","1-0151","#f3f0d6"
"1-0152","1-0152","#eae4d0"
"1-0160","1-0160","#dad9c7"
"1-0180","1-0180","#dbddc9"
"1-0200","1-0200","#d0d2bf"
"1-0220","1-0220","#ede1c8"
"1-0240","1-0240","#eae0ca"
"1-0250","1-0250","#ded1b8"
"1-0260","1-0260","#ddd2ba"
"1-0280","1-0280","#e5d9bb"
"1-0290","1-0290","#e4dfc6"
"1-0291","1-0291","#d7d3bb"
"1-0292","1-0292","#e3e2cb"
"1-0293","1-0293","#ececdb"
"1-0300","1-0300","#dcd6c1"
"1-0320","1-0320","#d0c5ac"
"1-0360","1-0360","#b3ab96"
"1-0380","1-0380","#7b7c78"
"1-0400","1-0400","#efeedd"
"1-0420","1-0420","#e7e3d3"
