"farbe-raum 0500-N","0500-n","#eeeee9"
"farbe-raum 0502-B50G","0502-b50g","#e6eceb"
"farbe-raum 0502-G50Y","0502-g50y","#ebede4"
"farbe-raum 0502-R50B","0502-r50b","#e9e8e8"
"farbe-raum 0502-Y","0502-y","#ecebde"
"farbe-raum 0502-Y50R","0502-y50r","#eee9e0"
"farbe-raum 0505-B","0505-b","#dde8ea"
"farbe-raum 0505-G30Y","0505-g30y","#e8ede1"
"farbe-raum 0505-R","0505-r","#eee4e0"
"farbe-raum 0505-R80B","0505-r80b","#e1e7ea"
"farbe-raum 0505-Y","0505-y","#f1eed9"
"farbe-raum 0505-Y10R","0505-y10r","#f3edd7"
"farbe-raum 0505-Y20R","0505-y20r","#f2ead3"
"farbe-raum 0505-Y30R","0505-y30r","#f7ecd7"
"farbe-raum 0505-Y40R","0505-y40r","#f4e9d6"
"farbe-raum 0505-Y50R","0505-y50r","#f2e5d4"
"farbe-raum 0505-Y60R","0505-y60r","#f1e5d8"
"farbe-raum 0505-Y80R","0505-y80r","#f2e7df"
"farbe-raum 0510-B70G","0510-b70g","#d6ebe4"
"farbe-raum 0510-R60B","0510-r60b","#e3e4ed"
"farbe-raum 0510-R90B","0510-r90b","#d8e5ec"
"farbe-raum 0510-Y","0510-y","#eee6c4"
"farbe-raum 0510-Y10R","0510-y10r","#f3e6c1"
"farbe-raum 0510-Y20R","0510-y20r","#f8e7c5"
"farbe-raum 0510-Y30R","0510-y30r","#f9e6c9"
"farbe-raum 0510-Y40R","0510-y40r","#f5ddc2"
"farbe-raum 0510-Y50R","0510-y50r","#f6e1cc"
"farbe-raum 0510-Y60R","0510-y60r","#f9e2d1"
"farbe-raum 0510-Y70R","0510-y70r","#f5dbcb"
"farbe-raum 0510-Y80R","0510-y80r","#f5dcd1"
"farbe-raum 0510-Y90R","0510-y90r","#f6e0d8"
"farbe-raum 0520-R10B","0520-r10b","#f0cbce"
"farbe-raum 0520-R50B","0520-r50b","#ded3e7"
"farbe-raum 0520-R90B","0520-r90b","#c2dceb"
"farbe-raum 0520-Y","0520-y","#f5e6af"
"farbe-raum 0520-Y10R","0520-y10r","#fae5b1"
"farbe-raum 0520-Y20R","0520-y20r","#f6d9a3"
