"Deep Purple","867-PF","#6a1138"
"Burgundy Red","802-PF","#6a192b"
"Dark Red","858-PF","#8a0b1a"
"Red","864-PF","#a7221c"
"Cherry Red","803-PF","#b00d13"
"Geranium Red","849-PF","#bd041b"
"Tomato Red","850-PF","#c90b11"
"Medium Red","826-PF","#cb1b0e"
"Bright Red","837-PF","#d42100"
"Warm Red","865-PF","#e33b05"
"Bright Orange","848-PF","#f05711"
"Orange","805-PF","#ec6500"
"Light Orange","866-PF","#f76700"
"Corn Yellow","860-PF","#ffab00"
"Signal Yellow","862-PF","#f6a900"
"Dark Yellow","856-PF","#ffab00"
"Sunflower Yellow","806-PF","#ffbf00"
"Yellow ","855-PF","#ffc600"
"Bright Yellow","839-PF","#ffc900"
"Primrose Yellow","807-PF","#ffe400"
"Lime","814-PF","#85ce30"
"Grass Green","813-PF","#3eaa00"
"Bright Green","879-PF","#009235"
"Cactus Green","812-PF","#009151"
"Green","854-PF","#008550"
"Kelly Green","834-PF","#007a40"
"Leaf Green","878-PF","#135612"
"Forest Green","811-PF","#004e2a"
"Cobalt Blue","824-PF","#161a41"
"Dark Blue","823-PF","#16265d"
"Royal Blue","853-PF","#1a2d71"
"Navy Blue","876-PF","#253a65"
"Marine Blue","847-PF","#123675"
"Vivid Blue","851-PF","#0f3881"
"Sapphire Blue","852-PF","#213881"
"Standard Blue","875-PF","#004a81"
"Brilliant Blue","874-PF","#1f4ca3"
"Cosmos Blue","808-PF","#00549b"
"Scuba Blue","841-PF","#0066b0"
"Intense Blue","869-PF","#0075bc"
"Ocean Blue","809-PF","#0086be"
"Bright Blue","877-PF","#009bcf"
"Light Blue","832-PF","#54afd8"
"Mint","829-PF","#76d8be"
"Teal","842-PF","#00a599"
"Turquoise","831-PF","#009597"
"Blue","833-PF","#00547d"
"Violet ","817-PF","#613f89"
"Purple ","868-PF","#5f356e"
"Lavender","870-PF","#816bae"
"Lilac","871-PF","#c198c5"
"Cyclamen","815-PF","#ba2969"
"Blossom","872-PF","#bf3a74"
"Magenta","873-PF","#d55d8b"
"Pink","816-PF","#f18fbb"
"Brown","880-PF","#422a21"
"Chocolate Brown","818-PF","#523425"
"Chestnut Brown","882-PF","#5f231b"
"Dark Burgundy","863-PF","#63101c"
"Hazelnut Brown","883-PF","#b15620"
"Tan","827-PF","#b3854f"
"Dark Beige","884-PF","#a5815a"
"Beige","819-PF","#e8cb9c"
"Cream","861-PF","#f7df9e"
"Ivory","857-PF","#f0dac2"
"Mist","845-PF","#c9c8c7"
"Light Grey","859-PF","#cbcbc7"
"Dove Grey","844-PF","#929590"
"Cool Grey","886-PF","#8d9093"
"Medium Grey","825-PF","#7d888e"
"Cloud Grey","885-PF","#6d706c"
"Grey","820-PF","#5e6364"
"Dark Grey","881-PF","#4c4d4c"
"Black","801-PF","#121312"
"Black Matt","821-PF","#3d3d3d"
"White","800-PF","#fffffa"
"White Matt","830-PF","#fefff9"
"Grey Metallic","846-PF","#434444"
"Silver Metallic","835-PF","#979899"
"Gold Metallic","836-PF","#a18c53"
"Burgundy","923-QM","#700f1c"
"Wine Red","930-QM","#79151a"
"Dark Red","924-QM","#980e1d"
"Carmine Red","950-QM","#aa0411"
"Tomato Red","903-QM","#ab1d1c"
"Geranium Red","922-QM","#b00e1c"
"Soft Red","981-QM","#b5202d"
"Cardinal Red","955-QM","#bb190e"
"Signal Red","925-QM","#c0240f"
"Medium Red","906-QM","#d11f02"
"Spanish Orange","980-QM","#c94000"
"Sunrise","926-QM","#e13d07"
"Dark Orange","910-QM","#ed5600"
"Light Orange","911-QM","#ee6700"
"Buttercup Yellow","902-QM","#ffb500"
"Sunflower Yellow","927-QM","#ffb800"
"Bright Yellow","928-QM","#ffc900"
"Primrose Yellow","951-QM","#ffd200"
"Grass Green","956-QM","#6cb027"
"Light Green","907-QM","#56a134"
"Green","929-QM","#00822e"
"Kelly Green","908-QM","#007b38"
"Emerald Green","931-QM","#006429"
"Dark Green","916-QM","#004424"
"Magenta","947-QM","#db6594"
"Purple","948-QM","#6f2766"
"Indigo Blue","932-QM","#08223b"
"Cobalt Blue","957-QM","#101c41"
"Passion Blue","969-QM","#25205d"
"Royal Blue","939-QM","#003d7a"
"Sapphire Blue","909-QM","#203a7f"
"Midnight Blue","933-QM","#1a3881"
"Swimming Blue","979-QM","#254a93"
"Antique Blue","982-QM","#405173"
"Vivid Blue","934-QM","#00559a"
"Cosmos Blue","941-QM","#005292"
"Gentian Blue","912-QM","#005a97"
"Intense Blue","935-QM","#0073b6"
"Light Blue","942-QM","#0095cb"
"Mint","965-QM","#76d7bd"
"Aqua","944-QM","#00a899"
"Turquoise","971-QM","#008b89"
"Petrol 36-25","943-QM","#000000"
"Mahogany","915-QM","#49281b"
"Ivory","913-QM","#e9d8c0"
"Pearl Grey","961-QM","#cdcdd0"
"Dove Grey","960-QM","#adaba8"
"Grey","918-QM","#7d8383"
"Storm Grey","962-QM","#4c4e4e"
"Black","901-QM","#141413"
"Black Matt","921-QM","#3b3c3c"
"White Matt","920-QM","#fffffa"
"White","900-QM","#f2f5f2"
"Grey Metallic","992-QM","#444646"
"Silver Metallic","990-QM","#b2b4b5"
"Gold Metallic","991-QM","#a3955e"
"Black","800","#121214"
"Black","820","#3a3a3b"
"White","890","#fffffc"
"White","895","#fffffc"
"White","1800","#fffffb"
"White","1820","#fffffc"
"Wine red","930","#7d0c18"
"Carmine red","950","#a20413"
"Tomato red","903","#9d1818"
"Cardinal red","955","#bd1e1b"
"Medium red","906","#d41200"
"Poppy red","954","#e63c00"
"Dark orange","910","#ea5700"
"Light orange","911","#e86600"
"Melon yellow","953","#ff9900"
"Buttercup yellow","902","#ffb600"
"Sunflower yellow ","952","#ffb000"
"Primrose yellow","951","#ffd100"
"Grass green","956","#72ad27"
"Light green","907","#5b9f36"
"Kelly green","908","#007b38"
"Dark green","916","#054120"
"Dark blue","917","#0f2033"
"Cobalt blue","957","#161e3f"
"Royal blue","939","#003c7a"
"Sapphire blue","909","#233977"
"Cosmos blue","941","#005293"
"Gentian blue","912","#005b99"
