"FasCal 867 PF Deep Purple","fascal-867-pf-deep-purple","#6a1138"
"FasCal 802 PF Burgundy Red","fascal-802-pf-burgundy-red","#6a192b"
"FasCal 858 PF Dark Red","fascal-858-pf-dark-red","#8a0b1a"
"FasCal 864 PF Red","fascal-864-pf-red","#a7221c"
"FasCal 803 PF Cherry Red","fascal-803-pf-cherry-red","#b00d13"
"FasCal 849 PF Geranium Red","fascal-849-pf-geranium-red","#bd041b"
"FasCal 850 PF Tomato Red","fascal-850-pf-tomato-red","#c90b11"
"FasCal 826 PF Medium Red","fascal-826-pf-medium-red","#cb1b0e"
"FasCal 837 PF Bright Red","fascal-837-pf-bright-red","#d42100"
"FasCal 865 PF Warm Red","fascal-865-pf-warm-red","#e33b05"
"FasCal 848 PF Bright Orange","fascal-848-pf-bright-orange","#f05711"
"FasCal 805 PF Orange","fascal-805-pf-orange","#ec6500"
"FasCal 866 PF Light Orange","fascal-866-pf-light-orange","#f76700"
"FasCal 860 PF Corn Yellow","fascal-860-pf-corn-yellow","#ffab00"
"FasCal 862 PF Signal Yellow","fascal-862-pf-signal-yellow","#f6a900"
"FasCal 856 PF Dark Yellow","fascal-856-pf-dark-yellow","#ffab00"
"FasCal 806 PF Sunflower Yellow","fascal-806-pf-sunflower-yellow","#ffbf00"
"FasCal 855 PF Yellow ","fascal-855-pf-yellow","#ffc600"
"FasCal 839 PF Bright Yellow","fascal-839-pf-bright-yellow","#ffc900"
"FasCal 807 PF Primrose Yellow","fascal-807-pf-primrose-yellow","#ffe400"
"FasCal 814 PF Lime","fascal-814-pf-lime","#85ce30"
"FasCal 813 PF Grass Green","fascal-813-pf-grass-green","#3eaa00"
"FasCal 879 PF Bright Green","fascal-879-pf-bright-green","#009235"
"FasCal 812 PF Cactus Green","fascal-812-pf-cactus-green","#009151"
"FasCal 854 PF Green","fascal-854-pf-green","#008550"
"FasCal 834 PF Kelly Green","fascal-834-pf-kelly-green","#007a40"
"FasCal 878 PF Leaf Green","fascal-878-pf-leaf-green","#135612"
"FasCal 811 PF Forest Green","fascal-811-pf-forest-green","#004e2a"
"FasCal 824 PF Cobalt Blue","fascal-824-pf-cobalt-blue","#161a41"
"FasCal 823 PF Dark Blue","fascal-823-pf-dark-blue","#16265d"
"FasCal 853 PF Royal Blue","fascal-853-pf-royal-blue","#1a2d71"
"FasCal 876 PF Navy Blue","fascal-876-pf-navy-blue","#253a65"
"FasCal 847 PF Marine Blue","fascal-847-pf-marine-blue","#123675"
"FasCal 851 PF Vivid Blue","fascal-851-pf-vivid-blue","#0f3881"
"FasCal 852 PF Sapphire Blue","fascal-852-pf-sapphire-blue","#213881"
"FasCal 875 PF Standard Blue","fascal-875-pf-standard-blue","#004a81"
"FasCal 874 PF Brilliant Blue","fascal-874-pf-brilliant-blue","#1f4ca3"
"FasCal 808 PF Cosmos Blue","fascal-808-pf-cosmos-blue","#00549b"
"FasCal 841 PF Scuba Blue","fascal-841-pf-scuba-blue","#0066b0"
"FasCal 869 PF Intense Blue","fascal-869-pf-intense-blue","#0075bc"
"FasCal 809 PF Ocean Blue","fascal-809-pf-ocean-blue","#0086be"
"FasCal 877 PF Bright Blue","fascal-877-pf-bright-blue","#009bcf"
"FasCal 832 PF Light Blue","fascal-832-pf-light-blue","#54afd8"
"FasCal 829 PF Mint","fascal-829-pf-mint","#76d8be"
"FasCal 842 PF Teal","fascal-842-pf-teal","#00a599"
"FasCal 831 PF Turquoise","fascal-831-pf-turquoise","#009597"
"FasCal 833 PF Blue","fascal-833-pf-blue","#00547d"
"FasCal 817 PF Violet ","fascal-817-pf-violet","#613f89"
"FasCal 868 PF Purple ","fascal-868-pf-purple","#5f356e"
"FasCal 870 PF Lavender","fascal-870-pf-lavender","#816bae"
"FasCal 871 PF Lilac","fascal-871-pf-lilac","#c198c5"
"FasCal 815 PF Cyclamen","fascal-815-pf-cyclamen","#ba2969"
"FasCal 872 PF Blossom","fascal-872-pf-blossom","#bf3a74"
"FasCal 873 PF Magenta","fascal-873-pf-magenta","#d55d8b"
"FasCal 816 PF Pink","fascal-816-pf-pink","#f18fbb"
"FasCal 880 PF Brown","fascal-880-pf-brown","#422a21"
"FasCal 818 PF Chocolate Brown","fascal-818-pf-chocolate-brown","#523425"
"FasCal 882 PF Chestnut Brown","fascal-882-pf-chestnut-brown","#5f231b"
"FasCal 863 PF Dark Burgundy","fascal-863-pf-dark-burgundy","#63101c"
"FasCal 883 PF Hazelnut Brown","fascal-883-pf-hazelnut-brown","#b15620"
"FasCal 827 PF Tan","fascal-827-pf-tan","#b3854f"
"FasCal 884 PF Dark Beige","fascal-884-pf-dark-beige","#a5815a"
"FasCal 819 PF Beige","fascal-819-pf-beige","#e8cb9c"
"FasCal 861 PF Cream","fascal-861-pf-cream","#f7df9e"
"FasCal 857 PF Ivory","fascal-857-pf-ivory","#f0dac2"
"FasCal 845 PF Mist","fascal-845-pf-mist","#c9c8c7"
"FasCal 859 PF Light Grey","fascal-859-pf-light-grey","#cbcbc7"
"FasCal 844 PF Dove Grey","fascal-844-pf-dove-grey","#929590"
"FasCal 886 PF Cool Grey","fascal-886-pf-cool-grey","#8d9093"
"FasCal 825 PF Medium Grey","fascal-825-pf-medium-grey","#7d888e"
"FasCal 885 PF Cloud Grey","fascal-885-pf-cloud-grey","#6d706c"
"FasCal 820 PF Grey","fascal-820-pf-grey","#5e6364"
"FasCal 881 PF Dark Grey","fascal-881-pf-dark-grey","#4c4d4c"
"FasCal 801 PF Black","fascal-801-pf-black","#121312"
"FasCal 821 PF Black Matt","fascal-821-pf-black-matt","#3d3d3d"
"FasCal 800 PF White","fascal-800-pf-white","#fffffa"
"FasCal 830 PF White Matt","fascal-830-pf-white-matt","#fefff9"
"FasCal 846 PF Grey Metallic","fascal-846-pf-grey-metallic","#434444"
"FasCal 835 PF Silver Metallic","fascal-835-pf-silver-metallic","#979899"
"FasCal 836 PF Gold Metallic","fascal-836-pf-gold-metallic","#a18c53"
