"FasCal 923 QM Burgundy","923-qm-burgundy","#700f1c"
"FasCal 930 QM Wine Red","930-qm-wine-red","#79151a"
"FasCal 924 QM Dark Red","924-qm-dark-red","#980e1d"
"FasCal 950 QM Carmine Red","950-qm-carmine-red","#aa0411"
"FasCal 903 QM Tomato Red","903-qm-tomato-red","#ab1d1c"
"FasCal 922 QM Geranium Red","922-qm-geranium-red","#b00e1c"
"FasCal 981 QM Soft Red","981-qm-soft-red","#b5202d"
"FasCal 955 QM Cardinal Red","955-qm-cardinal-red","#bb190e"
"FasCal 925 QM Signal Red","925-qm-signal-red","#c0240f"
"FasCal 906 QM Medium Red","906-qm-medium-red","#d11f02"
"FasCal 980 QM Spanish Orange","980-qm-spanish-orange","#c94000"
"FasCal 926 QM Sunrise","926-qm-sunrise","#e13d07"
"FasCal 910 QM Dark Orange","910-qm-dark-orange","#ed5600"
"FasCal 911 QM Light Orange","911-qm-light-orange","#ee6700"
"FasCal 902 QM Buttercup Yellow","902-qm-buttercup-yellow","#ffb500"
"FasCal 927 QM Sunflower Yellow","927-qm-sunflower-yellow","#ffb800"
"FasCal 928 QM Bright Yellow","928-qm-bright-yellow","#ffc900"
"FasCal 951 QM Primrose Yellow","951-qm-primrose-yellow","#ffd200"
"FasCal 956 QM Grass Green","956-qm-grass-green","#6cb027"
"FasCal 907 QM Light Green","907-qm-light-green","#56a134"
"FasCal 929 QM Green","929-qm-green","#00822e"
"FasCal 908 QM Kelly Green","908-qm-kelly-green","#007b38"
"FasCal 931 QM Emerald Green","931-qm-emerald-green","#006429"
"FasCal 916 QM Dark Green","916-qm-dark-green","#004424"
"FasCal 947 QM Magenta","947-qm-magenta","#db6594"
"FasCal 948 QM Purple","948-qm-purple","#6f2766"
"FasCal 932 QM Indigo Blue","932-qm-indigo-blue","#08223b"
"FasCal 957 QM Cobalt Blue","957-qm-cobalt-blue","#101c41"
"FasCal 969 QM Passion Blue","969-qm-passion-blue","#25205d"
"FasCal 939 QM Royal Blue","939-qm-royal-blue","#003d7a"
"FasCal 909 QM Sapphire Blue","909-qm-sapphire-blue","#203a7f"
"FasCal 933 QM Midnight Blue","933-qm-midnight-blue","#1a3881"
"FasCal 979 QM Swimming Blue","979-qm-swimming-blue","#254a93"
"FasCal 982 QM Antique Blue","982-qm-antique-blue","#405173"
"FasCal 934 QM Vivid Blue","934-qm-vivid-blue","#00559a"
"FasCal 941 QM Cosmos Blue","941-qm-cosmos-blue","#005292"
"FasCal 912 QM Gentian Blue","912-qm-gentian-blue","#005a97"
"FasCal 935 QM Intense Blue","935-qm-intense-blue","#0073b6"
"FasCal 942 QM Light Blue","942-qm-light-blue","#0095cb"
"FasCal 965 QM Mint","965-qm-mint","#76d7bd"
"FasCal 944 QM Aqua","944-qm-aqua","#00a899"
"FasCal 971 QM Turquoise","971-qm-turquoise","#008b89"
"FasCal 943 QM Petrol 36-25","943-qm-petrol-36-25","#000000"
"FasCal 915 QM Mahogany","915-qm-mahogany","#49281b"
"FasCal 913 QM Ivory","913-qm-ivory","#e9d8c0"
"FasCal 961 QM Pearl Grey","961-qm-pearl-grey","#cdcdd0"
"FasCal 960 QM Dove Grey","960-qm-dove-grey","#adaba8"
"FasCal 918 QM Grey","918-qm-grey","#7d8383"
"FasCal 962 QM Storm Grey","962-qm-storm-grey","#4c4e4e"
"FasCal 901 QM Black","901-qm-black","#141413"
"FasCal 921 QM Black Matt","921-qm-black-matt","#3b3c3c"
"FasCal 920 QM White Matt","920-qm-white-matt","#fffffa"
"FasCal 900 QM White","900-qm-white","#f2f5f2"
"FasCal 992 QM Grey Metallic","992-qm-grey-metallic","#444646"
"FasCal 990 QM Silver Metallic","990-qm-silver-metallic","#b2b4b5"
"FasCal 991 QM Gold Metallic","991-qm-gold-metallic","#a3955e"
