"FasCal 800 Black","fascal-800-black","#121214"
"FasCal 820 Black","fascal-820-black","#3a3a3b"
"FasCal 890 White","fascal-890-white","#fffffc"
"FasCal 895 White","fascal-895-white","#fffffc"
"FasCal 1800 White","fascal-1800-white","#fffffb"
"FasCal 1820 White","fascal-1820-white","#fffffc"
"FasCal 930 Wine red","fascal-930-wine-red","#7d0c18"
"FasCal 950 Carmine red","fascal-950-carmine-red","#a20413"
"FasCal 903 Tomato red","fascal-903-tomato-red","#9d1818"
"FasCal 955 Cardinal red","fascal-955-cardinal-red","#bd1e1b"
"FasCal 906 Medium red","fascal-906-medium-red","#d41200"
"FasCal 954 Poppy red","fascal-954-poppy-red","#e63c00"
"FasCal 910 Dark orange","fascal-910-dark-orange","#ea5700"
"FasCal 911 Light orange","fascal-911-light-orange","#e86600"
"FasCal 953 Melon yellow","fascal-953-melon-yellow","#ff9900"
"FasCal 902 Buttercup yellow","fascal-902-buttercup-yellow","#ffb600"
"FasCal 952 Sunflower yellow ","fascal-952-sunflower-yellow","#ffb000"
"FasCal 951 Primrose yellow","fascal-951-primrose-yellow","#ffd100"
"FasCal 956 Grass green","fascal-956-grass-green","#72ad27"
"FasCal 907 Light green","fascal-907-light-green","#5b9f36"
"FasCal 908 Kelly green","fascal-908-kelly-green","#007b38"
"FasCal 916 Dark green","fascal-916-dark-green","#054120"
"FasCal 917 Dark blue","fascal-917-dark-blue","#0f2033"
"FasCal 957 Cobalt blue","fascal-957-cobalt-blue","#161e3f"
"FasCal 939 Royal blue","fascal-939-royal-blue","#003c7a"
"FasCal 909 Sapphire blue","fascal-909-sapphire-blue","#233977"
"FasCal 941 Cosmos blue","fascal-941-cosmos-blue","#005293"
"FasCal 912 Gentian blue","fascal-912-gentian-blue","#005b99"
"FasCal 942 Light blue","fascal-942-light-blue","#0096ce"
"FasCal 943 Petrol blue","fascal-943-petrol-blue","#006472"
"FasCal 944 Aqua","fascal-944-aqua","#00a899"
"FasCal 905 Sky blue","fascal-905-sky-blue","#178cc2"
"FasCal 947 Magenta","fascal-947-magenta","#d86593"
"FasCal 946 Lilac","fascal-946-lilac","#c39ec9"
"FasCal 945 Lavender","fascal-945-lavender","#806eb2"
"FasCal 948 Purple","fascal-948-purple","#63255f"
"FasCal 915 Mahogany brown","fascal-915-mahogany-brown","#482a1f"
"FasCal 949 Chestnut","fascal-949-chestnut","#572d1b"
"FasCal 913 Ivory","fascal-913-ivory","#ecdcc1"
"FasCal 901 Black","fascal-901-black","#111111"
"FasCal 962 Storm grey","fascal-962-storm-grey","#4e4f4e"
"FasCal 918 Grey","fascal-918-grey","#808686"
"FasCal 960 Dove grey","fascal-960-dove-grey","#adadab"
"FasCal 961 Pearl grey","fascal-961-pearl-grey","#cecfd0"
"FasCal 900 White","fascal-900-white","#fffef6"
"FasCal 992 Dark grey metallic","fascal-992-dark-grey-metallic","#535655"
"FasCal 990 Silver metallic","fascal-990-silver-metallic","#c1c3c3"
"FasCal 991 Gold metallic","fascal-991-gold-metallic","#ae9b5c"
"FasCal 1900 Repositionable white","fascal-1900-repositionable-white","#fffdf5"
"FasCal 2920 Ultra destructible white","fascal-2920-ultra-destructible-white","#fffef5"
"FasCal 4900 AP white","fascal-4900-ap-white","#fffef6"
