"FasCal 400 White","fascal-400-white","#fbfafa"
"FasCal 400 White Score-Back","fascal-400-white-score-back","#fbfafa"
"FasCal 400 White Crack-Back","fascal-400-white-crack-back","#fcfafb"
"FasCal 400 White Invercote-Postc","fascal-400-white-invercote-postc","#faf9f9"
"FasCal 400 Red","fascal-400-red","#b20118"
"FasCal 400 Orange","fascal-400-orange","#ed6603"
"FasCal 400 Chrome yellow","fascal-400-chrome-yellow","#ffaa00"
"FasCal 400 Yellow","fascal-400-yellow","#ffbf00"
"FasCal 400 Green","fascal-400-green","#00814d"
"FasCal 400 Blue","fascal-400-blue","#005788"
"FasCal 400 Black","fascal-400-black","#121416"
"FasCal 420 White","fascal-420-white","#fefcf7"
"FasCal 420 White Crack-Back","fascal-420-white-crack-back","#1b1a17"
"FasCal 420 Red","fascal-420-red","#bc3c43"
"FasCal 420 Yellow","fascal-420-yellow","#ffc612"
"FasCal 420 Green","fascal-420-green","#008f63"
"FasCal 420 Blue","fascal-420-blue","#396894"
"FasCal 420 Black","fascal-420-black","#3e3e3f"
"FasCal UR-200 White","fascal-ur-200-white","#fcfbfc"
"FasCal Paint Mask opaque","fascal-paint-mask-opaque","#fcfcf7"
"FasCal Coverall vinyl white","fascal-coverall-vinyl-white","#f3f4f1"
"FasCal 398 Double coated polytape","fascal-398-double-coated-polytape","#f9f5eb"
"FasCal 465 Fluorescent orange","fascal-465-fluorescent-orange","#ff451e"
"FasCal 180 Solid Foil bright chrome","fascal-180-solid-foil-bright-chrome","#5a5c5d"
"FasCal 180 Solid Foil matt chrome","fascal-180-solid-foil-matt-chrome","#d5d7d7"
"FasCal 710 Bright chrome polyester","fascal-710-bright-chrome-polyester","#2b2e30"
"FasCal 710 Bright gold polyester","fascal-710-bright-gold-polyester","#3c4436"
"FasCal 711 Satin chrome polyester","fascal-711-satin-chrome-polyester","#bbc0c4"
"FasCal 750 Embossing film chrome","fascal-750-embossing-film-chrome","#303335"
"FasCal 750 Embossing film gold","fascal-750-embossing-film-gold","#323a37"
"FasCal 772 Brushed chrome polyester","fascal-772-brushed-chrome-polyester","#656b72"
