"Fasson 930 Weinrot","fasson-930-weinrot","#77121c"
"Fasson 950 Karminrot","fasson-950-karminrot","#910f0f"
"Fasson 903 Tomatenrot","fasson-903-tomatenrot","#9f1f1d"
"Fasson 955 Cardinalrot","fasson-955-cardinalrot","#ac1d1c"
"Fasson 906 Rot Medium","fasson-906-rot-medium","#c7220e"
"Fasson 954 Klatschmohn","fasson-954-klatschmohn","#d1410b"
"Fasson 910 Dunkelorange","fasson-910-dunkelorange","#e45800"
"Fasson 911 Orange","fasson-911-orange","#e66d00"
"Fasson 904 Chromgelb","fasson-904-chromgelb","#ed9500"
"Fasson 953 Melonengelb","fasson-953-melonengelb","#fc9b00"
"Fasson 958 Gelb Medium","fasson-958-gelb-medium","#ffac00"
"Fasson 902 Gelb","fasson-902-gelb","#ffb800"
"Fasson 952 Sonnengelb","fasson-952-sonnengelb","#f6a800"
"Fasson 951 Primelgelb","fasson-951-primelgelb","#f6c400"
"Fasson 956 Grasgruen","fasson-956-grasgruen","#72ab2a"
"Fasson 907 Hellgruen","fasson-907-hellgruen","#5ba039"
"Fasson 919 Gruen","fasson-919-gruen","#54853b"
"Fasson 908 Irischgruen","fasson-908-irischgruen","#007d3c"
"Fasson 916 Dunkelgruen","fasson-916-dunkelgruen","#094121"
"Fasson 917 Dunkelblau","fasson-917-dunkelblau","#152334"
"Fasson 957 Kobaltblau","fasson-957-kobaltblau","#181f3e"
"Fasson 909 Saphirblau","fasson-909-saphirblau","#253d7a"
"Fasson 939 Koenigsblau","fasson-939-koenigsblau","#003c77"
"Fasson 941 Kosmosblau","fasson-941-kosmosblau","#005495"
"Fasson 912 Enzianblau","fasson-912-enzianblau","#005c9a"
"Fasson 905 Himmelblau","fasson-905-himmelblau","#1f8ec0"
"Fasson 942 Hellblau","fasson-942-hellblau","#0096cc"
"Fasson 944 Wasser","fasson-944-wasser","#00a597"
"Fasson 943 Petrol","fasson-943-petrol","#00646f"
"Fasson 948 Purpur","fasson-948-purpur","#652a61"
"Fasson 945 Lavendel","fasson-945-lavendel","#816fb1"
"Fasson 946 Lila","fasson-946-lila","#c29fc8"
"Fasson 947 Magenta","fasson-947-magenta","#d16591"
"Fasson 949 Kastanienbraun","fasson-949-kastanienbraun","#552c1b"
"Fasson 915 Mahagonibraun","fasson-915-mahagonibraun","#482b20"
"Fasson 913 Elfenbein","fasson-913-elfenbein","#ebdbc0"
"Fasson 918 Grau","fasson-918-grau","#7e8585"
"Fasson 962 Dunkelgrau","fasson-962-dunkelgrau","#474a4a"
"Fasson 960 Mittelgrau","fasson-960-mittelgrau","#a1a1a0"
"Fasson 961 Hellgrau","fasson-961-hellgrau","#cbcdce"
