"1H2-8","1h2-8","#f78f2e"
"2F1-1","2f1-1","#f9ecdc"
"2G1-4","2g1-4","#fec89e"
"1G2-6","1g2-6","#faa766"
"2I2-5","2i2-5","#fbd084"
"1H2-2","1h2-2","#fce2ba"
"1G2-4","1g2-4","#fecc9b"
"1G2-2","1g2-2","#ffe5c5"
"3I1-6","3i1-6","#e2b36d"
"1G1-2","1g1-2","#ffe2c7"
"2G3-5","2g3-5","#febe88"
"1H2-4","1h2-4","#ffd898"
"1I2-1","1i2-1","#f9f5dd"
"3K1-4","3k1-4","#e4e1a7"
"2K1-7","2k1-7","#d8ce5e"
"3J3-2","3j3-2","#f8f1ca"
"1H3-3","1h3-3","#ffe0aa"
"1H2-7","1h2-7","#feab48"
"1I3-3","1i3-3","#fce9ab"
"1H2-5","1h2-5","#ffc97c"
"4I2-1","4i2-1","#f9f0de"
"2I3-4","2i3-4","#ffe4a0"
"2I2-1","2i2-1","#faf4dc"
"2I3-8","2i3-8","#e7a226"
"1I1-5","1i1-5","#ffd47f"
"1J3-5","1j3-5","#fcea8c"
"1J2-7","1j2-7","#fdd749"
"1I1-6","1i1-6","#ffc64f"
"1H1-7","1h1-7","#fca148"
"2K2-7","2k2-7","#c9ca5a"
"1I1-7","1i1-7","#ffbc33"
"2I2-3","2i2-3","#fde7b9"
"2H2-7","2h2-7","#f1a656"
"1I3-8","1i3-8","#ffb200"
"1J3-6","1j3-6","#ffe367"
"1H1-1","1h1-1","#fbeed0"
"1I3-7","1i3-7","#ffcb46"
"2K2-6","2k2-6","#d3d673"
"1H1-4","1h1-4","#ffd39c"
"1J3-7","1j3-7","#fbde4b"
"3J3-3","3j3-3","#f5edbe"
"3K1-5","3k1-5","#dbd791"
"1I2-3","1i2-3","#fee7b0"
"1I1-8","1i1-8","#ffa600"
"3I1-5","3i1-5","#f0cc94"
"3L1-8","3l1-8","#749246"
"2L1-5","2l1-5","#d4e6a5"
"2L3-7","2l3-7","#9ac774"
"3L1-7","3l1-7","#96b064"
"1L2-7","1l2-7","#a7cf59"
"3L2-1","3l2-1","#e6f2d9"
"3L1-6","3l1-6","#a9c079"
"3K3-4","3k3-4","#d6e0af"
"3L3-7","3l3-7","#81a46d"
"3L1-4","3l1-4","#cedfab"
"2K3-7","2k3-7","#c3d06e"
"3L2-6","3l2-6","#a4c48a"
"3L1-2","3l1-2","#e6f3d6"
"1M1-5","1m1-5","#ade2aa"
"3M1-6","3m1-6","#84bd93"
"1L1-7","1l1-7","#c4d856"
"3M3-7","3m3-7","#50a489"
"3K3-7","3k3-7","#a9b55f"
"1L3-7","1l3-7","#9bcf5f"
"2N1-8","2n1-8","#0f8354"
"1M1-3","1m1-3","#d1eec3"
"1L3-8","1l3-8","#75b740"
"1M1-6","1m1-6","#91d382"
"4L3-7","4l3-7","#758e70"
"1M1-8","1m1-8","#4fa942"
"4M3-8","4m3-8","#436758"
"3K2-8","3k2-8","#8c903c"
"2M1-8","2m1-8","#4a9e4a"
"4L1-5","4l1-5","#afbb99"
"4K2-8","4k2-8","#757148"
"3M1-8","3m1-8","#497f56"
"2L1-8","2l1-8","#88a233"
"2K1-8","2k1-8","#b1a831"
"1N3-8","1n3-8","#009b82"
"2O1-1","2o1-1","#d9f4ec"
"2M3-8","2m3-8","#2b9a5f"
"1N3-7","1n3-7","#04b397"
"4N3-7","4n3-7","#518b8b"
"5M2-6","5m2-6","#77998a"
"2N3-5","2n3-5","#70d0bf"
"1N2-8","1n2-8","#00966c"
"1N1-2","1n1-2","#c7efdb"
"1N2-2","1n2-2","#c3eedf"
"2O2-8","2o2-8","#007a77"
"3N3-7","3n3-7","#26a7a2"
