"Fema Zitrone 0","fema-zitrone-0","#f3df81"
"Fema Zitrone 2","fema-zitrone-2","#f2e395"
"Fema Zitrone 4","fema-zitrone-4","#f3eaad"
"Fema Zitrone 6","fema-zitrone-6","#f2f0c9"
"Fema Zitrone 8","fema-zitrone-8","#f3efd2"
"Fema Birne 0","fema-birne-0","#f3c85f"
"Fema Birne 2","fema-birne-2","#f6d375"
"Fema Birne 4","fema-birne-4","#f6de8e"
"Fema Birne 6","fema-birne-6","#f3e7b2"
"Fema Birne 8","fema-birne-8","#f2ebc3"
"Fema Orange 0","fema-orange-0","#f4a545"
"Fema Orange 2","fema-orange-2","#f6b355"
"Fema Orange 4","fema-orange-4","#f6c36f"
"Fema Orange 6","fema-orange-6","#f4d796"
"Fema Orange 8","fema-orange-8","#f8e3b0"
"Fema Apricot 0","fema-apricot-0","#de8b66"
"Fema Apricot 2","fema-apricot-2","#e79e7a"
"Fema Apricot 4","fema-apricot-4","#eeb08e"
"Fema Apricot 6","fema-apricot-6","#f5c9ad"
"Fema Apricot 8","fema-apricot-8","#f6d9c4"
"Fema Mango 0","fema-mango-0","#bc7974"
"Fema Mango 2","fema-mango-2","#c98984"
"Fema Mango 4","fema-mango-4","#d7a19d"
"Fema Mango 6","fema-mango-6","#e7c2bd"
"Fema Mango 8","fema-mango-8","#edd0cb"
"Fema Kirsche 0","fema-kirsche-0","#c96464"
"Fema Kirsche 2","fema-kirsche-2","#d57676"
"Fema Kirsche 4","fema-kirsche-4","#e29090"
"Fema Kirsche 6","fema-kirsche-6","#ecb4b2"
"Fema Kirsche 8","fema-kirsche-8","#f2d1cf"
"Fema Pflaume 0","fema-pflaume-0","#a28ca7"
"Fema Pflaume 2","fema-pflaume-2","#b5a1b8"
"Fema Pflaume 4","fema-pflaume-4","#c9b8ca"
"Fema Pflaume 6","fema-pflaume-6","#dcd1db"
"Fema Pflaume 8","fema-pflaume-8","#e6dfe3"
"Fema Flieder 0","fema-flieder-0","#88a0d0"
"Fema Flieder 2","fema-flieder-2","#a0b5da"
"Fema Flieder 4","fema-flieder-4","#b9c8e3"
"Fema Flieder 6","fema-flieder-6","#ced9e7"
"Fema Flieder 8","fema-flieder-8","#dfe5e9"
"Fema Iris 0","fema-iris-0","#61b4d1"
"Fema Iris 2","fema-iris-2","#79bfd9"
"Fema Iris 4","fema-iris-4","#97cde1"
"Fema Iris 6","fema-iris-6","#bcdee8"
"Fema Iris 8","fema-iris-8","#cee4e9"
"Fema Ozean 0","fema-ozean-0","#63afbb"
"Fema Ozean 2","fema-ozean-2","#78bcc6"
"Fema Ozean 4","fema-ozean-4","#93cbd3"
"Fema Ozean 6","fema-ozean-6","#badde2"
"Fema Ozean 8","fema-ozean-8","#cbe3e5"
"Fema Minze 0","fema-minze-0","#62c2ae"
"Fema Minze 2","fema-minze-2","#74cbb8"
"Fema Minze 4","fema-minze-4","#98dbca"
"Fema Minze 6","fema-minze-6","#b7e3d8"
"Fema Minze 8","fema-minze-8","#ceeae1"
"Fema Apfel 0","fema-apfel-0","#8ba85e"
"Fema Apfel 2","fema-apfel-2","#9db771"
"Fema Apfel 4","fema-apfel-4","#b4c88b"
"Fema Apfel 6","fema-apfel-6","#d1dcad"
"Fema Apfel 8","fema-apfel-8","#dbe4c1"
