"D-MG 6630","d-mg-6630","#e9de39"
"D-MG 6631","d-mg-6631","#f0c500"
"D-MG 6632","d-mg-6632","#f8ae00"
"D-MG 6633","d-mg-6633","#f4a100"
"D-MG 6641","d-mg-6641","#ed6311"
"D-MG 6642","d-mg-6642","#d24817"
"D-MG 6640","d-mg-6640","#c02602"
"D-MG 6643","d-mg-6643","#ab121c"
"D-MG 6644","d-mg-6644","#9d0009"
"D-MG 6645","d-mg-6645","#881b1a"
"D-MG 6650","d-mg-6650","#670814"
"D-MG 6651","d-mg-6651","#5b1118"
"D-MG 6652","d-mg-6652","#b99bc4"
"D-MG 6653","d-mg-6653","#e889bb"
"D-MG 6654","d-mg-6654","#b32b6e"
"D-MG 6655","d-mg-6655","#7a3271"
"D-MG 6656","d-mg-6656","#5e336e"
"D-MG 6657","d-mg-6657","#66d1b9"
"D-MG 6670","d-mg-6670","#00a195"
"D-MG 6680","d-mg-6680","#007172"
"D-MG 6691","d-mg-6691","#52b5e1"
"D-MG 6692","d-mg-6692","#0099d0"
"D-MG 6693","d-mg-6693","#0094c4"
"D-MG 6694","d-mg-6694","#006dad"
"D-MG 6690","d-mg-6690","#005792"
"D-MG 6695","d-mg-6695","#005083"
"D-MG 6686","d-mg-6686","#2f45aa"
"D-MG 6696","d-mg-6696","#1f377a"
"D-MG 6697","d-mg-6697","#002c5b"
"D-MG 6661","d-mg-6661","#6cb352"
"D-MG 6662","d-mg-6662","#429605"
"D-MG 6663","d-mg-6663","#008837"
"D-MG 6660","d-mg-6660","#00804c"
"D-MG 6664","d-mg-6664","#008555"
"D-MG 6665","d-mg-6665","#00743b"
"D-MG 6666","d-mg-6666","#005224"
"D-MG 6800","d-mg-6800","#e5d6b3"
"D-MG 6801","d-mg-6801","#d88a32"
"D-MG 6802","d-mg-6802","#84542a"
"D-MG 6803","d-mg-6803","#4a2a1d"
"D-MG 6700","d-mg-6700","#a5a9a0"
"D-MG 6710","d-mg-6710","#7c7d7c"
"D-MG 6720","d-mg-6720","#5b5f60"
"D-MG 6620","d-mg-6620","#e6eaf0"
"D-MG 6610","d-mg-6610","#0d0e10"
