"D-MM 6630","d-mm-6630","#ebe25c"
"D-MM 6631","d-mm-6631","#f4ca21"
"D-MM 6632","d-mm-6632","#fcb527"
"D-MM 6641","d-mm-6641","#f2733c"
"D-MM 6640","d-mm-6640","#c84437"
"D-MM 6643","d-mm-6643","#af363a"
"D-MM 6644","d-mm-6644","#a12f32"
"D-MM 6650","d-mm-6650","#75363a"
"D-MM 6691","d-mm-6691","#5fbce5"
"D-MM 6692","d-mm-6692","#009ed2"
"D-MM 6694","d-mm-6694","#077db5"
"D-MM 6695","d-mm-6695","#26628e"
"D-MM 6686","d-mm-6686","#4757ae"
"D-MM 6696","d-mm-6696","#3e4d85"
"D-MM 6697","d-mm-6697","#304367"
"D-MM 6662","d-mm-6662","#579e37"
"D-MM 6663","d-mm-6663","#008d47"
"D-MM 6665","d-mm-6665","#007f50"
"D-MM 6666","d-mm-6666","#166243"
"D-MM 6800","d-mm-6800","#e9d9b9"
"D-MM 6700","d-mm-6700","#b1b4aa"
"D-MM 6710","d-mm-6710","#848685"
"D-MM 6720","d-mm-6720","#6a6d6d"
"D-MM 6620","d-mm-6620","#ebeff3"
"D-MM 6610","d-mm-6610","#3c3d3e"
