"D-CUM 015","d-cum-015","#3c3d3f"
"D-CUM 016","d-cum-016","#f1f2ef"
"D-CUM 060","d-cum-060","#f2d82f"
"D-CUM 054","d-cum-054","#f1e462"
"D-CUM 04","d-cum-04","#f8c02d"
"D-CUM 044","d-cum-044","#f4b527"
"D-CUM 024","d-cum-024","#e9982f"
"D-CUM 038","d-cum-038","#d18d4b"
"D-CUM 028","d-cum-028","#f07731"
"D-CUM 08","d-cum-08","#e26338"
"D-CUM 041","d-cum-041","#d95539"
"D-CUM 061","d-cum-061","#ca483e"
"D-CUM 01","d-cum-01","#c34440"
"D-CUM 062","d-cum-062","#aa3e40"
"D-CUM 051","d-cum-051","#b24044"
"D-CUM 010","d-cum-010","#9e4041"
"D-CUM 020","d-cum-020","#744452"
"D-CUM 063","d-cum-063","#723f45"
"D-CUM 048","d-cum-048","#f0bdcb"
"D-CUM 055","d-cum-055","#cd7399"
"D-CUM 018","d-cum-018","#af4376"
"D-CUM 058","d-cum-058","#9288b3"
"D-CUM 059","d-cum-059","#7c4f75"
"D-CUM 064","d-cum-064","#674f95"
"D-CUM 026","d-cum-026","#c9d65d"
"D-CUM 06","d-cum-06","#7ab84e"
"D-CUM 065","d-cum-065","#53a439"
"D-CUM 042","d-cum-042","#01a554"
"D-CUM 022","d-cum-022","#547c46"
"D-CUM 052","d-cum-052","#357f68"
"D-CUM 066","d-cum-066","#009666"
"D-CUM 02","d-cum-02","#009062"
"D-CUM 046","d-cum-046","#007558"
"D-CUM 067","d-cum-067","#007b50"
"D-CUM 036","d-cum-036","#256f4e"
"D-CUM 011","d-cum-011","#355549"
"D-CUM 068","d-cum-068","#7ad5be"
"D-CUM 069","d-cum-069","#00a299"
"D-CUM 070","d-cum-070","#006e79"
"D-CUM 056","d-cum-056","#009ba4"
"D-CUM 07","d-cum-07","#49a8c9"
"D-CUM 050","d-cum-050","#02a3d4"
"D-CUM 027","d-cum-027","#3f82af"
"D-CUM 03","d-cum-03","#1a72b3"
"D-CUM 053","d-cum-053","#3b6185"
"D-CUM 071","d-cum-071","#26649c"
"D-CUM 072","d-cum-072","#3a5893"
"D-CUM 073","d-cum-073","#3f4f84"
"D-CUM 057","d-cum-057","#55526f"
"D-CUM 012","d-cum-012","#374c71"
"D-CUM 074","d-cum-074","#3b414c"
"D-CUM 032","d-cum-032","#e5d7b6"
"D-CUM 045","d-cum-045","#cbbca6"
"D-CUM 025","d-cum-025","#dec1a2"
"D-CUM 031","d-cum-031","#8e6347"
"D-CUM 014","d-cum-014","#674e44"
"D-CUM 043","d-cum-043","#654e45"
"D-CUM 030","d-cum-030","#614741"
"D-CUM 040","d-cum-040","#494141"
"D-CUM 049","d-cum-049","#c4c4be"
"D-CUM 09","d-cum-09","#979994"
"D-CUM 019","d-cum-019","#666b6d"
