"D-CX 4","d-cx-4","#dbcc53"
"D-CX 24","d-cx-24","#d4cd00"
"D-CX 34","d-cx-34","#dfa900"
"D-CX 17","d-cx-17","#e7a000"
"D-CX 20 NEW","d-cx-20-new","#df6300"
"D-CX 8","d-cx-8","#d56000"
"D-CX 28","d-cx-28","#c93f0a"
"D-CX 1","d-cx-1","#cb2200"
"D-CX 41","d-cx-41","#b51901"
"D-CX 21","d-cx-21","#b10000"
"D-CX 22 NEW","d-cx-22-new","#8d0006"
"D-CX 31","d-cx-31","#990715"
"D-CX 10","d-cx-10","#6b000b"
"D-CX 18","d-cx-18","#c72c97"
"D-CX 39","d-cx-39","#b71d71"
"D-CX 30","d-cx-30","#b2006b"
"D-CX 5","d-cx-5","#b357ae"
"D-CX 48","d-cx-48","#540765"
"D-CX 47","d-cx-47","#71b100"
"D-CX 26","d-cx-26","#008000"
"D-CX 16","d-cx-16","#007b32"
"D-CX 11","d-cx-11","#003929"
"D-CX 35 NEW","d-cx-35-new","#008c5d"
"D-CX 25 NEW","d-cx-25-new","#00b89b"
"D-CX 2","d-cx-2","#00afa5"
"D-CX 7","d-cx-7","#4eb9de"
"D-CX 43","d-cx-43","#0085c8"
"D-CX 3","d-cx-3","#0092ce"
"D-CX 23","d-cx-23","#0069bb"
"D-CX 12","d-cx-12","#023bab"
"D-CX 33","d-cx-33","#2a23a5"
"D-CX 14","d-cx-14","#893f00"
"D-CX 44","d-cx-44","#571b13"
"D-CX 9","d-cx-9","#a8b2b8"
"D-CX 19","d-cx-19","#6a6a6c"
"D-CX 29","d-cx-29","#4a473c"
